Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,51.96339,[107   9] ; [10 20],[92.95890411 23.04109589] ; [24.04109589  5.95890411],1
u3,1,0.154499,2.02726,[20 15] ; [4 8],[17.87234043 17.12765957] ; [6.12765957 5.87234043],0
s7,1,0.179656,1.800464,[37 73] ; [ 6 23],[34.02877698 75.97122302] ; [ 8.97122302 20.02877698],0
d1,1,0.183896,1.765858,[66 50] ; [13 17],[62.76712329 53.23287671] ; [16.23287671 13.76712329],0
s5,1,0.184449,1.761405,[19 95] ; [ 2 27],[16.74125874 97.25874126] ; [ 4.25874126 24.74125874],0
p5,1,0.198058,1.656635,[ 13 101] ; [ 1 28],[ 11.16083916 102.83916084] ; [ 2.83916084 26.16083916],0
v2,1,0.202277,1.625858,[65 47] ; [13 16],[61.95744681 50.04255319] ; [16.04255319 12.95744681],0
b5,1,0.256249,1.28891,[64 52] ; [20 10],[66.73972603 49.26027397] ; [17.26027397 12.73972603],0
a2,1,0.272556,1.203839,[26 90] ; [ 4 26],[23.83561644 92.16438356] ; [ 6.16438356 23.83561644],0
a3,1,0.274106,1.196082,[81 34] ; [18 12],[78.51724138 36.48275862] ; [20.48275862  9.51724138],0
a6,1,0.304447,1.054612,[81 35] ; [18 12],[78.65753425 37.34246575] ; [20.34246575  9.65753425],0
s4,1,0.443395,0.58748,[  7 109] ; [ 3 27],[  7.94520548 108.05479452] ; [ 2.05479452 27.94520548],0
p1,1,0.465349,0.532998,[ 13 103] ; [ 2 28],[ 11.91780822 104.08219178] ; [ 3.08219178 26.91780822],0
n1,1,0.494084,0.467621,[ 7 12] ; [5 5],[ 7.86206897 11.13793103] ; [4.13793103 5.86206897],0
u1,1,0.504672,0.445099,[ 14 102] ; [ 5 25],[ 15.09589041 100.90410959] ; [ 3.90410959 26.09589041],0
a8,1,0.584742,0.298631,[11 89] ; [ 2 25],[10.23622047 89.76377953] ; [ 2.76377953 24.23622047],0
b2,1,0.59561,0.281668,[33 41] ; [ 8 13],[31.93684211 42.06315789] ; [ 9.06315789 11.93684211],0
b3,1,0.59561,0.281668,[33 41] ; [ 8 13],[31.93684211 42.06315789] ; [ 9.06315789 11.93684211],0
b1,1,0.601504,0.272733,[48 68] ; [14 16],[49.26027397 66.73972603] ; [12.73972603 17.26027397],0
s2,1,0.608284,0.262681,[24 91] ; [ 5 25],[23. 92.] ; [ 6. 24.],0
n2,1,0.642279,0.215774,[15  5] ; [6 3],[14.48275862  5.51724138] ; [6.51724138 2.48275862],0
a7,1,0.647967,0.208473,[86 30] ; [21  9],[85.01369863 30.98630137] ; [21.98630137  8.01369863],0
s8,1,0.705965,0.142341,[31 85] ; [ 7 23],[30.19178082 85.80821918] ; [ 7.80821918 22.19178082],0
d2,1,0.725889,0.12292,[50 66] ; [14 16],[50.84931507 65.15068493] ; [13.15068493 16.84931507],0
b4,1,0.752517,0.099428,[62 54] ; [17 13],[62.76712329 53.23287671] ; [16.23287671 13.76712329],0
a4,1,0.790742,0.070409,[51 65] ; [14 16],[51.64383562 64.35616438] ; [13.35616438 16.64383562],0
p6,1,0.805037,0.060927,[45 70] ; [11 19],[44.4137931 70.5862069] ; [11.5862069 18.4137931],0
s3,1,0.834915,0.043431,[32 82] ; [ 9 21],[32.45833333 81.54166667] ; [ 8.54166667 21.45833333],0
d3,1,0.905864,0.013985,[76 40] ; [20 10],[76.2739726 39.7260274] ; [19.7260274 10.2739726],0
n3,1,1.0,0.0,[16  4] ; [8 2],[16.  4.] ; [8. 2.],0
