Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.840658,[16 19] ; [76 10],[26.61157025  8.38842975] ; [65.38842975 20.61157025],1
d3,1,0.357346,0.847198,[22 13] ; [60 24],[24.11764706 10.88235294] ; [57.88235294 26.11764706],0
p4,1,0.373094,0.793333,[ 8 27] ; [26 58],[10. 25.] ; [24. 60.],0
a6,1,0.373094,0.793333,[23 12] ; [62 22],[25. 10.] ; [60. 24.],0
s1,1,0.42001,0.650288,[ 4 31] ; [ 6 80],[ 2.89256198 32.10743802] ; [ 7.10743802 78.89256198],0
p6,1,0.435043,0.609322,[ 5 29] ; [18 68],[ 6.51666667 27.48333333] ; [16.48333333 69.51666667],0
a4,1,0.479892,0.499109,[14 21] ; [40 45],[15.75 19.25] ; [38.25 46.75],0
p7,1,0.501757,0.451219,[10 25] ; [29 54],[11.56779661 23.43220339] ; [27.43220339 55.56779661],0
s4,1,0.534681,0.385488,[ 5 30] ; [16 68],[ 6.17647059 28.82352941] ; [14.82352941 69.17647059],0
p5,1,0.557428,0.344176,[ 2 31] ; [ 8 77],[ 2.79661017 30.20338983] ; [ 7.20338983 77.79661017],0
p9,1,0.564538,0.331908,[19 13] ; [56 30],[20.33898305 11.66101695] ; [54.66101695 31.33898305],0
v3,1,0.568294,0.325545,[11 22] ; [32 50],[12.33913043 20.66086957] ; [30.66086957 51.33913043],0
a5,1,0.572321,0.318814,[23 12] ; [61 25],[24.29752066 10.70247934] ; [59.70247934 26.29752066],0
v1,1,0.57989,0.306412,[11 22] ; [33 52],[12.30508475 20.69491525] ; [31.69491525 53.30508475],0
d2,1,0.586161,0.296379,[19 16] ; [41 43],[17.64705882 17.35294118] ; [42.35294118 41.64705882],0
b4,1,0.589657,0.29088,[23 12] ; [52 34],[21.69421488 13.30578512] ; [53.30578512 32.69421488],0
u2,1,0.631391,0.230179,[4 4] ; [19 13],[4.6 3.4] ; [18.4 13.6],0
d5,1,0.702783,0.145593,[27  8] ; [62 22],[26.17647059  8.82352941] ; [62.82352941 21.17647059],0
a1,1,0.722738,0.125884,[ 4 31] ; [ 8 78],[ 3.47107438 31.52892562] ; [ 8.52892562 77.47107438],0
b1,1,0.802589,0.062499,[15 20] ; [39 47],[15.61983471 19.38016529] ; [38.38016529 47.61983471],0
u4,1,0.860222,0.031008,[ 1 34] ; [ 3 83],[ 1.15702479 33.84297521] ; [ 2.84297521 83.15702479],0
a8,1,0.894806,0.017484,[ 4 30] ; [10 69],[ 4.21238938 29.78761062] ; [ 9.78761062 69.21238938],0
