Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.3e-05,18.939567,[30 21] ; [ 43 123],[17.15668203 33.84331797] ; [ 55.84331797 110.15668203],1
p8,1,0.466482,0.530298,[25 27] ; [72 98],[22.72072072 29.27927928] ; [74.27927928 95.72072072],0
d5,1,0.476652,0.506513,[24 29] ; [87 84],[26.26339286 26.73660714] ; [84.73660714 86.26339286],0
u3,1,0.503854,0.446809,[9 9] ; [39 55],[ 7.71428571 10.28571429] ; [40.28571429 53.71428571],0
d3,1,0.504591,0.445268,[21 31] ; [ 60 110],[18.97297297 33.02702703] ; [ 62.02702703 107.97297297],0
n6,1,0.536276,0.382485,[41 12] ; [125  46],[39.27678571 13.72321429] ; [126.72321429  44.27678571],0
n3,1,0.598197,0.277723,[9 3] ; [39 19],[8.22857143 3.77142857] ; [39.77142857 18.22857143],0
p2,1,0.628401,0.234235,[36 16] ; [125  47],[37.375 14.625] ; [123.625  48.375],0
n1,1,0.666515,0.185706,[5 7] ; [20 37],[4.34782609 7.65217391] ; [20.65217391 36.34782609],0
u1,1,0.687841,0.161433,[ 1 52] ; [  2 170],[ 0.70666667 52.29333333] ; [  2.29333333 169.70666667],0
p6,1,0.718622,0.129817,[15 37] ; [ 45 126],[13.99103139 38.00896861] ; [ 46.00896861 124.99103139],0
a2,1,0.7507,0.100943,[ 2 51] ; [  5 167],[ 1.64888889 51.35111111] ; [  5.35111111 166.64888889],0
p7,1,0.765695,0.088811,[29 22] ; [91 76],[28.0733945 22.9266055] ; [91.9266055 75.0733945],0
a7,1,0.789022,0.071599,[33 19] ; [105  66],[32.1793722 19.8206278] ; [105.8206278  65.1793722],0
a6,1,0.810904,0.057245,[30 22] ; [96 76],[29.25 22.75] ; [96.75 75.25],0
d4,1,0.829271,0.046499,[29 23] ; [93 79],[28.32142857 23.67857143] ; [93.67857143 78.32142857],0
p1,1,0.877155,0.023894,[ 4 48] ; [ 12 158],[ 3.74774775 48.25225225] ; [ 12.25225225 157.74774775],0
d2,1,0.903076,0.01483,[ 8 45] ; [ 27 144],[ 8.28125 44.71875] ; [ 26.71875 144.28125],0
u2,1,0.964422,0.00199,[ 9 10] ; [44 50],[ 8.91150442 10.08849558] ; [44.08849558 49.91150442],0
p9,1,0.972003,0.001232,[34 16] ; [114  53],[34.10138249 15.89861751] ; [113.89861751  53.10138249],0
