Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,7.6e-05,15.644444,[ 7 23] ; [26 10],[15. 15.] ; [18. 18.],1
p7,1,0.799596,0.06445,[20  8] ; [26  9],[20.44444444  7.55555556] ; [25.55555556  9.44444444],0
a2,1,0.811043,0.057159,[ 5 25] ; [ 7 30],[ 5.37313433 24.62686567] ; [ 6.62686567 30.37313433],0
r3,1,0.828464,0.046947,[28  2] ; [35  2],[28.20895522  1.79104478] ; [34.79104478  2.20895522],0
p2,1,0.867259,0.027936,[23  7] ; [29  8],[23.28358209  6.71641791] ; [28.71641791  8.28358209],0
p12,1,0.876346,0.024212,[ 1 28] ; [ 1 35],[ 0.89230769 28.10769231] ; [ 1.10769231 34.89230769],0
s3,1,0.879135,0.023124,[17 12] ; [21 16],[16.6969697 12.3030303] ; [21.3030303 15.6969697],0
b5,1,0.924627,0.00895,[23  7] ; [28  9],[22.8358209  7.1641791] ; [28.1641791  8.8358209],0
n1,1,0.936898,0.006268,[5 7] ; [4 6],[4.90909091 7.09090909] ; [4.09090909 5.90909091],0
a4,1,0.937762,0.006097,[10 20] ; [12 25],[ 9.85074627 20.14925373] ; [12.14925373 24.85074627],0
r1,1,0.973603,0.001095,[22  8] ; [27 10],[21.94029851  8.05970149] ; [27.05970149  9.94029851],0
r4,1,0.982842,0.000463,[26  4] ; [32  5],[25.97014925  4.02985075] ; [32.02985075  4.97014925],0
s5,1,0.98595,0.00031,[ 9 19] ; [11 23],[ 9.03225806 18.96774194] ; [10.96774194 23.03225806],0
