Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,70.575304,[118   9] ; [10 26],[99.73006135 27.26993865] ; [28.26993865  7.73006135],1
a6,1,0.300448,1.072205,[91 37] ; [23 14],[88.43636364 39.56363636] ; [25.56363636 11.43636364],0
b5,1,0.325145,0.968137,[75 53] ; [25 12],[77.57575758 50.42424242] ; [22.42424242 14.57575758],0
a8,1,0.3623,0.829904,[ 11 104] ; [ 5 28],[ 12.43243243 102.56756757] ; [ 3.56756757 29.43243243],0
n3,1,0.376204,0.783069,[20  5] ; [8 4],[18.91891892  6.08108108] ; [9.08108108 2.91891892],0
r1,1,0.383755,0.758637,[102  26] ; [27 10],[100.07272727  27.92727273] ; [28.92727273  8.07272727],0
s7,1,0.423669,0.640115,[37 84] ; [ 8 26],[35.12903226 85.87096774] ; [ 9.87096774 24.12903226],0
s2,1,0.484294,0.48918,[46 82] ; [11 26],[44.21818182 83.78181818] ; [12.78181818 24.21818182],0
s5,1,0.532371,0.389864,[30 96] ; [ 7 30],[28.60122699 97.39877301] ; [ 8.39877301 28.60122699],0
p1,1,0.534933,0.385012,[ 15 113] ; [ 3 34],[ 13.96363636 114.03636364] ; [ 4.03636364 32.96363636],0
b2,1,0.60767,0.263582,[24 50] ; [ 5 14],[23.07526882 50.92473118] ; [ 5.92473118 13.07526882],0
b3,1,0.60767,0.263582,[24 50] ; [ 5 14],[23.07526882 50.92473118] ; [ 5.92473118 13.07526882],0
d4,1,0.612586,0.256426,[98 30] ; [29  7],[99.12195122 28.87804878] ; [27.87804878  8.12195122],0
d3,1,0.655766,0.198707,[88 40] ; [24 13],[86.88484848 41.11515152] ; [25.11515152 11.88484848],0
d2,1,0.733004,0.116371,[61 67] ; [16 20],[60.09756098 67.90243902] ; [16.90243902 19.09756098],0
n2,1,0.776689,0.08045,[17  8] ; [8 3],[17.36111111  7.63888889] ; [7.63888889 3.36111111],0
s3,1,0.802007,0.062876,[54 72] ; [15 22],[53.33742331 72.66257669] ; [15.66257669 21.33742331],0
b4,1,0.860003,0.031107,[81 47] ; [24 13],[81.45454545 46.54545455] ; [23.54545455 13.45454545],0
s4,1,0.959134,0.002626,[ 14 112] ; [ 4 33],[ 13.91411043 112.08588957] ; [ 4.08588957 32.91411043],0
