Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.000338,12.845104,[ 6 37] ; [ 95 126],[16.45075758 26.54924242] ; [ 84.54924242 136.45075758],1
b1,1,0.63848,0.220736,[35 42] ; [139 188],[33.16336634 43.83663366] ; [140.83663366 186.16336634],0
p9,1,0.666123,0.186171,[68  9] ; [281  44],[66.84825871 10.15174129] ; [282.15174129  42.84825871],0
d1,1,0.676954,0.173575,[50 27] ; [204 123],[48.41089109 28.58910891] ; [205.58910891 121.41089109],0
r1,1,0.683358,0.166371,[63 14] ; [273  53],[64.19851117 12.80148883] ; [271.80148883  54.19851117],0
a3,1,0.689678,0.159434,[60 17] ; [247  79],[58.65756824 18.34243176] ; [248.34243176  77.65756824],0
d5,1,0.69803,0.15053,[62 15] ; [267  57],[63.17456359 13.82543641] ; [265.82543641  58.17456359],0
v4,1,0.718519,0.129917,[73  3] ; [309  16],[72.39900249  3.60099751] ; [309.60099751  15.39900249],0
d2,1,0.723604,0.125066,[42 35] ; [170 155],[40.60696517 36.39303483] ; [171.39303483 153.60696517],0
p2,1,0.748036,0.103189,[65 12] ; [279  46],[65.89054726 11.10945274] ; [278.10945274  46.89054726],0
b4,1,0.763291,0.090699,[44 33] ; [193 134],[45.17079208 31.82920792] ; [191.82920792 135.17079208],0
s8,1,0.790154,0.070815,[47 30] ; [193 132],[45.97014925 31.02985075] ; [194.02985075 130.97014925],0
n5,1,0.811855,0.05666,[67 10] ; [286  39],[67.61442786  9.38557214] ; [285.38557214  39.61442786],0
p6,1,0.812309,0.056382,[33 43] ; [135 187],[32.08040201 43.91959799] ; [135.91959799 186.08040201],0
a5,1,0.885023,0.020911,[59 18] ; [248  79],[58.51237624 18.48762376] ; [248.48762376  78.51237624],0
n6,1,0.885311,0.020805,[68  9] ; [288  36],[68.35910224  8.64089776] ; [287.64089776  36.35910224],0
p7,1,0.904312,0.014452,[51 25] ; [215 102],[51.44020356 24.55979644] ; [214.55979644 102.44020356],0
b5,1,0.92587,0.008657,[45 32] ; [193 134],[45.36138614 31.63861386] ; [192.63861386 134.36138614],0
p10,1,0.97349,0.001104,[65 12] ; [274  50],[65.09476309 11.90523691] ; [273.90523691  50.09476309],0
a2,1,0.997148,1.3e-05,[20 57] ; [ 85 242],[20.01237624 56.98762376] ; [ 84.98762376 242.01237624],0
