Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,159.729958,[ 33 210] ; [167  70],[101.25 141.75] ; [ 98.75 138.25],1
r3,1,0.007503,7.148486,[207  34] ; [224  16],[215.94802495  25.05197505] ; [215.05197505  24.94802495],0
n6,1,0.008227,6.983403,[168  72] ; [193  47],[180.5  59.5] ; [180.5  59.5],0
p10,1,0.015748,5.830741,[151  84] ; [178  61],[163.11181435  71.88818565] ; [165.88818565  73.11181435],0
p2,1,0.034093,4.490047,[173  68] ; [189  47],[182.89727463  58.10272537] ; [179.10272537  56.89727463],0
v1,1,0.038418,4.286416,[ 96 142] ; [118 119],[107.22526316 130.77473684] ; [106.77473684 130.22526316],0
p9,1,0.054008,3.712445,[165  72] ; [182  53],[174.23516949  62.76483051] ; [172.76483051  62.23516949],0
p11,1,0.067114,3.35224,[166  78] ; [182  59],[175.07628866  68.92371134] ; [172.92371134  68.07628866],0
s5,1,0.077759,3.111125,[ 42 198] ; [ 57 180],[ 49.81132075 190.18867925] ; [ 49.18867925 187.81132075],0
v4,1,0.07802,3.105679,[208  32] ; [220  20],[214.  26.] ; [214.  26.],0
v3,1,0.081612,3.032508,[ 67 171] ; [ 82 148],[ 75.77350427 162.22649573] ; [ 73.22649573 156.77350427],0
s1,1,0.103216,2.655132,[ 13 227] ; [  6 233],[  9.51983299 230.48016701] ; [  9.48016701 229.51983299],0
n2,1,0.116531,2.463332,[49 17] ; [38 24],[44.859375 21.140625] ; [42.140625 19.859375],0
b1,1,0.118506,2.436955,[105 139] ; [ 87 154],[ 96.59381443 147.40618557] ; [ 95.40618557 145.59381443],0
n4,1,0.122105,2.390115,[165  78] ; [179  62],[172.7107438  70.2892562] ; [171.2892562  69.7107438],0
s2,1,0.133142,2.255483,[ 61 182] ; [ 75 165],[ 68.42236025 174.57763975] ; [ 67.57763975 172.42236025],0
u2,1,0.158141,1.991915,[58 64] ; [33 23],[62.37078652 59.62921348] ; [28.62921348 27.37078652],0
u3,1,0.167877,1.901796,[55 67] ; [32 25],[59.29608939 62.70391061] ; [27.70391061 29.29608939],0
n1,1,0.186124,1.748036,[25 40] ; [17 45],[21.49606299 43.50393701] ; [20.50393701 41.49606299],0
p7,1,0.248181,1.333516,[121 113] ; [134 101],[127.22814499 106.77185501] ; [127.77185501 107.22814499],0
s6,1,0.297379,1.08591,[101 140] ; [111 127],[106.66388309 134.33611691] ; [105.33611691 132.66388309],0
a1,1,0.319699,0.990177,[ 15 229] ; [ 10 231],[ 12.57731959 231.42268041] ; [ 12.42268041 228.57731959],0
b4,1,0.322058,0.980571,[137 107] ; [146  95],[142.37525773 101.62474227] ; [140.62474227 100.37525773],0
p6,1,0.336289,0.924528,[ 54 183] ; [ 62 171],[ 58.49361702 178.50638298] ; [ 57.50638298 175.49361702],0
n5,1,0.380485,0.769133,[157  81] ; [168  73],[161.4822547  76.5177453] ; [163.5177453  77.4822547],0
b3,1,0.38661,0.749579,[40 90] ; [49 88],[43.33333333 86.66666667] ; [45.66666667 91.33333333],0
b2,1,0.38661,0.749579,[40 90] ; [49 88],[43.33333333 86.66666667] ; [45.66666667 91.33333333],0
p8,1,0.434904,0.609692,[ 99 139] ; [107 130],[103.21684211 134.78315789] ; [102.78315789 134.21684211],0
p3,1,0.553835,0.350491,[ 89 153] ; [ 93 143],[ 92.14225941 149.85774059] ; [ 89.85774059 146.14225941],0
p5,1,0.616182,0.25127,[ 18 221] ; [ 21 218],[ 19.5 219.5] ; [ 19.5 219.5],0
p1,1,0.624196,0.240013,[ 19 221] ; [ 22 218],[ 20.5 219.5] ; [ 20.5 219.5],0
p12,1,0.662426,0.19059,[ 10 229] ; [ 12 227],[ 11. 228.] ; [ 11. 228.],0
b5,1,0.726617,0.12224,[143 101] ; [145  96],[144.89072165  99.10927835] ; [143.10927835  97.89072165],0
n3,1,0.814764,0.054889,[46 19] ; [42 19],[45.3968254 19.6031746] ; [42.6031746 18.3968254],0
a8,1,0.859846,0.031177,[ 28 201] ; [ 25 189],[ 27.3972912 201.6027088] ; [ 25.6027088 188.3972912],0
s3,1,0.952096,0.003609,[ 88 150] ; [ 87 150],[ 87.68421053 150.31578947] ; [ 87.31578947 149.68421053],0
