Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3.4e-05,17.181818,[29  4] ; [ 7 14],[22. 11.] ; [14.  7.],1
p2,1,0.782368,0.076305,[11 21] ; [ 8 13],[11.47169811 20.52830189] ; [ 7.52830189 13.47169811],0
p5,1,0.818634,0.052579,[ 2 30] ; [ 1 20],[ 1.81132075 30.18867925] ; [ 1.18867925 19.81132075],0
p9,1,0.82919,0.046544,[13 18] ; [ 9 11],[13.37254902 17.62745098] ; [ 8.62745098 11.37254902],0
u1,1,0.839051,0.041253,[ 2 31] ; [ 1 20],[ 1.83333333 31.16666667] ; [ 1.16666667 19.83333333],0
r2,1,0.855772,0.033036,[16 16] ; [10  9],[16.31372549 15.68627451] ; [9.68627451 9.31372549],0
s3,1,0.884558,0.021081,[ 9 23] ; [ 6 14],[ 9.23076923 22.76923077] ; [ 5.76923077 14.23076923],0
n2,1,0.898768,0.016184,[8 9] ; [4 5],[7.84615385 9.15384615] ; [4.15384615 4.84615385],0
b5,1,0.950503,0.003853,[16 17] ; [10 11],[15.88888889 17.11111111] ; [10.11111111 10.88888889],0
a5,1,0.950503,0.003853,[16 17] ; [10 11],[15.88888889 17.11111111] ; [10.11111111 10.88888889],0
s4,1,0.957332,0.002862,[ 3 30] ; [ 2 19],[ 3.05555556 29.94444444] ; [ 1.94444444 19.05555556],0
s1,1,0.957332,0.002862,[ 3 30] ; [ 2 19],[ 3.05555556 29.94444444] ; [ 1.94444444 19.05555556],0
p6,1,0.985291,0.00034,[ 3 28] ; [ 2 19],[ 2.98076923 28.01923077] ; [ 2.01923077 18.98076923],0
