Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,4e-06,21.110964,[23  6] ; [ 9 30],[13.64705882 15.35294118] ; [18.35294118 20.64705882],1
p5,1,0.682677,0.167127,[ 2 26] ; [ 4 36],[ 2.47058824 25.52941176] ; [ 3.52941176 36.47058824],0
b1,1,0.693285,0.155553,[10 19] ; [12 28],[ 9.24637681 19.75362319] ; [12.75362319 27.24637681],0
a3,1,0.693285,0.155553,[19 10] ; [28 12],[19.75362319  9.24637681] ; [27.24637681 12.75362319],0
s1,1,0.739315,0.110729,[ 2 27] ; [ 2 38],[ 1.68115942 27.31884058] ; [ 2.31884058 37.68115942],0
n4,1,0.764582,0.089682,[12 17] ; [18 22],[12.60869565 16.39130435] ; [17.39130435 22.60869565],0
p9,1,0.772967,0.08323,[18  9] ; [28 12],[18.53731343  8.46268657] ; [27.46268657 12.53731343],0
n6,1,0.881451,0.02224,[17 11] ; [25 15],[17.29411765 10.70588235] ; [24.70588235 15.29411765],0
p2,1,0.922801,0.009391,[20  8] ; [29 11],[20.17647059  7.82352941] ; [28.82352941 11.17647059],0
r2,1,0.923967,0.009108,[27  2] ; [37  3],[26.89855072  2.10144928] ; [37.10144928  2.89855072],0
r3,1,0.923967,0.009108,[27  2] ; [37  3],[26.89855072  2.10144928] ; [37.10144928  2.89855072],0
b4,1,0.926553,0.008498,[20  9] ; [28 12],[20.17391304  8.82608696] ; [27.82608696 12.17391304],0
b2,1,0.938278,0.005996,[4 9] ; [ 8 17],[4.10526316 8.89473684] ; [ 7.89473684 17.10526316],0
b3,1,0.938278,0.005996,[4 9] ; [ 8 17],[4.10526316 8.89473684] ; [ 7.89473684 17.10526316],0
p6,1,0.950069,0.003921,[ 7 21] ; [ 9 28],[ 6.89230769 21.10769231] ; [ 9.10769231 27.89230769],0
p7,1,0.958451,0.002714,[14 13] ; [21 19],[14.10447761 12.89552239] ; [20.89552239 19.10447761],0
