Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,2e-06,22.2537,[54 76] ; [115  52],[73.97306397 56.02693603] ; [95.02693603 71.97306397],1
v4,1,0.348971,0.877195,[113  15] ; [152  14],[115.37414966  12.62585034] ; [149.62585034  16.37414966],0
v3,1,0.379389,0.77268,[48 78] ; [ 55 111],[44.44520548 81.55479452] ; [ 58.55479452 107.44520548],0
a2,1,0.421009,0.647498,[ 10 120] ; [  9 158],[  8.31649832 121.68350168] ; [ 10.68350168 156.31649832],0
p12,1,0.4323,0.616636,[ 10 118] ; [  9 154],[  8.35738832 119.64261168] ; [ 10.64261168 152.35738832],0
n6,1,0.43337,0.613776,[104  26] ; [137  27],[106.56462585  23.43537415] ; [134.43537415  29.56462585],0
p7,1,0.472602,0.515886,[70 56] ; [98 66],[72.99310345 53.00689655] ; [95.00689655 68.99310345],0
a4,1,0.473624,0.513508,[32 96] ; [ 48 119],[34.71186441 93.28813559] ; [ 45.28813559 121.71186441],0
a6,1,0.500322,0.454253,[79 51] ; [95 72],[76.16161616 53.83838384] ; [97.83838384 69.16161616],0
p6,1,0.541263,0.373203,[38 88] ; [ 55 109],[40.40689655 85.59310345] ; [ 52.59310345 111.40689655],0
s3,1,0.542158,0.371554,[62 62] ; [89 77],[64.56551724 59.43448276] ; [86.43448276 79.56551724],0
b1,1,0.610631,0.259258,[53 77] ; [73 94],[55.15151515 74.84848485] ; [70.84848485 96.15151515],0
n1,1,0.627626,0.235294,[18 16] ; [16 18],[17. 17.] ; [17. 17.],0
p3,1,0.63182,0.229601,[57 72] ; [78 88],[59.03389831 69.96610169] ; [75.96610169 90.03389831],0
p5,1,0.639408,0.219518,[ 14 114] ; [ 21 144],[ 15.29010239 112.70989761] ; [ 19.70989761 145.29010239],0
v1,1,0.672458,0.178741,[61 65] ; [83 80],[62.78200692 63.21799308] ; [81.21799308 81.78200692],0
p8,1,0.675749,0.17495,[56 69] ; [78 87],[57.75862069 67.24137931] ; [76.24137931 88.75862069],0
p4,1,0.724403,0.124313,[63 66] ; [84 81],[64.5 64.5] ; [82.5 82.5],0
r2,1,0.730981,0.118213,[114  15] ; [147  17],[114.9112628  14.0887372] ; [146.0887372  17.9112628],0
b5,1,0.782679,0.076082,[75 55] ; [99 68],[76.16161616 53.83838384] ; [97.83838384 69.16161616],0
u1,1,0.806823,0.059793,[  4 126] ; [  6 161],[  4.37710438 125.62289562] ; [  5.62289562 161.37710438],0
n3,1,0.824033,0.049444,[23  9] ; [26  9],[23.40298507  8.59701493] ; [25.59701493  9.40298507],0
b4,1,0.899473,0.015958,[73 57] ; [95 72],[73.53535354 56.46464646] ; [94.46464646 72.53535354],0
n2,1,0.947257,0.004376,[26  8] ; [27  8],[26.11594203  7.88405797] ; [26.88405797  8.11594203],0
