Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,94.423366,[102   8] ; [ 58 113],[62.63345196 47.36654804] ; [97.36654804 73.63345196],1
p5,1,0.408208,0.684014,[ 10 100] ; [ 11 160],[  8.22064057 101.77935943] ; [ 12.77935943 158.22064057],0
s1,1,0.484013,0.489807,[  6 104] ; [ 13 158],[  7.43772242 102.56227758] ; [ 11.56227758 159.43772242],0
a1,1,0.508519,0.437114,[  5 106] ; [ 11 162],[  6.25352113 104.74647887] ; [  9.74647887 163.25352113],0
s6,1,0.563215,0.334168,[50 59] ; [72 98],[47.66308244 61.33691756] ; [74.33691756 95.66308244],0
b4,1,0.57294,0.317789,[66 45] ; [97 76],[63.70774648 47.29225352] ; [99.29225352 73.70774648],0
s3,1,0.585547,0.297353,[43 68] ; [71 98],[45.19285714 65.80714286] ; [ 68.80714286 100.19285714],0
b5,1,0.616338,0.251048,[66 45] ; [108  65],[68.00704225 42.99295775] ; [105.99295775  67.00704225],0
p11,1,0.636172,0.223784,[73 38] ; [109  64],[71.13380282 39.86619718] ; [110.86619718  62.13380282],0
v3,1,0.650555,0.205201,[16 94] ; [ 28 141],[17.34767025 92.65232975] ; [ 26.65232975 142.34767025],0
s7,1,0.659783,0.193787,[26 77] ; [ 38 128],[24.50557621 78.49442379] ; [ 39.49442379 126.50557621],0
p8,1,0.708817,0.139462,[44 67] ; [ 64 107],[42.5106383 68.4893617] ; [ 65.4893617 105.5106383],0
p7,1,0.716307,0.132059,[54 55] ; [79 88],[52.52536232 56.47463768] ; [80.47463768 86.52536232],0
v1,1,0.718329,0.1301,[33 78] ; [ 54 116],[34.36654804 76.63345196] ; [ 52.63345196 117.36654804],0
p1,1,0.820537,0.051463,[ 10 101] ; [ 14 156],[  9.48042705 101.51957295] ; [ 14.51957295 155.48042705],0
p2,1,0.944153,0.004907,[79 30] ; [124  48],[78.74377224 30.25622776] ; [124.25622776  47.74377224],0
n3,1,0.991544,0.000112,[22 14] ; [30 19],[22.02352941 13.97647059] ; [29.97647059 19.02352941],0
