Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2.6e-05,17.671602,[18  5] ; [30 68],[ 9.12396694 13.87603306] ; [38.87603306 59.12396694],1
d1,1,0.651063,0.204563,[12 11] ; [46 52],[11.02479339 11.97520661] ; [46.97520661 51.02479339],0
p9,1,0.652093,0.203271,[11 11] ; [42 52],[10.05172414 11.94827586] ; [42.94827586 51.05172414],0
r1,1,0.657082,0.197087,[15  8] ; [59 39],[14.0661157  8.9338843] ; [59.9338843 38.0661157],0
p11,1,0.731731,0.117528,[11 12] ; [43 55],[10.26446281 12.73553719] ; [43.73553719 54.26446281],0
d5,1,0.742922,0.107575,[16  7] ; [64 33],[15.33333333  7.66666667] ; [64.66666667 32.33333333],0
a7,1,0.746116,0.104824,[13 10] ; [59 39],[13.68595041  9.31404959] ; [58.31404959 39.68595041],0
a3,1,0.764628,0.089646,[15  8] ; [60 37],[14.375  8.625] ; [60.625 36.375],0
n3,1,0.785904,0.073784,[4 4] ; [21 17],[4.34782609 3.65217391] ; [20.65217391 17.34782609],0
u1,1,0.806116,0.06024,[ 3 20] ; [11 87],[ 2.66115702 20.33884298] ; [11.33884298 86.66115702],0
p7,1,0.844531,0.038456,[ 6 17] ; [27 69],[ 6.37815126 16.62184874] ; [26.62184874 69.37815126],0
n2,1,0.869668,0.026922,[5 4] ; [24 17],[5.22 3.78] ; [23.78 17.22],0
b2,1,0.880051,0.022772,[ 6 11] ; [20 40],[ 5.74025974 11.25974026] ; [20.25974026 39.74025974],0
b3,1,0.880051,0.022772,[ 6 11] ; [20 40],[ 5.74025974 11.25974026] ; [20.25974026 39.74025974],0
a6,1,0.987553,0.000243,[13 10] ; [55 42],[13.03333333  9.96666667] ; [54.96666667 42.03333333],0
