Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,84.480641,[290  86] ; [ 62 108],[242.4029304 133.5970696] ; [109.5970696  60.4029304],1
u3,1,0.026264,4.938533,[72 49] ; [30 40],[64.61780105 56.38219895] ; [37.38219895 32.61780105],0
a3,1,0.055206,3.675839,[253 121] ; [100  69],[243.13443831 130.86556169] ; [109.86556169  59.13443831],0
p8,1,0.076225,3.143608,[173 198] ; [ 65 104],[163.51481481 207.48518519] ; [74.48518519 94.51481481],0
s5,1,0.082398,3.016962,[ 95 271] ; [ 54 108],[103.28409091 262.71590909] ; [ 45.71590909 116.28409091],0
n6,1,0.106167,2.610373,[296  79] ; [122  46],[288.67403315  86.32596685] ; [129.32596685  38.67403315],0
s2,1,0.11406,2.49705,[171 203] ; [ 65 104],[162.54880295 211.45119705] ; [73.45119705 95.54880295],0
p3,1,0.169096,1.890942,[153 221] ; [ 59 111],[145.75 228.25] ; [ 66.25 103.75],0
u2,1,0.174561,1.843335,[65 56] ; [30 39],[60.5 60.5] ; [34.5 34.5],0
p6,1,0.188082,1.732578,[123 250] ; [ 45 120],[116.47583643 256.52416357] ; [ 51.52416357 113.47583643],0
p7,1,0.199467,1.646272,[213 154] ; [87 80],[206.17977528 160.82022472] ; [93.82022472 73.17977528],0
n4,1,0.213318,1.548762,[262 113] ; [109  60],[255.74448529 119.25551471] ; [115.25551471  53.74448529],0
a1,1,0.293219,1.104781,[ 11 365] ; [  8 162],[ 13.08424908 362.91575092] ; [  5.91575092 164.08424908],0
b3,1,0.327684,0.958028,[ 65 143] ; [40 69],[ 68.89589905 139.10410095] ; [36.10410095 72.89589905],0
b2,1,0.327684,0.958028,[ 65 143] ; [40 69],[ 68.89589905 139.10410095] ; [36.10410095 72.89589905],0
p12,1,0.346999,0.884403,[ 10 365] ; [  7 160],[ 11.76199262 363.23800738] ; [  5.23800738 161.76199262],0
s1,1,0.362352,0.829726,[ 10 362] ; [  7 161],[ 11.71111111 360.28888889] ; [  5.28888889 162.71111111],0
a4,1,0.408387,0.683492,[151 224] ; [74 94],[155.38674033 219.61325967] ; [69.61325967 98.38674033],0
v1,1,0.439423,0.597789,[155 212] ; [ 65 103],[150.91588785 216.08411215] ; [69.08411215 98.91588785],0
p1,1,0.499888,0.455175,[ 19 355] ; [ 11 158],[ 20.66298343 353.33701657] ; [  9.33701657 159.66298343],0
a8,1,0.518934,0.416011,[ 46 302] ; [ 18 143],[ 43.75638507 304.24361493] ; [ 20.24361493 140.75638507],0
u4,1,0.667166,0.184935,[  3 373] ; [  2 168],[  3.44322344 372.55677656] ; [  1.55677656 168.44322344],0
b4,1,0.671874,0.179418,[213 163] ; [93 77],[210.72527473 165.27472527] ; [95.27472527 74.72527473],0
s8,1,0.675822,0.174867,[127 249] ; [ 54 115],[124.8733945 251.1266055] ; [ 56.1266055 112.8733945],0
p11,1,0.681642,0.168283,[274 102] ; [121  49],[272.01465201 103.98534799] ; [122.98534799  47.01465201],0
n2,1,0.687146,0.162193,[66 26] ; [44 20],[64.87179487 27.12820513] ; [45.12820513 18.87179487],0
n5,1,0.693306,0.15553,[246 126] ; [114  54],[248. 124.] ; [112.  56.],0
s3,1,0.719964,0.128528,[191 183] ; [83 85],[189.0701107 184.9298893] ; [84.9298893 83.0701107],0
s7,1,0.838146,0.041725,[137 224] ; [63 99],[138.04971319 222.95028681] ; [ 61.95028681 100.04971319],0
n1,1,0.845558,0.037943,[34 59] ; [24 39],[34.57692308 58.42307692] ; [23.42307692 39.57692308],0
s4,1,0.848989,0.036255,[ 74 296] ; [ 35 134],[ 74.82374768 295.17625232] ; [ 34.17625232 134.82374768],0
d2,1,0.89038,0.018995,[161 215] ; [73 95],[161.73529412 214.26470588] ; [72.26470588 95.73529412],0
