Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,5.1e-05,16.392916,[ 13 125] ; [18 36],[ 22.28125 115.71875] ; [ 8.71875 45.28125],1
p10,1,0.259835,1.269634,[76 60] ; [35 19],[79.45263158 56.54736842] ; [31.54736842 22.45263158],0
v4,1,0.260332,1.266993,[111  27] ; [48  7],[113.68911917  24.31088083] ; [45.31088083  9.68911917],0
d1,1,0.26254,1.255316,[58 80] ; [28 27],[61.49222798 76.50777202] ; [24.50777202 30.49222798],0
a2,1,0.271568,1.208807,[ 21 117] ; [12 43],[ 23.59585492 114.40414508] ; [ 9.40414508 45.59585492],0
p5,1,0.277725,1.178188,[  5 133] ; [ 4 51],[  6.43523316 131.56476684] ; [ 2.56476684 52.43523316],0
p6,1,0.283009,1.152583,[ 15 122] ; [ 9 45],[ 17.21465969 119.78534031] ; [ 6.78534031 47.21465969],0
n1,1,0.295596,1.093959,[18 38] ; [7 8],[19.71830986 36.28169014] ; [5.28169014 9.71830986],0
a6,1,0.300147,1.073542,[87 51] ; [39 16],[90.09326425 47.90673575] ; [35.90673575 19.09326425],0
b2,1,0.302639,1.062529,[29 50] ; [16 18],[31.46017699 47.53982301] ; [13.53982301 20.46017699],0
b3,1,0.302639,1.062529,[29 50] ; [16 18],[31.46017699 47.53982301] ; [13.53982301 20.46017699],0
d4,1,0.305847,1.048525,[100  38] ; [43 11],[102.78125  35.21875] ; [40.21875 13.78125],0
p1,1,0.311043,1.02624,[  9 128] ; [ 6 49],[ 10.703125 126.296875] ; [ 4.296875 50.703125],0
b4,1,0.311166,1.025721,[82 56] ; [37 18],[85.0880829 52.9119171] ; [33.9119171 21.0880829],0
s4,1,0.337802,0.918757,[ 17 120] ; [ 4 49],[ 15.14210526 121.85789474] ; [ 5.85789474 47.14210526],0
p11,1,0.360226,0.837105,[90 48] ; [32 23],[87.23316062 50.76683938] ; [34.76683938 20.23316062],0
u1,1,0.385203,0.754032,[ 14 124] ; [ 8 47],[ 15.73056995 122.26943005] ; [ 6.26943005 48.73056995],0
b5,1,0.406369,0.689398,[84 54] ; [37 18],[86.51813472 51.48186528] ; [34.48186528 20.51813472],0
r1,1,0.406369,0.689398,[84 54] ; [37 18],[86.51813472 51.48186528] ; [34.48186528 20.51813472],0
n3,1,0.472731,0.515585,[31 24] ; [10  5],[32.21428571 22.78571429] ; [8.78571429 6.21428571],0
p4,1,0.529159,0.396007,[47 91] ; [21 33],[48.875 89.125] ; [19.125 34.875],0
a8,1,0.556528,0.345752,[ 12 119] ; [ 3 44],[ 11.03932584 119.96067416] ; [ 3.96067416 43.03932584],0
n2,1,0.612469,0.256596,[34 21] ; [11  5],[34.85915493 20.14084507] ; [10.14084507  5.85915493],0
a4,1,0.62596,0.237579,[57 80] ; [25 30],[58.51041667 78.48958333] ; [23.48958333 31.51041667],0
n6,1,0.630384,0.231541,[100  37] ; [42 13],[101.32291667  35.67708333] ; [40.67708333 14.32291667],0
r3,1,0.652334,0.20297,[113  24] ; [46  8],[114.04712042  22.95287958] ; [44.95287958  9.04712042],0
p8,1,0.690481,0.158565,[ 31 106] ; [11 44],[ 29.96875 107.03125] ; [12.03125 42.96875],0
u3,1,0.783887,0.075217,[30 31] ; [9 8],[30.5 30.5] ; [8.5 8.5],0
n5,1,0.798946,0.064878,[87 50] ; [36 19],[87.765625 49.234375] ; [35.234375 19.765625],0
p9,1,0.806656,0.059899,[87 46] ; [37 18],[87.72340426 45.27659574] ; [36.27659574 18.72340426],0
p3,1,0.837713,0.041951,[ 32 106] ; [12 43],[ 31.4611399 106.5388601] ; [12.5388601 42.4611399],0
s5,1,0.867657,0.027767,[ 22 113] ; [ 9 43],[ 22.37967914 112.62032086] ; [ 8.62032086 43.37967914],0
b1,1,0.86788,0.027673,[57 81] ; [22 33],[56.48704663 81.51295337] ; [22.51295337 32.48704663],0
a5,1,0.910779,0.012557,[89 49] ; [35 20],[88.66321244 49.33678756] ; [35.33678756 19.66321244],0
s1,1,0.978649,0.000716,[  5 133] ; [ 2 52],[  5.03125 132.96875] ; [ 1.96875 52.03125],0
