Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,100.403814,[257   7] ; [20 21],[239.76393443  24.23606557] ; [37.23606557  3.76393443],1
s4,1,0.199178,1.648388,[ 55 204] ; [ 5 35],[ 51.97324415 207.02675585] ; [ 8.02675585 31.97324415],0
v4,1,0.235173,1.409298,[259   5] ; [39  2],[257.94098361   6.05901639] ; [40.05901639  0.94098361],0
b3,1,0.242558,1.365663,[76 92] ; [16 12],[78.85714286 89.14285714] ; [13.14285714 14.85714286],0
b2,1,0.242558,1.365663,[76 92] ; [16 12],[78.85714286 89.14285714] ; [13.14285714 14.85714286],0
a6,1,0.255709,1.29184,[177  85] ; [24 17],[173.8019802  88.1980198] ; [27.1980198 13.8019802],0
s3,1,0.318992,0.993074,[162 100] ; [22 19],[159.10231023 102.89768977] ; [24.89768977 16.10231023],0
a7,1,0.319443,0.991224,[198  64] ; [28 13],[195.41914191  66.58085809] ; [30.58085809 10.41914191],0
n3,1,0.322633,0.978243,[32 12] ; [12  2],[33.37931034 10.62068966] ; [10.62068966  3.37931034],0
u1,1,0.336066,0.925382,[ 63 201] ; [ 7 34],[ 60.59016393 203.40983607] ; [ 9.40983607 31.59016393],0
r1,1,0.394217,0.725895,[226  38] ; [33  8],[224.18360656  39.81639344] ; [34.81639344  6.18360656],0
d2,1,0.447574,0.576788,[145 118] ; [20 21],[142.74671053 120.25328947] ; [22.25328947 18.74671053],0
a1,1,0.534465,0.385895,[ 20 244] ; [ 2 39],[ 19.04262295 244.95737705] ; [ 2.95737705 38.04262295],0
a4,1,0.537565,0.380071,[136 128] ; [19 22],[134.16393443 129.83606557] ; [20.83606557 20.16393443],0
u3,1,0.539086,0.377236,[42 19] ; [11  7],[40.92405063 20.07594937] ; [12.07594937  5.92405063],0
a8,1,0.603001,0.270493,[ 36 202] ; [ 7 31],[ 37.07971014 200.92028986] ; [ 5.92028986 32.07971014],0
p1,1,0.611014,0.258701,[ 37 226] ; [ 7 34],[ 38.06578947 224.93421053] ; [ 5.93421053 35.06578947],0
b4,1,0.616016,0.251507,[159 105] ; [23 18],[157.53442623 106.46557377] ; [24.46557377 16.53442623],0
s1,1,0.688702,0.160494,[ 10 254] ; [ 2 37],[ 10.45544554 253.54455446] ; [ 1.54455446 37.45544554],0
u2,1,0.698515,0.150021,[37 24] ; [10  8],[36.29113924 24.70886076] ; [10.70886076  7.29113924],0
r3,1,0.817852,0.053042,[258   5] ; [40  1],[257.80921053   5.19078947] ; [40.19078947  0.80921053],0
r2,1,0.952925,0.003485,[256   6] ; [40  1],[255.94719472   6.05280528] ; [40.05280528  0.94719472],0
