Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.004427,8.1,[1 8] ; [7 2],[4. 5.] ; [4. 5.],0
d1,1,0.574784,0.314743,[ 8 13] ; [ 5 12],[ 7.18421053 13.81578947] ; [ 5.81578947 11.18421053],0
r1,1,0.635318,0.224918,[ 9 12] ; [ 6 11],[ 8.28947368 12.71052632] ; [ 6.71052632 10.28947368],0
a6,1,0.635318,0.224918,[12  9] ; [11  6],[12.71052632  8.28947368] ; [10.28947368  6.71052632],0
u1,1,0.67894,0.171322,[ 2 19] ; [ 1 16],[ 1.65789474 19.34210526] ; [ 1.34210526 15.65789474],0
b2,1,0.690328,0.15873,[4 8] ; [2 6],[3.6 8.4] ; [2.4 5.6],0
b3,1,0.690328,0.15873,[4 8] ; [2 6],[3.6 8.4] ; [2.4 5.6],0
p8,1,0.699454,0.149041,[ 7 13] ; [ 7 10],[ 7.56756757 12.43243243] ; [ 6.43243243 10.56756757],0
b1,1,0.744231,0.106443,[11 10] ; [8 9],[10.5 10.5] ; [8.5 8.5],0
n5,1,0.795628,0.067086,[12  9] ; [9 8],[11.60526316  9.39473684] ; [9.39473684 7.60526316],0
n2,1,0.832662,0.044643,[5 4] ; [3 3],[4.8 4.2] ; [3.2 2.8],0
a8,1,0.924978,0.008867,[ 4 16] ; [ 3 13],[ 3.88888889 16.11111111] ; [ 3.11111111 12.88888889],0
d5,1,0.954709,0.003226,[15  6] ; [12  5],[14.92105263  6.07894737] ; [12.07894737  4.92105263],0
n3,1,1.0,0.0,[6 3] ; [4 2],[6. 3.] ; [4. 2.],0
