Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3e-06,21.774645,[14 81] ; [14  9],[22.54237288 72.45762712] ; [ 5.45762712 17.54237288],1
d4,1,0.424779,0.637056,[70 27] ; [16  9],[68.37704918 28.62295082] ; [17.62295082  7.37704918],0
r2,1,0.435288,0.608673,[75 18] ; [21  3],[76.30769231 16.69230769] ; [19.69230769  4.30769231],0
s6,1,0.442984,0.58854,[27 69] ; [ 9 16],[28.56198347 67.43801653] ; [ 7.43801653 17.56198347],0
s4,1,0.52097,0.411973,[12 83] ; [ 2 23],[11.08333333 83.91666667] ; [ 2.91666667 22.08333333],0
r3,1,0.541992,0.371861,[67 29] ; [19  6],[68.23140496 27.76859504] ; [17.76859504  7.23140496],0
a7,1,0.544027,0.368127,[55 41] ; [16  9],[56.33057851 39.66942149] ; [14.66942149 10.33057851],0
u3,1,0.617935,0.24878,[20 21] ; [4 6],[19.29411765 21.70588235] ; [4.70588235 5.29411765],0
n4,1,0.671322,0.18006,[62 34] ; [15 10],[61.09090909 34.90909091] ; [15.90909091  9.09090909],0
s5,1,0.685627,0.16386,[14 78] ; [ 3 22],[13.36752137 78.63247863] ; [ 3.63247863 21.36752137],0
a3,1,0.710307,0.137971,[56 40] ; [15  9],[56.8 39.2] ; [14.2  9.8],0
u1,1,0.729553,0.119523,[10 87] ; [ 2 23],[ 9.54098361 87.45901639] ; [ 2.45901639 22.54098361],0
a5,1,0.730905,0.118283,[58 39] ; [14 11],[57.24590164 39.75409836] ; [14.75409836 10.24590164],0
s7,1,0.747015,0.104056,[20 74] ; [ 4 18],[19.44827586 74.55172414] ; [ 4.55172414 17.44827586],0
b5,1,0.759719,0.093544,[51 46] ; [14 11],[51.68032787 45.31967213] ; [13.31967213 11.68032787],0
a4,1,0.779075,0.078694,[37 59] ; [10 14],[37.6 58.4] ; [ 9.4 14.6],0
n3,1,0.785904,0.073784,[21 17] ; [4 4],[20.65217391 17.34782609] ; [4.34782609 3.65217391],0
v3,1,0.797323,0.065953,[27 65] ; [ 8 17],[27.52136752 64.47863248] ; [ 7.47863248 17.52136752],0
d1,1,0.813337,0.055754,[44 53] ; [12 13],[44.52459016 52.47540984] ; [11.47540984 13.52459016],0
a6,1,0.837565,0.042029,[56 41] ; [15 10],[56.45081967 40.54918033] ; [14.54918033 10.45081967],0
n6,1,0.84822,0.03663,[62 34] ; [16  8],[62.4 33.6] ; [15.6  8.4],0
a2,1,0.856995,0.032472,[17 80] ; [ 4 21],[16.69672131 80.30327869] ; [ 4.30327869 20.69672131],0
d3,1,0.894676,0.017527,[49 48] ; [13 12],[49.29508197 47.70491803] ; [12.70491803 12.29508197],0
a8,1,0.921369,0.009744,[ 9 83] ; [ 2 20],[ 8.87719298 83.12280702] ; [ 2.12280702 19.87719298],0
b4,1,0.949724,0.003976,[55 42] ; [14 11],[54.86065574 42.13934426] ; [14.13934426 10.86065574],0
p12,1,0.977805,0.000774,[ 4 93] ; [ 1 24],[ 3.97540984 93.02459016] ; [ 1.02459016 23.97540984],0
n5,1,0.984417,0.000382,[61 34] ; [16  9],[60.95833333 34.04166667] ; [16.04166667  8.95833333],0
d5,1,0.99389,5.9e-05,[62 35] ; [16  9],[62.01639344 34.98360656] ; [15.98360656  9.01639344],0
