Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.000219,13.663968,[ 6 33] ; [10  5],[11.55555556 27.44444444] ; [ 4.44444444 10.55555556],1
b3,1,0.146807,2.105114,[13 13] ; [3 9],[10.94736842 15.05263158] ; [5.05263158 6.94736842],0
b2,1,0.146807,2.105114,[13 13] ; [3 9],[10.94736842 15.05263158] ; [5.05263158 6.94736842],0
n2,1,0.184866,1.758063,[12 11] ; [7 2],[13.65625  9.34375] ; [5.34375 3.65625],0
s1,1,0.197396,1.661538,[ 3 36] ; [ 3 12],[ 4.33333333 34.66666667] ; [ 1.66666667 13.33333333],0
u3,1,0.202134,1.626891,[ 5 12] ; [4 3],[ 6.375 10.625] ; [2.625 4.375],0
s8,1,0.221383,1.495385,[ 5 34] ; [ 4 11],[ 6.5 32.5] ; [ 2.5 12.5],0
p6,1,0.238042,1.392154,[ 5 33] ; [ 4 11],[ 6.45283019 31.54716981] ; [ 2.54716981 12.45283019],0
p4,1,0.242596,1.365444,[ 7 31] ; [ 5 10],[ 8.60377358 29.39622642] ; [ 3.39622642 11.60377358],0
p2,1,0.273211,1.200555,[12 27] ; [7 8],[13.72222222 25.27777778] ; [5.27777778 9.72222222],0
p5,1,0.316385,1.003831,[ 2 36] ; [ 2 13],[ 2.86792453 35.13207547] ; [ 1.13207547 13.86792453],0
u2,1,0.323727,0.97383,[ 6 11] ; [4 3],[7.08333333 9.91666667] ; [2.91666667 4.08333333],0
a5,1,0.36205,0.830769,[18 21] ; [9 6],[19.5 19.5] ; [7.5 7.5],0
p7,1,0.454499,0.559407,[ 7 30] ; [ 4 10],[ 7.98039216 29.01960784] ; [ 3.01960784 10.98039216],0
n3,1,0.456996,0.553243,[ 9 13] ; [5 4],[ 9.93548387 12.06451613] ; [4.06451613 4.93548387],0
d5,1,0.457369,0.552325,[19 20] ; [9 6],[20.22222222 18.77777778] ; [7.77777778 7.22222222],0
d3,1,0.467166,0.528671,[14 25] ; [7 8],[15.16666667 23.83333333] ; [5.83333333 9.16666667],0
v3,1,0.476182,0.507595,[ 7 32] ; [ 4 11],[ 7.94444444 31.05555556] ; [ 3.05555556 11.94444444],0
d2,1,0.510073,0.433918,[14 24] ; [7 8],[15.05660377 22.94339623] ; [5.94339623 9.05660377],0
n1,1,0.538195,0.378896,[10 13] ; [5 4],[10.78125 12.21875] ; [4.21875 4.78125],0
d1,1,0.571892,0.319527,[10 29] ; [ 5 10],[10.83333333 28.16666667] ; [ 4.16666667 10.83333333],0
b1,1,0.58257,0.302098,[24 15] ; [8 7],[23.11111111 15.88888889] ; [8.88888889 6.11111111],0
d4,1,0.636259,0.223669,[18 21] ; [8 7],[18.77777778 20.22222222] ; [7.22222222 7.77777778],0
r1,1,0.645885,0.211128,[13 26] ; [6 9],[13.72222222 25.27777778] ; [5.27777778 9.72222222],0
n5,1,0.664086,0.188599,[29 10] ; [12  3],[29.61111111  9.38888889] ; [11.38888889  3.61111111],0
a1,1,0.683553,0.166154,[ 7 32] ; [ 2 13],[ 6.5 32.5] ; [ 2.5 12.5],0
a4,1,0.692501,0.156391,[14 24] ; [6 8],[14.61538462 23.38461538] ; [5.38461538 8.61538462],0
v2,1,0.713052,0.135247,[ 6 32] ; [ 3 12],[ 6.45283019 31.54716981] ; [ 2.54716981 12.45283019],0
p1,1,0.747262,0.103846,[ 4 35] ; [ 2 13],[ 4.33333333 34.66666667] ; [ 1.66666667 13.33333333],0
r2,1,0.849982,0.035774,[23 13] ; [10  5],[23.29411765 12.70588235] ; [9.70588235 5.29411765],0
a2,1,0.959923,0.002525,[ 5 34] ; [ 2 13],[ 5.05555556 33.94444444] ; [ 1.94444444 13.05555556],0
a3,1,0.961176,0.00237,[22 16] ; [8 6],[21.92307692 16.07692308] ; [8.07692308 5.92307692],0
a6,1,0.972996,0.001146,[18 21] ; [7 8],[18.05555556 20.94444444] ; [6.94444444 8.05555556],0
