Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,3.4e-05,17.194489,[16 25] ; [100  35],[27.02272727 13.97727273] ; [88.97727273 46.02272727],1
n3,1,0.313525,1.01577,[11  7] ; [34 12],[12.65625  5.34375] ; [32.34375 13.65625],0
b2,1,0.323387,0.975198,[ 5 18] ; [20 41],[ 6.8452381 16.1547619] ; [18.1547619 42.8452381],0
b3,1,0.323387,0.975198,[ 5 18] ; [20 41],[ 6.8452381 16.1547619] ; [18.1547619 42.8452381],0
a5,1,0.351893,0.86662,[20 21] ; [77 58],[22.59659091 18.40340909] ; [74.40340909 60.59659091],0
u2,1,0.36896,0.807163,[ 9 10] ; [32 22],[10.67123288  8.32876712] ; [30.32876712 23.67123288],0
s1,1,0.372223,0.796231,[ 1 40] ; [  1 133],[ 0.46857143 40.53142857] ; [  1.53142857 132.46857143],0
p8,1,0.468463,0.525599,[18 23] ; [67 66],[20.02873563 20.97126437] ; [64.97126437 68.02873563],0
b4,1,0.47041,0.521014,[22 19] ; [81 54],[23.99431818 17.00568182] ; [79.00568182 55.99431818],0
p1,1,0.47133,0.518857,[ 3 38] ; [  6 128],[ 2.10857143 38.89142857] ; [  6.89142857 127.10857143],0
n2,1,0.480478,0.497778,[14  4] ; [31 14],[12.85714286  5.14285714] ; [32.14285714 12.85714286],0
p11,1,0.528257,0.397744,[28 13] ; [99 36],[29.58522727 11.41477273] ; [97.41477273 37.58522727],0
n6,1,0.550402,0.356598,[26 15] ; [91 42],[27.56896552 13.43103448] ; [89.43103448 43.56896552],0
p6,1,0.599116,0.276332,[11 28] ; [ 32 101],[ 9.75 29.25] ; [33.25 99.75],0
p4,1,0.633388,0.227494,[18 23] ; [65 70],[19.33522727 21.66477273] ; [63.66477273 71.33522727],0
a4,1,0.671808,0.179494,[12 29] ; [ 35 100],[10.94886364 30.05113636] ; [36.05113636 98.94886364],0
a3,1,0.692371,0.15653,[22 18] ; [79 56],[23.08571429 16.91428571] ; [77.91428571 57.08571429],0
p3,1,0.758114,0.094839,[15 26] ; [53 82],[15.84090909 25.15909091] ; [52.15909091 82.84090909],0
s5,1,0.861268,0.030541,[12 28] ; [38 95],[11.56069364 28.43930636] ; [38.43930636 94.56069364],0
n1,1,0.885841,0.020612,[ 4 14] ; [11 35],[ 4.21875 13.78125] ; [10.78125 35.21875],0
d2,1,0.942496,0.005203,[13 28] ; [42 93],[12.8125 28.1875] ; [42.1875 92.8125],0
v1,1,0.977849,0.000771,[17 23] ; [56 75],[17.07602339 22.92397661] ; [55.92397661 75.07602339],0
s4,1,0.994356,5e-05,[10 31] ; [ 33 102],[10.01704545 30.98295455] ; [ 32.98295455 102.01704545],0
