Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,45.421875,[19 83] ; [38 13],[38. 64.] ; [19. 32.],1
s3,1,0.544459,0.367338,[44 57] ; [20 32],[42.24836601 58.75163399] ; [21.75163399 30.24836601],0
p1,1,0.546731,0.363206,[ 7 95] ; [ 5 47],[ 7.94805195 94.05194805] ; [ 4.05194805 47.94805195],0
n4,1,0.610074,0.260067,[61 42] ; [33 19],[62.46451613 40.53548387] ; [31.53548387 20.46451613],0
s4,1,0.646688,0.210101,[21 82] ; [ 9 43],[19.93548387 83.06451613] ; [10.06451613 41.93548387],0
u2,1,0.650749,0.204957,[23 34] ; [4 8],[22.30434783 34.69565217] ; [4.69565217 7.30434783],0
s1,1,0.756114,0.096465,[  3 100] ; [ 2 50],[ 3.32258065 99.67741935] ; [ 1.67741935 50.32258065],0
v1,1,0.875671,0.02448,[36 64] ; [17 32],[35.5704698 64.4295302] ; [17.4295302 31.5704698],0
b1,1,0.946801,0.004452,[43 60] ; [22 30],[43.19354839 59.80645161] ; [21.80645161 30.19354839],0
r4,1,0.954488,0.003257,[51 52] ; [26 26],[51.16774194 51.83225806] ; [25.83225806 26.16774194],0
a1,1,0.986894,0.00027,[ 8 95] ; [ 4 48],[ 7.97419355 95.02580645] ; [ 4.02580645 47.97419355],0
