Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.048217,3.902392,[7 1] ; [13 14],[4.57142857 3.42857143] ; [15.42857143 11.57142857],0
d3,1,0.345996,0.888088,[17  7] ; [31 21],[15.15789474  8.84210526] ; [32.84210526 19.15789474],0
v3,1,0.356355,0.850697,[ 7 17] ; [10 41],[ 5.44 18.56] ; [11.56 39.44],0
p6,1,0.387756,0.745968,[ 4 17] ; [15 37],[ 5.46575342 15.53424658] ; [13.53424658 38.46575342],0
d5,1,0.40189,0.702663,[18  6] ; [34 18],[16.42105263  7.57894737] ; [35.57894737 16.42105263],0
u1,1,0.403662,0.697392,[ 2 22] ; [ 2 51],[ 1.24675325 22.75324675] ; [ 2.75324675 50.24675325],0
a8,1,0.412821,0.670662,[ 2 21] ; [ 2 48],[ 1.26027397 21.73972603] ; [ 2.73972603 47.26027397],0
p5,1,0.415466,0.663105,[ 2 22] ; [ 2 50],[ 1.26315789 22.73684211] ; [ 2.73684211 49.26315789],0
a7,1,0.431279,0.619377,[17  7] ; [32 20],[15.47368421  8.52631579] ; [33.52631579 18.47368421],0
p3,1,0.447334,0.577398,[10 14] ; [17 35],[ 8.52631579 15.47368421] ; [18.47368421 33.52631579],0
r4,1,0.450451,0.569516,[14 10] ; [26 27],[12.46753247 11.53246753] ; [27.53246753 25.46753247],0
n2,1,0.45426,0.56,[6 2] ; [12  8],[5.14285714 2.85714286] ; [12.85714286  7.14285714],0
n1,1,0.466479,0.530303,[1 7] ; [ 5 15],[1.71428571 6.28571429] ; [ 4.28571429 15.71428571],0
p9,1,0.467699,0.527408,[16  7] ; [31 20],[14.60810811  8.39189189] ; [32.39189189 18.60810811],0
p2,1,0.528908,0.396489,[17  7] ; [33 19],[15.78947368  8.21052632] ; [34.21052632 17.78947368],0
r3,1,0.533497,0.387727,[19  5] ; [45  8],[19.94805195  4.05194805] ; [44.05194805  8.94805195],0
s8,1,0.538448,0.378424,[ 7 17] ; [12 41],[ 5.92207792 18.07792208] ; [13.07792208 39.92207792],0
v4,1,0.557632,0.343821,[19  5] ; [44  8],[19.89473684  4.10526316] ; [43.10526316  8.89473684],0
s7,1,0.60171,0.272425,[ 8 16] ; [14 37],[ 7.04 16.96] ; [14.96 36.04],0
v1,1,0.607174,0.264311,[ 8 15] ; [15 37],[ 7.05333333 15.94666667] ; [15.94666667 36.05333333],0
s2,1,0.626772,0.236463,[ 9 15] ; [23 30],[ 9.97402597 14.02597403] ; [22.02597403 30.97402597],0
p10,1,0.658569,0.195267,[13 10] ; [26 25],[12.12162162 10.87837838] ; [26.87837838 24.12162162],0
s1,1,0.659293,0.194383,[ 2 22] ; [ 3 50],[ 1.55844156 22.44155844] ; [ 3.44155844 49.55844156],0
a4,1,0.667244,0.184843,[ 7 17] ; [13 40],[ 6.23376623 17.76623377] ; [13.76623377 39.23376623],0
p4,1,0.689869,0.159227,[ 8 15] ; [21 32],[ 8.77631579 14.22368421] ; [20.22368421 32.77631579],0
d1,1,0.743204,0.107331,[10 14] ; [20 33],[ 9.35064935 14.64935065] ; [20.64935065 32.35064935],0
b1,1,0.817908,0.053009,[12 12] ; [25 28],[11.53246753 12.46753247] ; [25.46753247 27.53246753],0
d2,1,0.859578,0.031298,[ 9 15] ; [21 32],[ 9.35064935 14.64935065] ; [20.64935065 32.35064935],0
s6,1,0.896086,0.017058,[11 13] ; [23 29],[10.73684211 13.26315789] ; [23.26315789 28.73684211],0
a1,1,0.905112,0.01421,[ 2 22] ; [ 4 49],[ 1.87012987 22.12987013] ; [ 4.12987013 48.87012987],0
p7,1,0.936859,0.006276,[12 12] ; [26 25],[12.16 11.84] ; [25.84 25.16],0
r2,1,0.948196,0.004221,[16  5] ; [40 13],[15.89189189  5.10810811] ; [40.10810811 12.89189189],0
b2,1,0.955526,0.00311,[ 6 11] ; [10 19],[ 5.91304348 11.08695652] ; [10.08695652 18.91304348],0
b3,1,0.955526,0.00311,[ 6 11] ; [10 19],[ 5.91304348 11.08695652] ; [10.08695652 18.91304348],0
