Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.004964,7.89249,[13 10] ; [13 42],[ 7.66666667 15.33333333] ; [18.33333333 36.66666667],0
p10,1,0.431059,0.619968,[15  8] ; [30 24],[13.44155844  9.55844156] ; [31.55844156 22.44155844],0
s4,1,0.436954,0.604269,[ 5 18] ; [ 8 47],[ 3.83333333 19.16666667] ; [ 9.16666667 45.83333333],0
d2,1,0.453811,0.561116,[10 13] ; [28 25],[11.5 11.5] ; [26.5 26.5],0
b4,1,0.468526,0.525451,[15  8] ; [31 24],[13.56410256  9.43589744] ; [32.43589744 22.56410256],0
n3,1,0.506061,0.442204,[5 4] ; [12 16],[4.13513514 4.86486486] ; [12.86486486 15.13513514],0
a2,1,0.589431,0.291233,[ 4 19] ; [ 7 48],[ 3.24358974 19.75641026] ; [ 7.75641026 47.24358974],0
s1,1,0.594108,0.283974,[ 2 21] ; [ 3 52],[ 1.47435897 21.52564103] ; [ 3.52564103 51.47435897],0
a4,1,0.595783,0.281404,[10 13] ; [20 34],[ 8.96103896 14.03896104] ; [21.03896104 32.96103896],0
p5,1,0.618417,0.248099,[ 3 20] ; [ 5 49],[ 2.38961039 20.61038961] ; [ 5.61038961 48.38961039],0
a3,1,0.623646,0.240776,[15  8] ; [32 22],[14.03896104  8.96103896] ; [32.96103896 21.03896104],0
n1,1,0.666177,0.186107,[3 6] ; [12 17],[3.55263158 5.44736842] ; [11.44736842 17.55263158],0
s3,1,0.693768,0.155037,[10 11] ; [23 31],[ 9.24 11.76] ; [23.76 30.24],0
a6,1,0.734427,0.115085,[12 11] ; [31 24],[12.67948718 10.32051282] ; [30.32051282 24.67948718],0
n5,1,0.741865,0.108494,[14  9] ; [35 19],[14.63636364  8.36363636] ; [34.36363636 19.63636364],0
v4,1,0.760732,0.092732,[15  7] ; [38 15],[15.54666667  6.45333333] ; [37.45333333 15.54666667],0
u2,1,0.860116,0.031056,[3 4] ; [ 9 14],[2.8 4.2] ; [ 9.2 13.8],0
n2,1,0.870754,0.026472,[5 4] ; [17 12],[5.21052632 3.78947368] ; [16.78947368 12.21052632],0
v3,1,0.878812,0.023249,[ 6 17] ; [15 39],[ 6.27272727 16.72727273] ; [14.72727273 39.27272727],0
u3,1,0.935004,0.00665,[3 5] ; [ 9 14],[3.09677419 4.90322581] ; [ 8.90322581 14.09677419],0
