Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,32.948571,[127  13] ; [13 15],[116.66666667  23.33333333] ; [23.33333333  4.66666667],1
b3,1,0.335731,0.926664,[21 51] ; [ 3 14],[19.41573034 52.58426966] ; [ 4.58426966 12.41573034],0
b2,1,0.335731,0.926664,[21 51] ; [ 3 14],[19.41573034 52.58426966] ; [ 4.58426966 12.41573034],0
v4,1,0.347051,0.884211,[128  12] ; [24  4],[126.66666667  13.33333333] ; [25.33333333  2.66666667],0
p2,1,0.402664,0.700355,[95 43] ; [17 11],[93.10843373 44.89156627] ; [18.89156627  9.10843373],0
p7,1,0.480582,0.497543,[60 75] ; [14 13],[61.66666667 73.33333333] ; [12.33333333 14.66666667],0
p5,1,0.495432,0.464707,[ 10 128] ; [ 3 24],[ 10.87272727 127.12727273] ; [ 2.12727273 24.87272727],0
n4,1,0.496403,0.462618,[90 49] ; [20  8],[91.55688623 47.44311377] ; [18.44311377  9.55688623],0
s4,1,0.503849,0.44682,[ 27 112] ; [ 7 21],[ 28.2994012 110.7005988] ; [ 5.7005988 22.2994012],0
s1,1,0.53344,0.387834,[ 10 128] ; [ 3 25],[ 10.80722892 127.19277108] ; [ 2.19277108 25.80722892],0
s3,1,0.541181,0.373355,[74 66] ; [16 11],[75.4491018 64.5508982] ; [14.5508982 12.4491018],0
a7,1,0.632585,0.228571,[106  34] ; [20  8],[105.  35.] ; [21.  7.],0
a1,1,0.645734,0.211321,[  8 132] ; [ 1 27],[  7.5 132.5] ; [ 1.5 26.5],0
n3,1,0.660568,0.192835,[38 16] ; [9 5],[37.32352941 16.67647059] ; [9.67647059 4.32352941],0
p4,1,0.751073,0.100631,[64 73] ; [14 14],[64.76363636 72.23636364] ; [13.23636364 14.76363636],0
v1,1,0.757426,0.095396,[64 75] ; [12 16],[63.25748503 75.74251497] ; [12.74251497 15.25748503],0
n6,1,0.768943,0.086293,[94 43] ; [20  8],[94.65454545 42.34545455] ; [19.34545455  8.65454545],0
s6,1,0.808865,0.058511,[94 42] ; [20  8],[94.53658537 41.46341463] ; [19.46341463  8.53658537],0
s8,1,0.823197,0.049923,[56 82] ; [12 16],[56.53012048 81.46987952] ; [11.46987952 16.53012048],0
p8,1,0.828698,0.046817,[49 89] ; [ 9 18],[48.50909091 89.49090909] ; [ 9.49090909 17.50909091],0
v3,1,0.829201,0.046538,[49 84] ; [ 9 17],[48.51572327 84.48427673] ; [ 9.48427673 16.51572327],0
n2,1,0.91151,0.012351,[37 18] ; [11  5],[37.18309859 17.81690141] ; [10.81690141  5.18309859],0
u3,1,0.914509,0.011525,[20 14] ; [8 6],[19.83333333 14.16666667] ; [8.16666667 5.83333333],0
r4,1,0.920047,0.010075,[121  19] ; [24  4],[120.83333333  19.16666667] ; [24.16666667  3.83333333],0
s7,1,1.0,0.0,[63 63] ; [13 13],[63. 63.] ; [13. 13.],0
