Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,74.157118,[333  97] ; [63 95],[289.59183673 140.40816327] ; [106.40816327  51.59183673],1
p12,1,0.553869,0.350431,[ 46 386] ; [ 14 142],[ 44.08163265 387.91836735] ; [ 15.91836735 140.08163265],0
s1,1,0.574814,0.314694,[ 15 412] ; [  7 148],[ 16.14089347 410.85910653] ; [  5.85910653 149.14089347],0
v3,1,0.578475,0.308706,[166 250] ; [65 88],[168.8857645 247.1142355] ; [62.1142355 90.8857645],0
a3,1,0.598633,0.277062,[313 119] ; [111  47],[310.45423729 121.54576271] ; [113.54576271  44.45423729],0
n5,1,0.609121,0.261457,[329 102] ; [123  34],[331.31292517  99.68707483] ; [120.68707483  36.31292517],0
p5,1,0.609293,0.261206,[ 56 374] ; [ 23 134],[ 57.87052811 372.12947189] ; [ 21.12947189 135.87052811],0
p8,1,0.611381,0.258168,[230 196] ; [80 75],[227.29776248 198.70223752] ; [82.70223752 72.29776248],0
d2,1,0.621069,0.244368,[214 216] ; [75 83],[211.34353741 218.65646259] ; [77.65646259 80.34353741],0
p11,1,0.746912,0.104144,[340  93] ; [126  32],[341.4179357  91.5820643] ; [124.5820643  33.4179357],0
s3,1,0.787133,0.072919,[299 127] ; [112  45],[300.31903945 125.68096055] ; [110.68096055  46.31903945],0
s2,1,0.881312,0.022292,[282 148] ; [104  53],[282.75979557 147.24020443] ; [103.24020443  53.75979557],0
a4,1,0.905068,0.014223,[195 237] ; [70 87],[194.36332767 237.63667233] ; [70.63667233 86.36332767],0
v1,1,0.90668,0.013742,[239 180] ; [87 67],[238.38394415 180.61605585] ; [87.61605585 66.38394415],0
n2,1,0.917103,0.010833,[69 21] ; [31  9],[69.23076923 20.76923077] ; [30.76923077  9.23076923],0
u4,1,0.919086,0.01032,[ 13 420] ; [  5 153],[ 13.18781726 419.81218274] ; [  4.81218274 153.18781726],0
p1,1,0.971596,0.001268,[ 36 394] ; [ 13 144],[ 35.89437819 394.10562181] ; [ 13.10562181 143.89437819],0
