Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.3e-05,19.01397,[11 71] ; [18 17],[20.32478632 61.67521368] ; [ 8.67521368 26.32478632],1
b1,1,0.27776,1.178016,[47 36] ; [16 19],[44.31355932 38.68644068] ; [18.68644068 16.31355932],0
a5,1,0.292118,1.109833,[41 42] ; [21 14],[43.61016949 39.38983051] ; [18.38983051 16.61016949],0
p10,1,0.324763,0.969666,[39 41] ; [20 14],[41.40350877 38.59649123] ; [17.59649123 16.40350877],0
p3,1,0.330755,0.94594,[17 64] ; [10 24],[19.0173913 61.9826087] ; [ 7.9826087 26.0173913],0
p5,1,0.367638,0.811634,[ 6 76] ; [ 1 33],[ 4.94827586 77.05172414] ; [ 2.05172414 31.94827586],0
a8,1,0.4455,0.582075,[ 5 72] ; [ 1 33],[ 4.16216216 72.83783784] ; [ 1.83783784 32.16216216],0
d2,1,0.510322,0.433407,[31 51] ; [11 24],[29.43589744 52.56410256] ; [12.56410256 22.43589744],0
a7,1,0.614004,0.254385,[38 44] ; [18 17],[39.24786325 42.75213675] ; [16.75213675 18.24786325],0
a4,1,0.642726,0.215195,[27 55] ; [10 25],[25.93162393 56.06837607] ; [11.06837607 23.93162393],0
p6,1,0.64628,0.210622,[13 66] ; [ 7 28],[13.85964912 65.14035088] ; [ 6.14035088 28.85964912],0
n5,1,0.66425,0.188401,[52 30] ; [23 11],[53.01724138 28.98275862] ; [21.98275862 12.01724138],0
n1,1,0.679769,0.170386,[15 29] ; [6 9],[15.66101695 28.33898305] ; [5.33898305 9.66101695],0
n2,1,0.713274,0.135029,[24 20] ; [9 6],[24.61016949 19.38983051] ; [8.38983051 6.61016949],0
a2,1,0.785809,0.073851,[11 72] ; [ 4 31],[10.55084746 72.44915254] ; [ 4.44915254 30.55084746],0
a3,1,0.787673,0.07254,[47 35] ; [21 14],[47.65811966 34.34188034] ; [20.34188034 14.65811966],0
d1,1,0.819409,0.052123,[29 54] ; [13 22],[29.54237288 53.45762712] ; [12.45762712 22.54237288],0
p8,1,0.84637,0.03754,[24 57] ; [11 24],[24.43965517 56.56034483] ; [10.56034483 24.43965517],0
r1,1,0.900418,0.015658,[22 60] ; [ 9 26],[21.72649573 60.27350427] ; [ 9.27350427 25.72649573],0
p12,1,0.90381,0.014605,[ 2 79] ; [ 1 34],[ 2.09482759 78.90517241] ; [ 0.90517241 34.09482759],0
a1,1,0.926113,0.0086,[ 9 74] ; [ 4 31],[ 9.1440678 73.8559322] ; [ 3.8559322 31.1440678],0
r2,1,0.991105,0.000124,[43 36] ; [18 15],[43.02678571 35.97321429] ; [17.97321429 15.02678571],0
