Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,9.1e-05,15.3125,[31  5] ; [ 9 15],[24. 12.] ; [16.  8.],1
a8,1,0.516349,0.421181,[ 3 31] ; [ 1 22],[ 2.38596491 31.61403509] ; [ 1.61403509 21.38596491],0
u2,1,0.547617,0.361604,[7 6] ; [6 3],[7.68181818 5.31818182] ; [5.31818182 3.68181818],0
s2,1,0.588522,0.292659,[20 15] ; [12 12],[18.98305085 16.01694915] ; [13.01694915 10.98305085],0
n1,1,0.595883,0.28125,[5 5] ; [3 5],[4.44444444 5.55555556] ; [3.55555556 4.44444444],0
s1,1,0.623822,0.240532,[ 3 32] ; [ 3 21],[ 3.55932203 31.44067797] ; [ 2.44067797 21.55932203],0
a5,1,0.639896,0.218878,[25 11] ; [18  6],[25.8 10.2] ; [17.2  6.8],0
a2,1,0.657905,0.196078,[ 6 30] ; [ 3 21],[ 5.4 30.6] ; [ 3.6 20.4],0
s6,1,0.696368,0.152278,[25 10] ; [16  8],[24.3220339 10.6779661] ; [16.6779661  7.3220339],0
v2,1,0.703651,0.144702,[18 17] ; [13 10],[18.70689655 16.29310345] ; [12.29310345 10.70689655],0
b5,1,0.749668,0.10181,[21 15] ; [13 11],[20.4 15.6] ; [13.6 10.4],0
v3,1,0.78846,0.071991,[12 22] ; [ 7 15],[11.53571429 22.46428571] ; [ 7.46428571 14.53571429],0
s7,1,0.820724,0.051354,[14 20] ; [ 8 13],[13.6 20.4] ; [ 8.4 12.6],0
d2,1,0.832937,0.044494,[19 17] ; [12 12],[18.6 17.4] ; [12.4 11.6],0
a4,1,0.832937,0.044494,[17 19] ; [12 12],[17.4 18.6] ; [11.6 12.4],0
v1,1,0.843086,0.039184,[16 17] ; [11 13],[15.63157895 17.36842105] ; [11.36842105 12.63157895],0
u3,1,0.906855,0.01369,[9 5] ; [6 3],[9.13043478 4.86956522] ; [5.86956522 3.13043478],0
s5,1,0.910276,0.012699,[11 22] ; [ 8 15],[11.19642857 21.80357143] ; [ 7.80357143 15.19642857],0
a3,1,0.913677,0.011751,[22 14] ; [15  9],[22.2 13.8] ; [14.8  9.2],0
b1,1,0.91563,0.011223,[16 20] ; [11 13],[16.2 19.8] ; [10.8 13.2],0
s4,1,0.937735,0.006102,[ 7 28] ; [ 5 19],[ 7.11864407 27.88135593] ; [ 4.88135593 19.11864407],0
p6,1,0.939487,0.005763,[12 23] ; [ 8 16],[11.86440678 23.13559322] ; [ 8.13559322 15.86440678],0
a1,1,1.0,0.0,[ 3 33] ; [ 2 22],[ 3. 33.] ; [ 2. 22.],0
r3,1,1.0,0.0,[33  3] ; [22  2],[33.  3.] ; [22.  2.],0
d5,1,1.0,0.0,[27  9] ; [18  6],[27.  9.] ; [18.  6.],0
s3,1,1.0,0.0,[18 18] ; [12 12],[18. 18.] ; [12. 12.],0
