Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,7e-06,20.174625,[ 1 63] ; [ 47 118],[13.41484716 50.58515284] ; [ 34.58515284 130.41484716],1
n4,1,0.01267,6.214565,[41 23] ; [131  33],[48.28070175 15.71929825] ; [123.71929825  40.28070175],0
p10,1,0.013664,6.080992,[41 22] ; [133  32],[48.07894737 14.92105263] ; [125.92105263  39.07894737],0
s8,1,0.024029,5.092525,[19 45] ; [76 89],[26.55021834 37.44978166] ; [68.44978166 96.55021834],0
s6,1,0.063529,3.442774,[36 27] ; [115  49],[41.90748899 21.09251101] ; [109.09251101  54.90748899],0
b3,1,0.090137,2.871921,[ 8 27] ; [42 67],[12.15277778 22.84722222] ; [37.84722222 71.15277778],0
b2,1,0.090137,2.871921,[ 8 27] ; [42 67],[12.15277778 22.84722222] ; [37.84722222 71.15277778],0
a7,1,0.090773,2.860616,[42 21] ; [128  37],[46.97368421 16.02631579] ; [123.02631579  41.97368421],0
r2,1,0.105398,2.621901,[57  7] ; [153   8],[59.73333333  4.26666667] ; [150.26666667  10.73333333],0
r4,1,0.11104,2.539363,[50 14] ; [143  22],[53.93886463 10.06113537] ; [139.06113537  25.93886463],0
s3,1,0.122583,2.383998,[28 35] ; [90 71],[33.1875 29.8125] ; [84.8125 76.1875],0
n2,1,0.180346,1.794767,[11  9] ; [31 12],[13.33333333  6.66666667] ; [28.66666667 14.33333333],0
n5,1,0.181256,1.787294,[39 25] ; [113  48],[43.23555556 20.76444444] ; [108.76444444  52.23555556],0
n3,1,0.191541,1.705722,[14  7] ; [35  8],[16.078125  4.921875] ; [32.921875 10.078125],0
a8,1,0.211995,1.55775,[ 5 54] ; [ 22 125],[ 7.73300971 51.26699029] ; [ 19.26699029 127.73300971],0
p6,1,0.315357,1.008106,[14 49] ; [ 47 116],[17.00442478 45.99557522] ; [ 43.99557522 119.00442478],0
p1,1,0.385117,0.754303,[ 4 60] ; [  6 159],[ 2.79475983 61.20524017] ; [  7.20524017 157.79475983],0
s1,1,0.41165,0.674031,[ 1 62] ; [  6 156],[ 1.96 61.04] ; [  5.04 156.96],0
p2,1,0.515537,0.422812,[45 19] ; [123  42],[46.95196507 17.04803493] ; [121.04803493  43.95196507],0
n1,1,0.516729,0.420418,[ 5 16] ; [13 28],[ 6.09677419 14.90322581] ; [11.90322581 29.09677419],0
p5,1,0.523783,0.406438,[ 4 60] ; [  7 158],[ 3.07423581 60.92576419] ; [  7.92576419 157.07423581],0
u3,1,0.544591,0.367097,[15 13] ; [22 14],[16.1875 11.8125] ; [20.8125 15.1875],0
b4,1,0.607124,0.264384,[40 24] ; [97 68],[38.28820961 25.71179039] ; [98.71179039 66.28820961],0
d3,1,0.646066,0.210896,[43 21] ; [116  49],[44.43668122 19.56331878] ; [114.56331878  50.43668122],0
b1,1,0.651988,0.203403,[22 42] ; [ 62 103],[23.47598253 40.52401747] ; [ 60.52401747 104.47598253],0
p7,1,0.666148,0.18614,[31 32] ; [75 88],[29.54867257 33.45132743] ; [76.45132743 86.54867257],0
a1,1,0.686982,0.162372,[ 3 61] ; [ 10 155],[ 3.63318777 60.36681223] ; [  9.36681223 155.63318777],0
v4,1,0.731908,0.117367,[58  6] ; [150  13],[58.64317181  5.35682819] ; [149.35682819  13.64317181],0
b5,1,0.738277,0.111647,[43 21] ; [107  58],[41.92139738 22.07860262] ; [108.07860262  56.92139738],0
s4,1,0.806107,0.060247,[11 53] ; [ 26 138],[10.38596491 53.61403509] ; [ 26.61403509 137.38596491],0
v3,1,0.83224,0.044872,[29 35] ; [75 85],[29.71428571 34.28571429] ; [74.28571429 85.71428571],0
u4,1,0.83425,0.043787,[ 1 63] ; [  2 163],[ 0.83842795 63.16157205] ; [  2.16157205 162.83842795],0
n6,1,0.86586,0.028534,[52 12] ; [134  29],[52.44052863 11.55947137] ; [133.55947137  29.44052863],0
v1,1,0.882742,0.021755,[36 27] ; [92 66],[36.48868778 26.51131222] ; [91.51131222 66.48868778],0
p11,1,0.929043,0.00793,[45 19] ; [117  48],[45.27510917 18.72489083] ; [116.72489083  48.27510917],0
u2,1,0.932564,0.00716,[14 13] ; [18 16],[14.16393443 12.83606557] ; [17.83606557 16.16393443],0
