Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,8e-06,19.968925,[ 34 101] ; [113 118],[54.22131148 80.77868852] ; [ 92.77868852 138.22131148],1
p12,1,0.269343,1.220091,[ 12 123] ; [ 30 207],[ 15.24193548 119.75806452] ; [ 26.75806452 210.24193548],0
a6,1,0.415459,0.663125,[106  30] ; [193  44],[109.01876676  26.98123324] ; [189.98123324  47.01876676],0
n3,1,0.501799,0.45113,[24  7] ; [31 13],[22.73333333  8.26666667] ; [32.26666667 11.73333333],0
a1,1,0.517922,0.418029,[  9 127] ; [ 12 227],[  7.616 128.384] ; [ 13.384 225.616],0
s5,1,0.519247,0.415389,[42 87] ; [ 83 148],[44.79166667 84.20833333] ; [ 80.20833333 150.79166667],0
s2,1,0.520824,0.412262,[66 69] ; [122 111],[68.9673913 66.0326087] ; [119.0326087 113.9673913],0
b1,1,0.543449,0.369185,[48 88] ; [ 77 162],[45.33333333 90.66666667] ; [ 79.66666667 159.33333333],0
d4,1,0.565773,0.329806,[116  20] ; [208  30],[117.81818182  18.18181818] ; [206.18181818  31.81818182],0
b2,1,0.57959,0.306899,[25 50] ; [56 95],[26.88053097 48.11946903] ; [54.11946903 96.88053097],0
b3,1,0.57959,0.306899,[25 50] ; [56 95],[26.88053097 48.11946903] ; [54.11946903 96.88053097],0
r3,1,0.594137,0.283929,[130   4] ; [233   5],[130.75806452   3.24193548] ; [232.24193548   5.75806452],0
d2,1,0.609905,0.260313,[68 68] ; [125 112],[70.36997319 65.63002681] ; [122.63002681 114.36997319],0
a3,1,0.632467,0.228731,[101  35] ; [182  56],[102.90909091  33.09090909] ; [180.09090909  57.90909091],0
b4,1,0.636253,0.223676,[82 54] ; [150  89],[84.13866667 51.86133333] ; [147.86133333  91.13866667],0
r2,1,0.668,0.18395,[128   7] ; [227  10],[128.83064516   6.16935484] ; [226.16935484  10.83064516],0
s3,1,0.673969,0.176995,[75 58] ; [125 106],[73.07692308 59.92307692] ; [126.92307692 104.07692308],0
p10,1,0.676562,0.174022,[112  23] ; [198  36],[113.41463415  21.58536585] ; [196.58536585  37.41463415],0
d5,1,0.847969,0.036753,[115  21] ; [203  35],[115.63636364  20.36363636] ; [202.36363636  35.63636364],0
r1,1,0.865137,0.028845,[116  19] ; [206  32],[116.54155496  18.45844504] ; [205.45844504  32.54155496],0
n2,1,0.869678,0.026918,[23  7] ; [33 11],[22.7027027  7.2972973] ; [33.2972973 10.7027027],0
