Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,2.7e-05,17.625694,[ 6 29] ; [45 30],[16.22727273 18.77272727] ; [34.77272727 40.22727273],1
p7,1,0.494579,0.46655,[14 19] ; [27 49],[12.41284404 20.58715596] ; [28.58715596 47.41284404],0
n4,1,0.514628,0.424645,[23 12] ; [56 22],[24.46902655 10.53097345] ; [54.53097345 23.46902655],0
r3,1,0.517887,0.418099,[31  4] ; [72  6],[31.90265487  3.09734513] ; [71.09734513  6.90265487],0
n1,1,0.522421,0.409111,[6 4] ; [14 15],[5.12820513 4.87179487] ; [14.87179487 14.12820513],0
r2,1,0.531616,0.391301,[31  4] ; [71  6],[31.875  3.125] ; [70.125  6.875],0
p10,1,0.54413,0.367939,[28  7] ; [66 12],[29.11504425  5.88495575] ; [64.88495575 13.11504425],0
b4,1,0.551562,0.354527,[19 16] ; [47 31],[20.44247788 14.55752212] ; [45.55752212 32.44247788],0
a1,1,0.553953,0.350284,[ 2 33] ; [ 7 71],[ 2.78761062 32.21238938] ; [ 6.21238938 71.78761062],0
s3,1,0.559595,0.340407,[16 17] ; [42 35],[17.4 15.6] ; [40.6 36.4],0
u2,1,0.565319,0.330579,[13  9] ; [9 9],[12.1  9.9] ; [9.9 8.1],0
n3,1,0.635672,0.224447,[8 2] ; [21  8],[7.43589744 2.56410256] ; [21.56410256  7.43589744],0
v1,1,0.82303,0.050019,[16 19] ; [36 39],[16.54545455 18.45454545] ; [35.45454545 39.54545455],0
p4,1,0.850614,0.03547,[13 21] ; [28 49],[12.55855856 21.44144144] ; [28.44144144 48.55855856],0
p8,1,0.921145,0.009799,[10 25] ; [23 55],[10.22123894 24.77876106] ; [22.77876106 55.22123894],0
b5,1,0.97281,0.001162,[23 12] ; [51 27],[22.92035398 12.07964602] ; [51.07964602 26.92035398],0
