Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-06,24.691793,[ 8 25] ; [65 23],[19.90909091 13.09090909] ; [53.09090909 34.90909091],1
n4,1,0.407451,0.686227,[24  9] ; [57 31],[22.09090909 10.90909091] ; [58.90909091 29.09090909],0
s3,1,0.412278,0.672222,[16 17] ; [50 38],[18. 15.] ; [48. 40.],0
v2,1,0.429274,0.624786,[15 18] ; [45 39],[16.92307692 16.07692308] ; [43.07692308 40.92307692],0
v1,1,0.435613,0.607812,[18 15] ; [41 47],[16.09090909 16.90909091] ; [42.90909091 45.09090909],0
b3,1,0.449454,0.572028,[ 7 12] ; [10 27],[ 5.76785714 13.23214286] ; [11.23214286 25.76785714],0
b2,1,0.449454,0.572028,[ 7 12] ; [10 27],[ 5.76785714 13.23214286] ; [11.23214286 25.76785714],0
n6,1,0.473519,0.513753,[23  9] ; [68 19],[24.47058824  7.52941176] ; [66.52941176 20.47058824],0
n2,1,0.478308,0.502719,[9 4] ; [23  6],[9.9047619 3.0952381] ; [22.0952381  6.9047619],0
a8,1,0.483875,0.490118,[ 2 30] ; [ 8 68],[ 2.96296296 29.03703704] ; [ 7.03703704 68.96296296],0
p3,1,0.516689,0.420498,[11 21] ; [36 52],[12.53333333 19.46666667] ; [34.46666667 53.53333333],0
v3,1,0.587401,0.294421,[13 19] ; [31 57],[11.73333333 20.26666667] ; [32.26666667 55.73333333],0
p6,1,0.590902,0.288938,[11 22] ; [34 54],[12.27272727 20.72727273] ; [32.72727273 55.27272727],0
p4,1,0.600953,0.273561,[17 15] ; [42 46],[15.73333333 16.26666667] ; [43.26666667 44.73333333],0
p2,1,0.633553,0.227273,[25  7] ; [65 23],[24.  8.] ; [66. 22.],0
u3,1,0.667779,0.184211,[6 4] ; [13 12],[5.42857143 4.57142857] ; [13.57142857 11.42857143],0
a4,1,0.681846,0.168056,[14 19] ; [41 47],[15. 18.] ; [40. 48.],0
p7,1,0.697685,0.150892,[18 13] ; [47 40],[17.07627119 13.92372881] ; [47.92372881 39.07627119],0
p12,1,0.709197,0.13908,[ 1 32] ; [ 4 84],[ 1.36363636 31.63636364] ; [ 3.63636364 84.36363636],0
u2,1,0.73927,0.110769,[4 6] ; [12 14],[4.44444444 5.55555556] ; [11.55555556 14.44444444],0
s4,1,0.758075,0.09487,[ 7 26] ; [21 67],[ 7.63636364 25.36363636] ; [20.36363636 67.63636364],0
p8,1,0.758722,0.094347,[13 20] ; [32 56],[12.27272727 20.72727273] ; [32.72727273 55.27272727],0
s5,1,0.80224,0.062725,[13 19] ; [35 46],[13.59292035 18.40707965] ; [34.40707965 46.59292035],0
n1,1,0.813421,0.055703,[4 9] ; [10 19],[4.33333333 8.66666667] ; [ 9.66666667 19.33333333],0
n3,1,0.832811,0.044562,[9 4] ; [21  8],[9.28571429 3.71428571] ; [20.71428571  8.28571429],0
p1,1,0.853287,0.034198,[ 3 30] ; [ 7 80],[ 2.75 30.25] ; [ 7.25 79.75],0
a3,1,0.964416,0.00199,[23 10] ; [61 26],[23.1  9.9] ; [60.9 26.1],0
d4,1,1.0,0.0,[27  6] ; [72 16],[27.  6.] ; [72. 16.],0
