Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-06,24.981621,[80 19] ; [95 93],[60.36585366 38.63414634] ; [114.63414634  73.36585366],1
s6,1,0.22898,1.447188,[64 34] ; [109  79],[59.27972028 38.72027972] ; [113.72027972  74.27972028],0
r3,1,0.249279,1.327343,[95  4] ; [172  14],[92.74736842  6.25263158] ; [174.25263158  11.74736842],0
d2,1,0.265726,1.23868,[50 49] ; [ 82 106],[45.53310105 53.46689895] ; [ 86.46689895 101.53310105],0
b5,1,0.278793,1.172962,[70 29] ; [121  67],[65.88501742 33.11498258] ; [125.11498258  62.88501742],0
a6,1,0.320496,0.986922,[72 27] ; [126  62],[68.29965157 30.70034843] ; [129.70034843  58.29965157],0
s1,1,0.329559,0.950631,[ 2 96] ; [  8 179],[ 3.43859649 94.56140351] ; [  6.56140351 180.43859649],0
a8,1,0.335738,0.926639,[ 9 76] ; [ 25 142],[11.46825397 73.53174603] ; [ 22.53174603 144.46825397],0
b2,1,0.336724,0.922863,[29 40] ; [42 78],[25.92063492 43.07936508] ; [45.07936508 74.92063492],0
b3,1,0.336724,0.922863,[29 40] ; [42 78],[25.92063492 43.07936508] ; [45.07936508 74.92063492],0
u4,1,0.349416,0.875578,[ 4 95] ; [  4 184],[ 2.75958188 96.24041812] ; [  5.24041812 182.75958188],0
s2,1,0.377091,0.780164,[40 58] ; [ 66 120],[36.57746479 61.42253521] ; [ 69.42253521 116.57746479],0
p1,1,0.402377,0.701211,[ 9 90] ; [ 12 176],[ 7.24390244 91.75609756] ; [ 13.75609756 174.24390244],0
u1,1,0.416377,0.66052,[19 80] ; [ 29 159],[16.55749129 82.44250871] ; [ 31.44250871 156.55749129],0
a3,1,0.509473,0.435149,[66 32] ; [133  54],[68.42807018 29.57192982] ; [130.57192982  56.42807018],0
a2,1,0.509848,0.434379,[25 74] ; [ 41 147],[22.76655052 76.23344948] ; [ 43.23344948 144.76655052],0
a4,1,0.526462,0.401216,[46 52] ; [ 80 106],[43.47887324 54.52112676] ; [ 82.52112676 103.47887324],0
s3,1,0.551736,0.354216,[46 52] ; [ 80 105],[43.63250883 54.36749117] ; [ 82.36749117 102.63250883],0
a1,1,0.758132,0.094824,[ 5 94] ; [  8 180],[ 4.48432056 94.51567944] ; [  8.51567944 179.48432056],0
u2,1,0.795169,0.067394,[19 14] ; [29 24],[18.41860465 14.58139535] ; [29.58139535 23.41860465],0
u3,1,0.91151,0.012351,[19 14] ; [31 24],[18.75 14.25] ; [31.25 23.75],0
a5,1,0.95152,0.003696,[73 26] ; [138  50],[72.78397213 26.21602787] ; [138.21602787  49.78397213],0
n1,1,0.962287,0.002236,[5 7] ; [18 26],[4.92857143 7.07142857] ; [18.07142857 25.92857143],0
n3,1,1.0,0.0,[9 3] ; [33 11],[9. 3.] ; [33. 11.],0
