Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.8e-05,16.521691,[ 6 19] ; [87 42],[15.0974026  9.9025974] ; [77.9025974 51.0974026],1
n2,1,0.087496,2.919853,[3 4] ; [35 12],[4.92592593 2.07407407] ; [33.07407407 13.92592593],0
s5,1,0.10881,2.571426,[ 3 20] ; [35 85],[ 6.11188811 16.88811189] ; [31.88811189 88.11188811],0
p6,1,0.118875,2.432077,[ 5 19] ; [46 77],[ 8.32653061 15.67346939] ; [42.67346939 80.32653061],0
a2,1,0.12937,2.300052,[ 6 19] ; [ 16 113],[ 3.57142857 21.42857143] ; [ 18.42857143 110.57142857],0
s2,1,0.132843,2.258965,[ 7 18] ; [57 72],[10.38961039 14.61038961] ; [53.61038961 75.38961039],0
p3,1,0.141116,2.16575,[ 8 17] ; [61 66],[11.34868421 13.65131579] ; [57.65131579 69.34868421],0
p4,1,0.144356,2.130904,[ 9 16] ; [66 61],[12.33552632 12.66447368] ; [62.66447368 64.33552632],0
a3,1,0.165697,1.921447,[20  5] ; [85 44],[17.04545455  7.95454545] ; [87.95454545 41.04545455],0
n3,1,0.237702,1.394171,[3 4] ; [31 16],[4.40740741 2.59259259] ; [29.59259259 17.40740741],0
d1,1,0.258851,1.27489,[17  8] ; [72 57],[14.44805195 10.55194805] ; [74.55194805 54.44805195],0
n4,1,0.359143,0.840889,[19  6] ; [86 43],[17.04545455  7.95454545] ; [87.95454545 41.04545455],0
s7,1,0.379374,0.77273,[ 7 16] ; [49 73],[ 8.88275862 14.11724138] ; [47.11724138 74.88275862],0
u1,1,0.391123,0.735447,[ 3 22] ; [  9 120],[ 1.94805195 23.05194805] ; [ 10.05194805 118.94805195],0
v3,1,0.422489,0.643382,[ 6 18] ; [42 84],[ 7.68 16.32] ; [40.32 85.68],0
u2,1,0.473704,0.513323,[2 3] ; [25 19],[2.75510204 2.24489796] ; [24.24489796 19.75510204],0
a6,1,0.478155,0.503069,[17  8] ; [78 51],[15.42207792  9.57792208] ; [79.57792208 49.42207792],0
d3,1,0.4896,0.477406,[18  7] ; [83 45],[16.50326797  8.49673203] ; [84.49673203 43.50326797],0
b5,1,0.523204,0.407572,[17  8] ; [79 50],[15.58441558  9.41558442] ; [80.41558442 48.58441558],0
a5,1,0.552538,0.35279,[18  7] ; [85 44],[16.72077922  8.27922078] ; [86.27922078 42.72077922],0
n1,1,0.563146,0.334286,[2 5] ; [18 27],[2.69230769 4.30769231] ; [17.30769231 27.69230769],0
a7,1,0.57207,0.319231,[15 10] ; [85 44],[16.23376623  8.76623377] ; [83.76623377 45.23376623],0
s4,1,0.573655,0.316605,[ 4 21] ; [ 27 102],[ 5.03246753 19.96753247] ; [ 25.96753247 103.03246753],0
p1,1,0.580385,0.305612,[ 3 22] ; [ 11 118],[ 2.27272727 22.72727273] ; [ 11.72727273 117.27272727],0
b2,1,0.633828,0.226905,[ 6 11] ; [32 45],[ 6.87234043 10.12765957] ; [31.12765957 45.87234043],0
b3,1,0.633828,0.226905,[ 6 11] ; [32 45],[ 6.87234043 10.12765957] ; [31.12765957 45.87234043],0
a4,1,0.665022,0.18748,[11 13] ; [53 76],[10.03921569 13.96078431] ; [53.96078431 75.03921569],0
d4,1,0.757293,0.095504,[21  4] ; [105  24],[20.45454545  4.54545455] ; [105.54545455  23.45454545],0
p5,1,0.827353,0.047567,[ 2 23] ; [ 12 116],[ 2.2875817 22.7124183] ; [ 11.7124183 116.2875817],0
n5,1,0.877124,0.023906,[17  8] ; [85 43],[16.66666667  8.33333333] ; [85.33333333 42.66666667],0
a1,1,0.930855,0.007529,[ 2 23] ; [ 11 118],[ 2.11038961 22.88961039] ; [ 10.88961039 118.11038961],0
s3,1,0.96249,0.002212,[11 13] ; [58 70],[10.89473684 13.10526316] ; [58.10526316 69.89473684],0
s1,1,0.982378,0.000488,[ 1 24] ; [  5 123],[ 0.98039216 24.01960784] ; [  5.01960784 122.98039216],0
p12,1,0.982378,0.000488,[ 1 24] ; [  5 123],[ 0.98039216 24.01960784] ; [  5.01960784 122.98039216],0
v2,1,1.0,0.0,[12 13] ; [60 65],[12. 13.] ; [60. 65.],0
