Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.002999,8.807936,[13  8] ; [25 65],[ 7.18918919 13.81081081] ; [30.81081081 59.18918919],0
n5,1,0.579212,0.30751,[14  8] ; [52 39],[12.84955752  9.15044248] ; [53.15044248 37.84955752],0
p8,1,0.595688,0.281549,[ 6 15] ; [21 70],[ 5.0625 15.9375] ; [21.9375 69.0625],0
p7,1,0.617513,0.249379,[ 6 14] ; [33 59],[ 6.96428571 13.03571429] ; [32.03571429 59.96428571],0
p10,1,0.715808,0.132544,[ 9 12] ; [43 48],[ 9.75 11.25] ; [42.25 48.75],0
u1,1,0.73666,0.113084,[ 1 21] ; [ 6 87],[ 1.33913043 20.66086957] ; [ 5.66086957 87.33913043],0
r3,1,0.739188,0.110841,[10 11] ; [47 44],[10.6875 10.3125] ; [46.3125 44.6875],0
p5,1,0.762755,0.091122,[ 1 20] ; [ 6 86],[ 1.30088496 19.69911504] ; [ 5.69911504 86.30088496],0
n3,1,0.787372,0.072751,[6 5] ; [22 22],[5.6 5.4] ; [22.4 21.6],0
s6,1,0.796787,0.06631,[ 7 15] ; [27 66],[ 6.50434783 15.49565217] ; [27.49565217 65.50434783],0
n1,1,0.803986,0.061599,[3 8] ; [14 31],[3.33928571 7.66071429] ; [13.66071429 31.33928571],0
b2,1,0.869897,0.026827,[3 5] ; [19 36],[2.79365079 5.20634921] ; [19.20634921 35.79365079],0
b3,1,0.869897,0.026827,[3 5] ; [19 36],[2.79365079 5.20634921] ; [19.20634921 35.79365079],0
u3,1,0.889198,0.01941,[1 3] ; [13 33],[1.12 2.88] ; [12.88 33.12],0
p9,1,0.96236,0.002227,[11 11] ; [45 44],[11.0990991 10.9009009] ; [44.9009009 44.0990991],0
a5,1,0.963823,0.002057,[11 11] ; [47 46],[11.09565217 10.90434783] ; [46.90434783 46.09565217],0
p6,1,0.985122,0.000348,[ 3 18] ; [13 77],[ 3.02702703 17.97297297] ; [12.97297297 77.02702703],0
s2,1,0.988203,0.000219,[ 5 17] ; [21 72],[ 4.97391304 17.02608696] ; [21.02608696 71.97391304],0
