Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1e-06,23.299632,[42  6] ; [ 9 18],[32.64 15.36] ; [18.36  8.64],1
d2,1,0.519505,0.414876,[17 31] ; [12 16],[18.31578947 29.68421053] ; [10.68421053 17.31578947],0
p6,1,0.555098,0.348264,[11 36] ; [ 8 19],[12.06756757 34.93243243] ; [ 6.93243243 20.06756757],0
a4,1,0.56223,0.335859,[15 33] ; [ 7 21],[13.89473684 34.10526316] ; [ 8.10526316 19.89473684],0
s6,1,0.570965,0.32107,[25 22] ; [13 15],[23.81333333 23.18666667] ; [14.18666667 13.81333333],0
s1,1,0.575143,0.314153,[ 2 46] ; [ 2 26],[ 2.52631579 45.47368421] ; [ 1.47368421 26.52631579],0
v3,1,0.601746,0.272371,[11 37] ; [ 5 23],[10.10526316 37.89473684] ; [ 5.89473684 22.10526316],0
n3,1,0.619304,0.246847,[9 7] ; [11  6],[9.6969697 6.3030303] ; [10.3030303  6.6969697],0
v4,1,0.670202,0.181366,[30 15] ; [20  8],[30.82191781 14.17808219] ; [19.17808219  8.82191781],0
r1,1,0.687345,0.161974,[12 35] ; [ 6 22],[11.28 35.72] ; [ 6.72 21.28],0
p4,1,0.703768,0.144582,[21 27] ; [11 17],[20.21052632 27.78947368] ; [11.78947368 16.21052632],0
p12,1,0.707372,0.140916,[ 1 46] ; [ 1 27],[ 1.25333333 45.74666667] ; [ 0.74666667 27.25333333],0
d4,1,0.723891,0.124795,[36 12] ; [22  6],[36.63157895 11.36842105] ; [21.36842105  6.63157895],0
a2,1,0.729159,0.119886,[ 4 44] ; [ 3 25],[ 4.42105263 43.57894737] ; [ 2.57894737 25.42105263],0
a6,1,0.763811,0.090288,[24 24] ; [13 15],[23.36842105 24.63157895] ; [13.63157895 14.36842105],0
n6,1,0.784133,0.075041,[31 15] ; [18 10],[30.45945946 15.54054054] ; [18.54054054  9.45945946],0
a8,1,0.847054,0.037202,[ 3 45] ; [ 2 25],[ 3.2 44.8] ; [ 1.8 25.2],0
u1,1,0.852717,0.034467,[ 4 44] ; [ 2 26],[ 3.78947368 44.21052632] ; [ 2.21052632 25.78947368],0
p8,1,0.865949,0.028495,[16 31] ; [ 9 19],[15.66666667 31.33333333] ; [ 9.33333333 18.66666667],0
a1,1,0.879619,0.022938,[ 3 45] ; [ 2 26],[ 3.15789474 44.84210526] ; [ 1.84210526 26.15789474],0
p3,1,0.883861,0.021338,[15 33] ; [ 8 19],[14.72 33.28] ; [ 8.28 18.72],0
p1,1,0.897713,0.016525,[ 2 46] ; [ 1 27],[ 1.89473684 46.10526316] ; [ 1.10526316 26.89473684],0
d5,1,0.915142,0.011354,[32 16] ; [19  9],[32.21052632 15.78947368] ; [18.78947368  9.21052632],0
n1,1,1.0,0.0,[ 5 12] ; [ 5 12],[ 5. 12.] ; [ 5. 12.],0
