Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-06,23.36692,[133  13] ; [33 20],[121.78894472  24.21105528] ; [44.21105528  8.78894472],1
u1,1,0.143668,2.138223,[ 19 127] ; [ 3 50],[ 16.14070352 129.85929648] ; [ 5.85929648 47.14070352],0
b1,1,0.148424,2.088378,[55 91] ; [26 27],[59.42713568 86.57286432] ; [21.57286432 31.42713568],0
s5,1,0.150909,2.06304,[ 26 115] ; [ 5 46],[ 22.765625 118.234375] ; [ 8.234375 42.765625],0
v2,1,0.155468,2.01776,[66 75] ; [18 33],[61.6875 79.3125] ; [22.3125 28.6875],0
s7,1,0.176424,1.827495,[ 32 107] ; [ 7 43],[ 28.68253968 110.31746032] ; [10.31746032 39.68253968],0
a5,1,0.201874,1.628761,[97 49] ; [30 23],[93.1758794 52.8241206] ; [33.8241206 19.1758794],0
p5,1,0.280989,1.162299,[  8 138] ; [ 1 52],[  6.60301508 139.39698492] ; [ 2.39698492 50.60301508],0
a1,1,0.318307,0.995889,[  8 138] ; [ 5 48],[  9.53768844 136.46231156] ; [ 3.46231156 49.53768844],0
n3,1,0.32433,0.971405,[30 18] ; [11 11],[28.11428571 19.88571429] ; [12.88571429  9.11428571],0
s1,1,0.327617,0.958296,[  4 141] ; [ 3 50],[  5.12626263 139.87373737] ; [ 1.87373737 51.12626263],0
r1,1,0.345938,0.888302,[96 50] ; [31 22],[93.1758794 52.8241206] ; [33.8241206 19.1758794],0
s4,1,0.3828,0.761691,[ 17 126] ; [ 4 49],[ 15.32142857 127.67857143] ; [ 5.67857143 47.32142857],0
r2,1,0.419857,0.650715,[124  21] ; [42 10],[122.18274112  22.81725888] ; [43.81725888  8.18274112],0
u4,1,0.452437,0.564539,[  1 145] ; [ 1 52],[  1.46733668 144.53266332] ; [ 0.53266332 52.46733668],0
a6,1,0.464442,0.535168,[99 47] ; [33 20],[96.84422111 49.15577889] ; [35.15577889 17.84422111],0
p6,1,0.474242,0.512076,[ 19 125] ; [ 5 48],[ 17.54314721 126.45685279] ; [ 6.45685279 46.54314721],0
p8,1,0.492472,0.471122,[ 34 111] ; [10 43],[ 32.22222222 112.77777778] ; [11.77777778 41.22222222],0
p1,1,0.517441,0.418992,[ 10 136] ; [ 5 47],[ 11.06060606 134.93939394] ; [ 3.93939394 48.06060606],0
b3,1,0.546688,0.363283,[34 50] ; [11 21],[32.5862069 51.4137931] ; [12.4137931 19.5862069],0
b2,1,0.546688,0.363283,[34 50] ; [11 21],[32.5862069 51.4137931] ; [12.4137931 19.5862069],0
b5,1,0.623137,0.241483,[91 55] ; [31 22],[89.50753769 56.49246231] ; [32.49246231 20.50753769],0
v3,1,0.630384,0.231541,[ 42 100] ; [13 37],[ 40.67708333 101.32291667] ; [14.32291667 35.67708333],0
n1,1,0.632221,0.229061,[16 32] ; [ 9 14],[16.90140845 31.09859155] ; [ 8.09859155 14.90140845],0
a2,1,0.687301,0.162023,[ 24 122] ; [10 43],[ 24.94472362 121.05527638] ; [ 9.05527638 43.94472362],0
s2,1,0.713263,0.135039,[ 16 126] ; [ 5 48],[ 15.29230769 126.70769231] ; [ 5.70769231 47.29230769],0
u2,1,0.716516,0.131855,[28 31] ; [ 9 12],[27.2875 31.7125] ; [ 9.7125 11.2875],0
d2,1,0.768055,0.086978,[60 83] ; [21 32],[59.09693878 83.90306122] ; [21.90306122 31.09693878],0
u3,1,0.799416,0.064568,[29 30] ; [11 10],[29.5 29.5] ; [10.5 10.5],0
a3,1,0.80529,0.060766,[87 59] ; [32 20],[87.74747475 58.25252525] ; [31.25252525 20.74747475],0
v1,1,0.80562,0.060555,[54 89] ; [19 34],[53.26020408 89.73979592] ; [19.73979592 33.26020408],0
d5,1,0.823603,0.04969,[107  39] ; [38 15],[106.38190955  39.61809045] ; [38.61809045 14.38190955],0
b4,1,0.871189,0.026292,[90 56] ; [32 21],[89.50753769 56.49246231] ; [32.49246231 20.50753769],0
a8,1,0.913691,0.011747,[ 11 121] ; [ 4 47],[ 10.81967213 121.18032787] ; [ 4.18032787 46.81967213],0
a4,1,0.936037,0.00644,[62 83] ; [23 30],[62.24747475 82.75252525] ; [22.75252525 30.24747475],0
a7,1,0.945556,0.004663,[95 50] ; [35 18],[95.2020202 49.7979798] ; [34.7979798 18.2020202],0
