Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-05,19.53342,[14 57] ; [19 10],[23.43 47.57] ; [ 9.57 19.43],1
p5,1,0.148618,2.086376,[ 1 69] ; [ 2 27],[ 2.12121212 67.87878788] ; [ 0.87878788 28.12121212],0
p9,1,0.15505,2.021851,[40 30] ; [21  8],[43.13131313 26.86868687] ; [17.86868687 11.13131313],0
a4,1,0.202301,1.625684,[16 56] ; [10 19],[18.53465347 53.46534653] ; [ 7.46534653 21.53465347],0
a2,1,0.234692,1.412198,[ 3 69] ; [ 3 26],[ 4.27722772 67.72277228] ; [ 1.72277228 27.27722772],0
r1,1,0.271548,1.208911,[38 33] ; [19 10],[40.47 30.53] ; [16.53 12.47],0
p11,1,0.320742,0.985917,[42 30] ; [20  9],[44.1980198 27.8019802] ; [17.8019802 11.1980198],0
p2,1,0.320742,0.985917,[42 30] ; [20  9],[44.1980198 27.8019802] ; [17.8019802 11.1980198],0
b1,1,0.328691,0.954047,[32 40] ; [16 13],[34.21782178 37.78217822] ; [13.78217822 15.21782178],0
d4,1,0.330356,0.9475,[32 39] ; [10 19],[29.82 41.18] ; [12.18 16.82],0
s1,1,0.373655,0.791475,[ 6 65] ; [ 1 28],[ 4.97 66.03] ; [ 2.03 26.97],0
u2,1,0.375275,0.786123,[12 25] ; [6 7],[13.32 23.68] ; [4.68 8.32],0
b5,1,0.395349,0.722427,[38 34] ; [18 11],[39.92079208 32.07920792] ; [16.07920792 12.92079208],0
s4,1,0.405889,0.690811,[ 6 66] ; [ 4 25],[ 7.12871287 64.87128713] ; [ 2.87128713 26.12871287],0
d3,1,0.444968,0.583436,[24 48] ; [12 17],[25.66336634 46.33663366] ; [10.33663366 18.66336634],0
u3,1,0.481374,0.495748,[13 24] ; [6 7],[14.06 22.94] ; [4.94 8.06],0
s3,1,0.486533,0.484184,[23 49] ; [11 17],[24.48 47.52] ; [ 9.52 18.48],0
b4,1,0.509758,0.434563,[37 35] ; [17 12],[38.4950495 33.5049505] ; [15.5049505 13.4950495],0
n5,1,0.519773,0.414344,[41 29] ; [19 10],[42.42424242 27.57575758] ; [17.57575758 11.42424242],0
d2,1,0.566638,0.328341,[16 56] ; [ 8 21],[17.10891089 54.89108911] ; [ 6.89108911 22.10891089],0
d1,1,0.567185,0.327416,[ 3 69] ; [ 2 27],[ 3.56435644 68.43564356] ; [ 1.43564356 27.56435644],0
n2,1,0.577484,0.31032,[21  8] ; [5 1],[21.54285714  7.45714286] ; [4.45714286 1.54285714],0
b2,1,0.59536,0.282051,[19 25] ; [ 8 14],[18. 26.] ; [ 9. 13.],0
b3,1,0.59536,0.282051,[19 25] ; [ 8 14],[18. 26.] ; [ 9. 13.],0
n1,1,0.604542,0.268199,[13 16] ; [2 4],[12.42857143 16.57142857] ; [2.57142857 3.42857143],0
a3,1,0.639316,0.219637,[35 35] ; [16 13],[36.06060606 33.93939394] ; [14.93939394 14.06060606],0
a8,1,0.689039,0.160128,[ 6 62] ; [ 3 23],[ 6.5106383 61.4893617] ; [ 2.4893617 23.5106383],0
a1,1,0.80886,0.058514,[ 6 66] ; [ 2 27],[ 5.7029703 66.2970297] ; [ 2.2970297 26.7029703],0
v1,1,0.834706,0.043543,[25 45] ; [11 18],[25.45454545 44.54545455] ; [10.54545455 18.45454545],0
u1,1,0.86699,0.028051,[ 3 69] ; [ 1 28],[ 2.85148515 69.14851485] ; [ 1.14851485 27.85148515],0
