Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,7e-06,20.091083,[18  8] ; [23 77],[ 8.46031746 17.53968254] ; [32.53968254 67.46031746],1
d3,1,0.319645,0.990398,[13 14] ; [60 42],[15.27906977 11.72093023] ; [57.72093023 44.27906977],0
a3,1,0.330722,0.946068,[15 12] ; [67 35],[17.1627907  9.8372093] ; [64.8372093 37.1627907],0
b4,1,0.332463,0.939279,[14 14] ; [62 41],[16.24427481 11.75572519] ; [59.75572519 43.24427481],0
b1,1,0.369139,0.80656,[12 16] ; [54 49],[14.10687023 13.89312977] ; [51.89312977 51.10687023],0
p1,1,0.383943,0.758037,[ 4 24] ; [ 9 94],[ 2.77862595 25.22137405] ; [10.22137405 92.77862595],0
r4,1,0.418484,0.65457,[22  6] ; [73 30],[20.30534351  7.69465649] ; [74.69465649 28.30534351],0
n1,1,0.453255,0.5625,[6 3] ; [19 17],[5. 4.] ; [20. 16.],0
n5,1,0.466207,0.530952,[24  4] ; [82 21],[22.65648855  5.34351145] ; [83.34351145 19.65648855],0
s6,1,0.469574,0.522977,[16 11] ; [53 50],[14.33076923 12.66923077] ; [54.66923077 48.33076923],0
s2,1,0.622348,0.242581,[12 15] ; [40 62],[10.88372093 16.11627907] ; [41.11627907 60.88372093],0
s4,1,0.659791,0.193778,[ 4 24] ; [18 83],[ 4.7751938 23.2248062] ; [17.2248062 83.7751938],0
a4,1,0.685179,0.164354,[11 16] ; [46 56],[11.93023256 15.06976744] ; [45.06976744 56.93023256],0
s3,1,0.699594,0.148894,[11 15] ; [47 54],[11.87401575 14.12598425] ; [46.12598425 54.87401575],0
a6,1,0.706535,0.141763,[18  9] ; [64 38],[17.1627907  9.8372093] ; [64.8372093 37.1627907],0
a2,1,0.765879,0.088666,[ 5 23] ; [21 82],[ 5.55725191 22.44274809] ; [20.44274809 82.55725191],0
a8,1,0.767548,0.08737,[ 3 22] ; [14 84],[ 3.45528455 21.54471545] ; [13.54471545 84.45528455],0
r1,1,0.799231,0.06469,[20  8] ; [71 32],[19.45038168  8.54961832] ; [71.54961832 31.45038168],0
a5,1,0.855136,0.033332,[19  9] ; [68 35],[18.59541985  9.40458015] ; [68.40458015 34.59541985],0
v3,1,0.894095,0.017722,[11 17] ; [36 59],[10.69918699 17.30081301] ; [36.30081301 58.69918699],0
a7,1,0.9086,0.01318,[18 10] ; [65 38],[17.74045802 10.25954198] ; [65.25954198 37.74045802],0
n3,1,0.912609,0.012045,[6 3] ; [22 12],[5.86046512 3.13953488] ; [22.13953488 11.86046512],0
r3,1,0.918848,0.010381,[22  6] ; [80 23],[21.80152672  6.19847328] ; [80.19847328 22.80152672],0
s8,1,0.937086,0.00623,[10 17] ; [39 64],[10.17692308 16.82307692] ; [38.82307692 64.17692308],0
u4,1,0.939085,0.00584,[ 1 27] ; [ 4 99],[ 1.06870229 26.93129771] ; [ 3.93129771 99.06870229],0
d1,1,0.986989,0.000266,[15 13] ; [55 48],[14.96183206 13.03816794] ; [55.03816794 47.96183206],0
s7,1,0.994354,5e-05,[11 16] ; [40 58],[11.016 15.984] ; [39.984 58.016],0
