Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,2.9e-05,17.458719,[7 1] ; [ 1 17],[2.46153846 5.53846154] ; [ 5.53846154 12.46153846],1
b1,1,0.327833,0.957437,[17  8] ; [20 16],[15.16393443  9.83606557] ; [21.83606557 14.16393443],0
b2,1,0.343599,0.896958,[4 9] ; [13 15],[5.3902439 7.6097561] ; [11.6097561 16.3902439],0
b3,1,0.343599,0.896958,[4 9] ; [13 15],[5.3902439 7.6097561] ; [11.6097561 16.3902439],0
v1,1,0.354227,0.858256,[ 9 16] ; [ 9 27],[ 7.37704918 17.62295082] ; [10.62295082 25.37704918],0
p11,1,0.354227,0.858256,[ 9 16] ; [ 9 27],[ 7.37704918 17.62295082] ; [10.62295082 25.37704918],0
p9,1,0.37289,0.794011,[12 12] ; [13 21],[10.34482759 13.65517241] ; [14.65517241 19.34482759],0
a5,1,0.374626,0.788263,[11 14] ; [20 16],[12.70491803 12.29508197] ; [18.29508197 17.70491803],0
b5,1,0.374626,0.788263,[14 11] ; [16 20],[12.29508197 12.70491803] ; [17.70491803 18.29508197],0
s3,1,0.374856,0.787503,[ 5 20] ; [10 23],[ 6.46551724 18.53448276] ; [ 8.53448276 24.46551724],0
p4,1,0.391366,0.734694,[ 9 16] ; [ 9 26],[ 7.5 17.5] ; [10.5 24.5],0
r2,1,0.395877,0.720814,[15 10] ; [24 10],[16.52542373  8.47457627] ; [22.47457627 11.52542373],0
s6,1,0.398567,0.712644,[ 4 21] ; [ 9 27],[ 5.32786885 19.67213115] ; [ 7.67213115 28.32786885],0
s2,1,0.439887,0.596577,[ 3 22] ; [ 7 29],[ 4.09836066 20.90163934] ; [ 5.90163934 30.09836066],0
r4,1,0.477891,0.503671,[ 2 23] ; [ 5 31],[ 2.86885246 22.13114754] ; [ 4.13114754 31.86885246],0
a7,1,0.479144,0.500811,[12 13] ; [14 22],[10.6557377 14.3442623] ; [15.3442623 20.6557377],0
b4,1,0.479144,0.500811,[13 12] ; [22 14],[14.3442623 10.6557377] ; [20.6557377 15.3442623],0
n2,1,0.494125,0.467532,[8 6] ; [10 12],[7. 7.] ; [11. 11.],0
s4,1,0.52605,0.402015,[ 5 20] ; [ 5 31],[ 4.09836066 20.90163934] ; [ 5.90163934 30.09836066],0
a4,1,0.553504,0.351077,[ 7 18] ; [12 22],[ 8.05084746 16.94915254] ; [10.94915254 23.05084746],0
s7,1,0.562833,0.334822,[ 6 16] ; [ 7 27],[ 5.10714286 16.89285714] ; [ 7.89285714 26.10714286],0
v3,1,0.605897,0.266193,[ 5 20] ; [ 9 26],[ 5.83333333 19.16666667] ; [ 8.16666667 26.83333333],0
p6,1,0.607565,0.263736,[ 4 21] ; [ 4 31],[ 3.33333333 21.66666667] ; [ 4.66666667 30.33333333],0
s1,1,0.63626,0.223667,[ 3 22] ; [ 3 33],[ 2.45901639 22.54098361] ; [ 3.54098361 32.45901639],0
n3,1,0.677726,0.172697,[7 7] ; [ 9 12],[6.4 7.6] ; [ 9.6 11.4],0
r1,1,0.689753,0.159353,[11 14] ; [14 22],[10.24590164 14.75409836] ; [14.75409836 21.24590164],0
p3,1,0.693012,0.155844,[ 6 19] ; [10 25],[ 6.66666667 18.33333333] ; [ 9.33333333 25.66666667],0
p12,1,0.78231,0.076347,[ 1 24] ; [ 2 34],[ 1.2295082 23.7704918] ; [ 1.7704918 34.2295082],0
d5,1,0.784033,0.075113,[13 12] ; [20 16],[13.52459016 11.47540984] ; [19.47540984 16.52459016],0
u1,1,0.792065,0.069501,[ 1 24] ; [ 1 35],[ 0.81967213 24.18032787] ; [ 1.18032787 34.81967213],0
a2,1,0.91469,0.011476,[ 3 22] ; [ 4 32],[ 2.86885246 22.13114754] ; [ 4.13114754 31.86885246],0
v2,1,0.955765,0.003077,[ 5 20] ; [ 7 27],[ 5.08474576 19.91525424] ; [ 6.91525424 27.08474576],0
p5,1,0.974266,0.001041,[ 2 22] ; [ 3 32],[ 2.03389831 21.96610169] ; [ 2.96610169 32.03389831],0
