Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2.1e-05,18.122433,[17 12] ; [19 83],[ 7.96946565 21.03053435] ; [28.03053435 73.96946565],1
v3,1,0.586523,0.295808,[ 4 25] ; [19 86],[ 4.97761194 24.02238806] ; [18.02238806 86.97761194],0
d2,1,0.604358,0.268473,[13 17] ; [40 65],[11.77777778 18.22222222] ; [41.22222222 63.77777778],0
d5,1,0.626619,0.236674,[17 12] ; [68 39],[18.125 10.875] ; [66.875 40.125],0
b4,1,0.635396,0.224814,[18 12] ; [59 48],[16.86131387 13.13868613] ; [60.13868613 46.86131387],0
a1,1,0.646425,0.210437,[ 2 28] ; [10 97],[ 2.62773723 27.37226277] ; [ 9.37226277 97.62773723],0
p3,1,0.659032,0.194702,[ 8 22] ; [33 74],[ 8.97810219 21.02189781] ; [32.02189781 74.97810219],0
b2,1,0.719803,0.128682,[ 7 14] ; [23 38],[ 7.68292683 13.31707317] ; [22.31707317 38.68292683],0
b3,1,0.719803,0.128682,[ 7 14] ; [23 38],[ 7.68292683 13.31707317] ; [22.31707317 38.68292683],0
n1,1,0.733801,0.11565,[ 5 11] ; [13 23],[ 5.53846154 10.46153846] ; [12.46153846 23.53846154],0
u1,1,0.751351,0.100399,[ 1 29] ; [  5 102],[ 1.31386861 28.68613139] ; [  4.68613139 102.31386861],0
p8,1,0.788904,0.071681,[11 18] ; [37 68],[10.3880597 18.6119403] ; [37.6119403 67.3880597],0
p11,1,0.794076,0.068132,[18 12] ; [67 40],[18.61313869 11.38686131] ; [66.38686131 40.61313869],0
p10,1,0.802407,0.062617,[17 13] ; [61 42],[17.59398496 12.40601504] ; [60.40601504 42.59398496],0
n5,1,0.821752,0.050757,[18 12] ; [66 40],[18.52941176 11.47058824] ; [65.47058824 40.52941176],0
d1,1,0.832286,0.044847,[11 19] ; [37 70],[10.51094891 19.48905109] ; [37.48905109 69.51094891],0
n2,1,0.833097,0.044408,[11  5] ; [25 13],[10.66666667  5.33333333] ; [25.33333333 12.66666667],0
v2,1,0.904877,0.014281,[ 7 22] ; [24 80],[ 6.7593985 22.2406015] ; [24.2406015 79.7593985],0
b1,1,0.912071,0.012194,[12 18] ; [44 63],[12.26277372 17.73722628] ; [43.73722628 63.26277372],0
p12,1,0.916741,0.010928,[ 1 29] ; [  4 103],[ 1.09489051 28.90510949] ; [  3.90510949 103.09489051],0
r2,1,0.938634,0.005927,[21  7] ; [78 27],[20.84210526  7.15789474] ; [78.15789474 26.84210526],0
p1,1,0.952118,0.003606,[ 3 27] ; [11 95],[ 3.08823529 26.91176471] ; [10.91176471 95.08823529],0
