Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.68908,[73 12] ; [14 20],[62.14285714 22.85714286] ; [24.85714286  9.14285714],1
u1,1,0.335698,0.926791,[10 75] ; [ 2 32],[ 8.57142857 76.42857143] ; [ 3.42857143 30.57142857],0
a5,1,0.35425,0.858173,[55 30] ; [25  9],[57.14285714 27.85714286] ; [22.85714286 11.14285714],0
b2,1,0.41656,0.66,[12 32] ; [ 4 18],[10.66666667 33.33333333] ; [ 5.33333333 16.66666667],0
b3,1,0.41656,0.66,[12 32] ; [ 4 18],[10.66666667 33.33333333] ; [ 5.33333333 16.66666667],0
s3,1,0.41854,0.654411,[41 42] ; [14 20],[39.01709402 43.98290598] ; [15.98290598 18.01709402],0
n2,1,0.432512,0.616068,[13  7] ; [10  9],[11.79487179  8.20512821] ; [11.20512821  7.79487179],0
s7,1,0.441955,0.591202,[27 54] ; [ 8 23],[25.3125 55.6875] ; [ 9.6875 21.3125],0
u2,1,0.458818,0.548777,[20  9] ; [5 4],[19.07894737  9.92105263] ; [5.92105263 3.07894737],0
n1,1,0.485188,0.487179,[ 5 14] ; [ 7 12],[ 6. 13.] ; [ 6. 13.],0
b5,1,0.583002,0.301407,[57 28] ; [21 13],[55.71428571 29.28571429] ; [22.28571429 11.71428571],0
b1,1,0.600771,0.273835,[38 47] ; [17 17],[39.28571429 45.71428571] ; [15.71428571 18.28571429],0
p5,1,0.676884,0.173655,[ 4 80] ; [ 1 32],[ 3.58974359 80.41025641] ; [ 1.41025641 31.58974359],0
n4,1,0.727934,0.121017,[43 42] ; [16 18],[42.14285714 42.85714286] ; [16.85714286 17.14285714],0
v3,1,0.940038,0.005658,[21 58] ; [ 9 24],[21.16071429 57.83928571] ; [ 8.83928571 24.16071429],0
b4,1,0.953489,0.003402,[47 38] ; [19 15],[47.14285714 37.85714286] ; [18.85714286 15.14285714],0
d1,1,0.953765,0.003362,[43 42] ; [17 17],[42.85714286 42.14285714] ; [17.14285714 16.85714286],0
