Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,4e-06,21.079709,[21 20] ; [88 13],[31.47183099  9.52816901] ; [77.52816901 23.47183099],1
p3,1,0.136478,2.217227,[ 8 31] ; [34 68],[11.61702128 27.38297872] ; [30.38297872 71.61702128],0
p4,1,0.146305,2.110356,[11 29] ; [41 60],[14.75177305 25.24822695] ; [37.24822695 63.75177305],0
p1,1,0.149161,2.080805,[ 6 35] ; [ 7 94],[ 3.75352113 37.24647887] ; [ 9.24647887 91.75352113],0
d1,1,0.195837,1.673154,[11 30] ; [39 63],[14.33566434 26.66433566] ; [35.66433566 66.33566434],0
d2,1,0.208357,1.582808,[19 22] ; [35 65],[15.70212766 25.29787234] ; [38.29787234 61.70212766],0
r2,1,0.233127,1.421681,[26 14] ; [75 25],[28.85714286 11.14285714] ; [72.14285714 27.85714286],0
a7,1,0.247305,1.338464,[20 21] ; [60 41],[23.09859155 17.90140845] ; [56.90140845 44.09859155],0
v3,1,0.339728,0.911458,[ 7 33] ; [25 75],[ 9.14285714 30.85714286] ; [22.85714286 77.14285714],0
n2,1,0.48573,0.48597,[10  7] ; [20  9],[11.08695652  5.91304348] ; [18.91304348 10.08695652],0
u1,1,0.506486,0.441321,[ 1 40] ; [ 5 97],[ 1.72027972 39.27972028] ; [ 4.27972028 97.72027972],0
p12,1,0.522158,0.409629,[ 1 39] ; [ 5 97],[ 1.69014085 38.30985915] ; [ 4.30985915 97.69014085],0
b3,1,0.561558,0.337014,[ 9 15] ; [16 36],[ 7.89473684 16.10526316] ; [17.10526316 34.89473684],0
b2,1,0.561558,0.337014,[ 9 15] ; [16 36],[ 7.89473684 16.10526316] ; [17.10526316 34.89473684],0
a3,1,0.578528,0.308621,[22 19] ; [49 52],[20.5 20.5] ; [50.5 50.5],0
p7,1,0.58989,0.290517,[16 24] ; [45 55],[17.42857143 22.57142857] ; [43.57142857 56.42857143],0
v1,1,0.597221,0.279208,[12 28] ; [35 66],[13.33333333 26.66666667] ; [33.66666667 67.33333333],0
p6,1,0.644819,0.212495,[ 7 31] ; [22 78],[ 7.98550725 30.01449275] ; [21.01449275 78.98550725],0
a8,1,0.671693,0.179628,[ 3 38] ; [ 9 85],[ 3.64444444 37.35555556] ; [ 8.35555556 85.64444444],0
p5,1,0.672462,0.178735,[ 2 38] ; [ 7 94],[ 2.55319149 37.44680851] ; [ 6.44680851 94.55319149],0
s8,1,0.730408,0.118737,[ 4 37] ; [12 90],[ 4.58741259 36.41258741] ; [11.41258741 90.58741259],0
u3,1,0.743479,0.107093,[ 7 12] ; [17 35],[ 6.42253521 12.57746479] ; [17.57746479 34.42253521],0
u2,1,0.786853,0.073116,[ 7 12] ; [21 31],[ 7.49295775 11.50704225] ; [20.50704225 31.49295775],0
n5,1,0.789525,0.07125,[25 16] ; [64 37],[25.6971831 15.3028169] ; [63.3028169 37.6971831],0
a4,1,0.813767,0.055493,[13 28] ; [30 71],[12.41549296 28.58450704] ; [30.58450704 70.41549296],0
n3,1,0.85806,0.031985,[11  6] ; [18 11],[10.7173913  6.2826087] ; [18.2826087 10.7173913],0
a2,1,0.914978,0.011398,[ 3 38] ; [ 8 94],[ 3.15384615 37.84615385] ; [ 7.84615385 94.15384615],0
a6,1,0.93606,0.006436,[21 20] ; [53 49],[21.21678322 19.78321678] ; [52.78321678 49.21678322],0
a5,1,0.977237,0.000814,[19 22] ; [47 55],[18.92307692 22.07692308] ; [47.07692308 54.92307692],0
s4,1,0.991255,0.00012,[ 6 35] ; [15 87],[ 6.02097902 34.97902098] ; [14.97902098 87.02097902],0
s3,1,1.0,0.0,[14 26] ; [35 65],[14. 26.] ; [35. 65.],0
