Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,5.1e-05,16.394476,[24 11] ; [203 383],[12.79388084 22.20611916] ; [214.20611916 371.79388084],1
b5,1,0.292282,1.10908,[18 17] ; [354 232],[20.96618357 14.03381643] ; [351.03381643 234.96618357],0
s8,1,0.306957,1.043724,[14 21] ; [285 298],[16.93365696 18.06634304] ; [282.06634304 300.93365696],0
r2,1,0.332588,0.938793,[31  3] ; [549  29],[32.22222222  1.77777778] ; [547.77777778  30.22222222],0
s4,1,0.382692,0.762036,[ 4 30] ; [102 478],[ 5.86970684 28.13029316] ; [100.13029316 479.86970684],0
s5,1,0.387404,0.747074,[11 24] ; [217 343],[13.41176471 21.58823529] ; [214.58823529 345.41176471],0
a1,1,0.438235,0.600899,[ 3 32] ; [ 32 554],[ 1.9726248 33.0273752] ; [ 33.0273752 552.9726248],0
d1,1,0.47679,0.506197,[23 12] ; [418 168],[24.85507246 10.14492754] ; [416.14492754 169.85507246],0
s7,1,0.558572,0.342182,[16 18] ; [294 269],[17.65494137 16.34505863] ; [292.34505863 270.65494137],0
p8,1,0.558869,0.341666,[18 17] ; [327 252],[19.66612378 15.33387622] ; [325.33387622 253.66612378],0
p1,1,0.595558,0.281747,[ 2 33] ; [ 48 535],[ 2.83171521 32.16828479] ; [ 47.16828479 535.83171521],0
n3,1,0.596656,0.280069,[5 3] ; [82 33],[5.65853659 2.34146341] ; [81.34146341 33.65853659],0
u2,1,0.623596,0.240846,[5 4] ; [86 49],[5.6875 3.3125] ; [85.3125 49.6875],0
d5,1,0.632301,0.228954,[30  5] ; [518  68],[30.88566828  4.11433172] ; [517.11433172  68.88566828],0
a7,1,0.649093,0.207045,[25 10] ; [438 147],[26.13709677  8.86290323] ; [436.86290323 148.13709677],0
a3,1,0.723847,0.124837,[26  9] ; [449 135],[26.85783522  8.14216478] ; [448.14216478 135.85783522],0
u3,1,0.724018,0.124675,[5 4] ; [83 52],[5.5 3.5] ; [82.5 52.5],0
n4,1,0.735341,0.114264,[27  8] ; [466 120],[27.78582931  7.21417069] ; [465.21417069 120.78582931],0
a6,1,0.816514,0.053839,[25 10] ; [407 178],[24.38709677 10.61290323] ; [407.61290323 177.38709677],0
v3,1,0.825952,0.048354,[14 21] ; [235 326],[14.62248322 20.37751678] ; [234.37751678 326.62248322],0
d2,1,0.857207,0.032375,[18 17] ; [310 275],[18.51612903 16.48387097] ; [309.48387097 275.51612903],0
p7,1,0.866556,0.028235,[22 11] ; [388 182],[22.43781095 10.56218905] ; [387.56218905 182.43781095],0
s3,1,0.876384,0.024197,[20 15] ; [338 240],[20.44045677 14.55954323] ; [337.55954323 240.44045677],0
a8,1,0.883558,0.02145,[ 5 28] ; [ 76 458],[ 4.71428571 28.28571429] ; [ 76.28571429 457.71428571],0
v2,1,0.901694,0.015258,[20 14] ; [336 225],[20.34285714 13.65714286] ; [335.65714286 225.34285714],0
n1,1,0.90193,0.015184,[3 5] ; [41 75],[2.83870968 5.16129032] ; [41.16129032 74.83870968],0
n2,1,0.957018,0.002905,[6 2] ; [86 30],[5.93548387 2.06451613] ; [86.06451613 29.93548387],0
r1,1,0.957421,0.002851,[29  6] ; [481 102],[28.88349515  6.11650485] ; [481.11650485 101.88349515],0
