Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.022824,5.181818,[ 4 20] ; [15 18],[ 8. 16.] ; [11. 22.],0
u3,1,0.555126,0.348214,[3 9] ; [5 9],[3.69230769 8.30769231] ; [4.30769231 9.69230769],0
a1,1,0.561358,0.337358,[ 3 21] ; [ 6 27],[ 3.78947368 20.21052632] ; [ 5.21052632 27.78947368],0
p11,1,0.569295,0.323864,[ 9 15] ; [10 23],[ 8. 16.] ; [11. 22.],0
p3,1,0.572566,0.318407,[ 3 20] ; [ 6 26],[ 3.76363636 19.23636364] ; [ 5.23636364 26.76363636],0
p2,1,0.595302,0.282139,[11 13] ; [12 19],[10.03636364 13.96363636] ; [12.96363636 18.03636364],0
r3,1,0.626851,0.236355,[11 13] ; [13 20],[10.10526316 13.89473684] ; [13.89473684 19.10526316],0
s8,1,0.645457,0.211676,[ 2 22] ; [ 4 29],[ 2.52631579 21.47368421] ; [ 3.47368421 29.52631579],0
u2,1,0.670896,0.180556,[7 5] ; [7 7],[6.46153846 5.53846154] ; [7.53846154 6.46153846],0
a3,1,0.689125,0.160034,[12 11] ; [19 14],[12.73214286 10.26785714] ; [18.26785714 14.73214286],0
d4,1,0.708299,0.139982,[15  9] ; [19 14],[14.31578947  9.68421053] ; [19.68421053 13.31578947],0
a5,1,0.797881,0.065582,[11 13] ; [14 19],[10.52631579 13.47368421] ; [14.47368421 18.52631579],0
v1,1,0.812901,0.05602,[ 8 16] ; [12 21],[ 8.42105263 15.57894737] ; [11.57894737 21.42105263],0
p6,1,0.854267,0.033737,[ 4 19] ; [ 6 25],[ 4.25925926 18.74074074] ; [ 5.74074074 25.25925926],0
s4,1,0.881953,0.02205,[ 4 20] ; [ 6 27],[ 4.21052632 19.78947368] ; [ 5.78947368 27.21052632],0
b5,1,0.910051,0.012763,[12 12] ; [16 17],[11.78947368 12.21052632] ; [16.21052632 16.78947368],0
b4,1,0.910051,0.012763,[12 12] ; [16 17],[11.78947368 12.21052632] ; [16.21052632 16.78947368],0
n1,1,0.919347,0.010253,[5 9] ; [ 6 10],[5.13333333 8.86666667] ; [ 5.86666667 10.13333333],0
s1,1,0.920483,0.009965,[ 2 22] ; [ 3 30],[ 2.10526316 21.89473684] ; [ 2.89473684 30.10526316],0
s6,1,0.926229,0.008573,[ 7 17] ; [10 23],[ 7.15789474 16.84210526] ; [ 9.84210526 23.15789474],0
a2,1,0.965686,0.001851,[ 3 21] ; [ 4 29],[ 2.94736842 21.05263158] ; [ 4.05263158 28.94736842],0
a7,1,0.977384,0.000804,[13 11] ; [18 15],[13.05263158 10.94736842] ; [17.94736842 15.05263158],0
v2,1,0.991583,0.000111,[ 7 16] ; [10 23],[ 6.98214286 16.01785714] ; [10.01785714 22.98214286],0
a4,1,1.0,0.0,[ 8 16] ; [11 22],[ 8. 16.] ; [11. 22.],0
