Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.1e-05,19.301872,[81  5] ; [91 40],[68.16589862 17.83410138] ; [103.83410138  27.16589862],1
b5,1,0.52882,0.396658,[47 40] ; [77 55],[49.26027397 37.73972603] ; [74.73972603 57.26027397],0
u4,1,0.543547,0.369005,[ 1 86] ; [  3 129],[ 1.5890411 85.4109589] ; [  2.4109589 129.5890411],0
n1,1,0.592097,0.287081,[12 10] ; [18 20],[11. 11.] ; [19. 19.],0
n3,1,0.757723,0.095155,[14  8] ; [25 12],[14.54237288  7.45762712] ; [24.45762712 12.54237288],0
n5,1,0.762376,0.091423,[66 21] ; [97 34],[65.05045872 21.94954128] ; [97.94954128 33.05045872],0
u1,1,0.794625,0.067761,[15 72] ; [ 21 111],[14.30136986 72.69863014] ; [ 21.69863014 110.30136986],0
v3,1,0.799656,0.064411,[17 68] ; [ 24 105],[16.28504673 68.71495327] ; [ 24.71495327 104.28504673],0
a7,1,0.814126,0.055275,[54 33] ; [84 48],[54.82191781 32.17808219] ; [83.17808219 48.82191781],0
n4,1,0.82289,0.0501,[64 22] ; [100  32],[64.69724771 21.30275229] ; [99.30275229 32.69724771],0
u2,1,0.834115,0.04386,[11 10] ; [27 22],[11.4  9.6] ; [26.6 22.4],0
a6,1,0.881862,0.022085,[54 33] ; [80 51],[53.47706422 33.52293578] ; [80.52293578 50.47706422],0
p1,1,0.936428,0.006362,[ 8 77] ; [ 12 120],[ 7.83410138 77.16589862] ; [ 12.16589862 119.83410138],0
