Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-05,19.571532,[11  1] ; [ 6 26],[4.63636364 7.36363636] ; [12.36363636 19.63636364],1
u3,1,0.160711,1.967525,[1 2] ; [ 1 15],[0.31578947 2.68421053] ; [ 1.68421053 14.31578947],0
p8,1,0.174567,1.843277,[6 7] ; [ 9 26],[4.0625 8.9375] ; [10.9375 24.0625],0
a2,1,0.176892,1.823548,[ 3 10] ; [ 3 32],[ 1.625 11.375] ; [ 4.375 30.625],0
p1,1,0.19352,1.690617,[4 9] ; [ 5 30],[ 2.4375 10.5625] ; [ 6.5625 28.4375],0
s4,1,0.19352,1.690617,[4 9] ; [ 5 30],[ 2.4375 10.5625] ; [ 6.5625 28.4375],0
s5,1,0.208748,1.580085,[5 7] ; [ 8 27],[3.31914894 8.68085106] ; [ 9.68085106 25.31914894],0
p10,1,0.210786,1.566022,[8 5] ; [14 20],[6.08510638 6.91489362] ; [15.91489362 18.08510638],0
a3,1,0.220927,1.498338,[10  3] ; [19 14],[8.19565217 4.80434783] ; [20.80434783 12.19565217],0
d2,1,0.235541,1.407087,[9 4] ; [17 17],[7.19148936 5.80851064] ; [18.80851064 15.19148936],0
n1,1,0.249561,1.325758,[7 3] ; [7 8],[5.6 4.4] ; [8.4 6.6],0
a6,1,0.269219,1.220722,[9 4] ; [18 17],[7.3125 5.6875] ; [19.6875 15.3125],0
a5,1,0.275963,1.186863,[10  3] ; [21 14],[8.39583333 4.60416667] ; [22.60416667 12.39583333],0
p4,1,0.278587,1.173971,[6 7] ; [10 24],[4.42553191 8.57446809] ; [11.57446809 22.42553191],0
v2,1,0.351362,0.868531,[4 9] ; [ 6 27],[ 2.82608696 10.17391304] ; [ 7.17391304 25.82608696],0
v1,1,0.387888,0.745554,[5 8] ; [ 9 26],[3.79166667 9.20833333] ; [10.20833333 24.79166667],0
d1,1,0.390154,0.738462,[7 6] ; [14 21],[5.6875 7.3125] ; [15.3125 19.6875],0
v3,1,0.46088,0.543758,[4 9] ; [ 7 27],[3.04255319 9.95744681] ; [ 7.95744681 26.04255319],0
b1,1,0.497121,0.461077,[6 7] ; [20 15],[7.04166667 5.95833333] ; [18.95833333 16.04166667],0
d3,1,0.497121,0.461077,[7 6] ; [15 20],[5.95833333 7.04166667] ; [16.04166667 18.95833333],0
b2,1,0.573138,0.31746,[4 8] ; [12 16],[4.8 7.2] ; [11.2 16.8],0
b3,1,0.573138,0.31746,[4 8] ; [12 16],[4.8 7.2] ; [11.2 16.8],0
a4,1,0.675022,0.175784,[6 7] ; [13 20],[5.36956522 7.63043478] ; [13.63043478 19.36956522],0
b4,1,0.681582,0.168351,[9 4] ; [22 13],[8.39583333 4.60416667] ; [22.60416667 12.39583333],0
d5,1,0.783696,0.075353,[8 5] ; [20 15],[7.58333333 5.41666667] ; [20.41666667 14.58333333],0
p12,1,0.801359,0.063297,[ 1 12] ; [ 2 33],[ 0.8125 12.1875] ; [ 2.1875 32.8125],0
p7,1,0.878825,0.023244,[3 9] ; [ 9 24],[3.2 8.8] ; [ 8.8 24.2],0
d4,1,0.881557,0.0222,[7 6] ; [18 17],[6.77083333 6.22916667] ; [18.22916667 16.77083333],0
p3,1,0.917021,0.010855,[4 9] ; [11 23],[4.14893617 8.85106383] ; [10.85106383 23.14893617],0
u2,1,0.943209,0.005075,[1 2] ; [ 5 11],[0.94736842 2.05263158] ; [ 5.05263158 10.94736842],0
