Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3.3e-05,17.229192,[ 6 21] ; [18  4],[13.2244898 13.7755102] ; [10.7755102 11.2244898],1
b1,1,0.237616,1.394683,[18 10] ; [11 12],[15.92156863 12.07843137] ; [13.07843137  9.92156863],0
s5,1,0.273845,1.197385,[ 3 24] ; [ 5 17],[ 4.40816327 22.59183673] ; [ 3.59183673 18.40816327],0
r4,1,0.279184,1.17106,[ 7 21] ; [ 9 14],[ 8.78431373 19.21568627] ; [ 7.21568627 15.78431373],0
p6,1,0.281825,1.158266,[ 4 23] ; [ 6 16],[ 5.51020408 21.48979592] ; [ 4.48979592 17.51020408],0
a3,1,0.309064,1.034669,[15 12] ; [16  7],[16.74 10.26] ; [14.26  8.74],0
p12,1,0.414636,0.665469,[ 1 27] ; [ 2 20],[ 1.68 26.32] ; [ 1.32 20.68],0
p3,1,0.445504,0.582065,[ 7 21] ; [ 8 15],[ 8.23529412 19.76470588] ; [ 6.76470588 16.23529412],0
a4,1,0.479677,0.499597,[ 8 19] ; [ 9 14],[ 9.18 17.82] ; [ 7.82 15.18],0
u3,1,0.481924,0.494505,[ 2 11] ; [2 5],[ 2.6 10.4] ; [1.4 5.6],0
d3,1,0.507142,0.439959,[12 16] ; [12 11],[13.17647059 14.82352941] ; [10.82352941 12.17647059],0
p1,1,0.537537,0.380124,[ 4 24] ; [ 2 21],[ 3.29411765 24.70588235] ; [ 2.70588235 20.29411765],0
r1,1,0.540031,0.375482,[11 17] ; [11 12],[12.07843137 15.92156863] ; [ 9.92156863 13.07843137],0
v1,1,0.557659,0.343774,[ 8 20] ; [ 8 14],[ 8.96 19.04] ; [ 7.04 14.96],0
a8,1,0.608919,0.261752,[ 5 23] ; [ 5 16],[ 5.71428571 22.28571429] ; [ 4.28571429 16.71428571],0
a6,1,0.682979,0.166792,[15 13] ; [11 12],[14.2745098 13.7254902] ; [11.7254902 11.2745098],0
v3,1,0.696353,0.152293,[ 6 22] ; [ 6 17],[ 6.58823529 21.41176471] ; [ 5.41176471 17.58823529],0
n5,1,0.717841,0.130571,[22  6] ; [19  4],[22.50980392  5.49019608] ; [18.49019608  4.50980392],0
s3,1,0.782017,0.076558,[10 17] ; [ 9 13],[10.46938776 16.53061224] ; [ 8.53061224 13.46938776],0
s4,1,0.809381,0.058189,[ 3 25] ; [ 2 21],[ 2.74509804 25.25490196] ; [ 2.25490196 20.74509804],0
s1,1,0.809381,0.058189,[ 3 25] ; [ 2 21],[ 2.74509804 25.25490196] ; [ 2.25490196 20.74509804],0
s2,1,0.855688,0.033075,[ 7 21] ; [ 6 16],[ 7.28 20.72] ; [ 5.72 16.28],0
a2,1,0.897928,0.016456,[ 4 24] ; [ 3 20],[ 3.84313725 24.15686275] ; [ 3.15686275 19.84313725],0
a7,1,0.920746,0.009899,[13 15] ; [11 12],[13.17647059 14.82352941] ; [10.82352941 12.17647059],0
n1,1,1.0,0.0,[7 7] ; [4 4],[7. 7.] ; [4. 4.],0
