Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,4.1e-05,16.811672,[22  4] ; [ 9 21],[14.39285714 11.60714286] ; [16.60714286 13.39285714],1
d3,1,0.244686,1.35339,[12 14] ; [10 22],[ 9.86206897 16.13793103] ; [12.13793103 19.86206897],0
d4,1,0.256003,1.290245,[ 8 17] ; [15 17],[10.0877193 14.9122807] ; [12.9122807 19.0877193],0
n6,1,0.266273,1.235848,[18  8] ; [17 14],[15.96491228 10.03508772] ; [19.03508772 11.96491228],0
r1,1,0.283113,1.152087,[14 12] ; [21 10],[15.96491228 10.03508772] ; [19.03508772 11.96491228],0
a7,1,0.392224,0.732036,[13 13] ; [12 19],[11.40350877 14.59649123] ; [13.59649123 17.40350877],0
n1,1,0.431401,0.619048,[5 8] ; [7 6],[6. 7.] ; [6. 7.],0
a5,1,0.437333,0.603269,[ 8 18] ; [13 19],[ 9.4137931 16.5862069] ; [11.5862069 20.4137931],0
b5,1,0.444135,0.585577,[14 12] ; [14 18],[12.55172414 13.44827586] ; [15.44827586 16.55172414],0
b1,1,0.444135,0.585577,[14 12] ; [14 18],[12.55172414 13.44827586] ; [15.44827586 16.55172414],0
r3,1,0.488593,0.479624,[19  7] ; [20 11],[17.78947368  8.21052632] ; [21.21052632  9.78947368],0
s7,1,0.498404,0.458333,[ 6 19] ; [ 5 25],[ 5. 20.] ; [ 6. 24.],0
a6,1,0.519924,0.414044,[10 16] ; [15 17],[11.20689655 14.79310345] ; [13.79310345 18.20689655],0
u3,1,0.587045,0.294983,[ 5 11] ; [ 8 12],[ 5.77777778 10.22222222] ; [ 7.22222222 12.77777778],0
a8,1,0.589791,0.29067,[ 2 22] ; [ 4 27],[ 2.61818182 21.38181818] ; [ 3.38181818 27.61818182],0
s6,1,0.591729,0.287652,[ 8 18] ; [12 20],[ 8.96551724 17.03448276] ; [11.03448276 20.96551724],0
p11,1,0.635099,0.225209,[13 13] ; [14 18],[12.10344828 13.89655172] ; [14.89655172 17.10344828],0
r4,1,0.672407,0.1788,[14 12] ; [19 13],[14.79310345 11.20689655] ; [18.20689655 13.79310345],0
u1,1,0.681004,0.168998,[ 1 25] ; [ 2 30],[ 1.34482759 24.65517241] ; [ 1.65517241 30.34482759],0
r2,1,0.704428,0.143906,[19  7] ; [24  7],[19.61403509  6.38596491] ; [23.38596491  7.61403509],0
b4,1,0.727964,0.12099,[15 11] ; [17 15],[14.34482759 11.65517241] ; [17.65517241 14.34482759],0
p10,1,0.741988,0.108387,[ 4 21] ; [ 4 27],[ 3.57142857 21.42857143] ; [ 4.42857143 26.57142857],0
v1,1,0.785943,0.073757,[ 9 17] ; [10 22],[ 8.51724138 17.48275862] ; [10.48275862 21.51724138],0
v3,1,0.799344,0.064615,[ 7 19] ; [ 9 21],[ 7.42857143 18.57142857] ; [ 8.57142857 21.42857143],0
s2,1,0.825857,0.048408,[ 8 18] ; [ 9 23],[ 7.62068966 18.37931034] ; [ 9.37931034 22.62068966],0
d1,1,0.829316,0.046474,[ 2 24] ; [ 2 30],[ 1.79310345 24.20689655] ; [ 2.20689655 29.79310345],0
d2,1,0.867891,0.027668,[ 7 19] ; [ 8 24],[ 6.72413793 19.27586207] ; [ 8.27586207 23.72413793],0
p5,1,0.899116,0.016073,[ 1 25] ; [ 1 30],[ 0.9122807 25.0877193] ; [ 1.0877193 29.9122807],0
p3,1,0.918874,0.010374,[ 7 19] ; [ 9 23],[ 7.17241379 18.82758621] ; [ 8.82758621 23.17241379],0
u2,1,0.921972,0.009594,[7 8] ; [ 9 11],[6.85714286 8.14285714] ; [ 9.14285714 10.85714286],0
s5,1,0.954488,0.003257,[ 3 22] ; [ 4 28],[ 3.07017544 21.92982456] ; [ 3.92982456 28.07017544],0
a4,1,0.969267,0.001484,[ 4 21] ; [ 5 27],[ 3.94736842 21.05263158] ; [ 5.05263158 26.94736842],0
a3,1,0.984708,0.000367,[10 16] ; [12 19],[10.03508772 15.96491228] ; [11.96491228 19.03508772],0
