Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1.7e-05,18.531656,[ 3 78] ; [15 34],[11.21538462 69.78461538] ; [ 6.78461538 42.21538462],1
p12,1,0.288155,1.128223,[ 3 78] ; [ 4 46],[ 4.32824427 76.67175573] ; [ 2.67175573 47.32824427],0
u2,1,0.297128,1.087038,[17 31] ; [12 13],[19.06849315 28.93150685] ; [ 9.93150685 15.06849315],0
b1,1,0.297813,1.083962,[36 45] ; [18 33],[33.13636364 47.86363636] ; [20.86363636 30.13636364],0
n2,1,0.312121,1.021678,[19 11] ; [11  3],[20.45454545  9.54545455] ; [9.54545455 4.45454545],0
p8,1,0.32152,0.982755,[29 49] ; [23 27],[31.6875 46.3125] ; [20.3125 29.6875],0
d5,1,0.347452,0.882743,[31 49] ; [24 27],[33.58778626 46.41221374] ; [21.41221374 29.58778626],0
a7,1,0.39261,0.730845,[42 37] ; [31 20],[44.36153846 34.63846154] ; [28.63846154 22.36153846],0
s1,1,0.481265,0.495996,[ 4 75] ; [ 4 45],[ 4.9375 74.0625] ; [ 3.0625 45.9375],0
d1,1,0.569494,0.323529,[ 3 78] ; [ 1 50],[ 2.45454545 78.54545455] ; [ 1.54545455 49.45454545],0
n1,1,0.597751,0.278402,[11 19] ; [ 4 10],[10.22727273 19.77272727] ; [4.77272727 9.22727273],0
p2,1,0.603934,0.269103,[53 27] ; [36 15],[54.35114504 25.64885496] ; [34.64885496 16.35114504],0
n3,1,0.664542,0.188053,[21  8] ; [11  3],[21.58139535  7.41860465] ; [10.41860465  3.58139535],0
a8,1,0.680818,0.169207,[ 6 67] ; [ 5 43],[ 6.63636364 66.36363636] ; [ 4.36363636 43.63636364],0
p7,1,0.694031,0.154757,[37 41] ; [25 24],[38.07874016 39.92125984] ; [23.92125984 25.07874016],0
a2,1,0.710853,0.137426,[ 5 76] ; [ 4 47],[ 5.52272727 75.47727273] ; [ 3.47727273 47.52272727],0
u1,1,0.739453,0.110608,[ 1 80] ; [ 1 50],[ 1.22727273 79.77272727] ; [ 0.77272727 50.22727273],0
v1,1,0.911891,0.012244,[30 51] ; [19 31],[30.29770992 50.70229008] ; [18.70229008 31.29770992],0
p6,1,0.930918,0.007515,[20 59] ; [13 37],[20.20930233 58.79069767] ; [12.79069767 37.20930233],0
b5,1,0.993456,6.7e-05,[46 35] ; [29 22],[46.02272727 34.97727273] ; [28.97727273 22.02272727],0
