Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,37.62418,[  8 117] ; [22 26],[ 21.67630058 103.32369942] ; [ 8.32369942 39.67630058],1
a3,1,0.387605,0.746442,[75 49] ; [25 22],[72.51461988 51.48538012] ; [27.48538012 19.51461988],0
d3,1,0.394944,0.723667,[66 58] ; [29 19],[68.48837209 55.51162791] ; [26.51162791 21.48837209],0
r2,1,0.407842,0.685083,[102  23] ; [40  6],[103.80116959  21.19883041] ; [38.19883041  7.80116959],0
n5,1,0.408701,0.682575,[81 45] ; [27 20],[78.65895954 47.34104046] ; [29.34104046 17.65895954],0
s5,1,0.421847,0.645163,[  9 115] ; [ 5 40],[ 10.27218935 113.72781065] ; [ 3.72781065 41.27218935],0
d1,1,0.424203,0.638643,[53 73] ; [17 31],[50.68965517 75.31034483] ; [19.31034483 28.68965517],0
p8,1,0.456629,0.554144,[42 83] ; [13 34],[39.97093023 85.02906977] ; [15.02906977 31.97093023],0
p5,1,0.46442,0.535222,[  3 123] ; [ 2 42],[  3.70588235 122.29411765] ; [ 1.29411765 42.70588235],0
u2,1,0.470329,0.521203,[22 29] ; [12 11],[23.43243243 27.56756757] ; [10.56756757 12.43243243],0
p3,1,0.485093,0.487393,[36 90] ; [16 31],[37.87283237 88.12716763] ; [14.12716763 32.87283237],0
s4,1,0.564507,0.33196,[ 12 114] ; [ 6 42],[ 13.03448276 112.96551724] ; [ 4.96551724 43.03448276],0
p9,1,0.635249,0.22501,[74 48] ; [31 17],[75.35294118 46.64705882] ; [29.64705882 18.35294118],0
r4,1,0.636184,0.223767,[81 45] ; [29 19],[79.65517241 46.34482759] ; [30.34482759 17.65517241],0
v3,1,0.657234,0.196901,[ 17 107] ; [ 5 40],[ 16.14201183 107.85798817] ; [ 5.85798817 39.14201183],0
p2,1,0.70611,0.142193,[81 44] ; [29 18],[79.94186047 45.05813953] ; [30.05813953 16.94186047],0
r3,1,0.716474,0.131896,[97 28] ; [36 12],[96.0982659 28.9017341] ; [36.9017341 11.0982659],0
a4,1,0.742386,0.108041,[45 80] ; [16 32],[44.07514451 80.92485549] ; [16.92485549 31.07514451],0
p6,1,0.7459,0.105009,[26 98] ; [ 9 39],[25.23255814 98.76744186] ; [ 9.76744186 38.23255814],0
u3,1,0.774837,0.081826,[24 27] ; [10 13],[23.43243243 27.56756757] ; [10.56756757 12.43243243],0
n4,1,0.791999,0.069546,[76 50] ; [30 18],[76.75862069 49.24137931] ; [29.24137931 18.75862069],0
a1,1,0.860363,0.030945,[  7 119] ; [ 3 45],[  7.24137931 118.75862069] ; [ 2.75862069 45.24137931],0
p10,1,0.861451,0.03046,[71 54] ; [26 21],[70.49418605 54.50581395] ; [26.50581395 20.49418605],0
d4,1,0.870713,0.026488,[85 41] ; [33 15],[85.44827586 40.55172414] ; [32.55172414 15.44827586],0
v4,1,0.8748,0.024827,[100  26] ; [36 10],[99.62790698 26.37209302] ; [36.37209302  9.62790698],0
p4,1,0.878383,0.023415,[44 82] ; [17 30],[44.42774566 81.57225434] ; [16.57225434 30.42774566],0
u1,1,0.931457,0.007398,[ 10 116] ; [ 4 44],[ 10.13793103 115.86206897] ; [ 3.86206897 44.13793103],0
b5,1,0.933128,0.007041,[77 49] ; [29 19],[76.75862069 49.24137931] ; [29.24137931 18.75862069],0
a6,1,0.933128,0.007041,[77 49] ; [29 19],[76.75862069 49.24137931] ; [29.24137931 18.75862069],0
r1,1,0.946635,0.00448,[67 58] ; [26 22],[67.19653179 57.80346821] ; [25.80346821 22.19653179],0
d2,1,0.948781,0.004127,[51 73] ; [20 28],[51.18604651 72.81395349] ; [19.81395349 28.18604651],0
