Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,4e-06,21.421671,[ 1 38] ; [15 15],[ 9.04347826 29.95652174] ; [ 6.95652174 23.04347826],1
p2,1,0.526194,0.401736,[24 15] ; [20  9],[25.23529412 13.76470588] ; [18.76470588 10.23529412],0
p3,1,0.581394,0.303986,[ 7 32] ; [ 7 23],[ 7.91304348 31.08695652] ; [ 6.08695652 23.91304348],0
b5,1,0.596585,0.280178,[22 17] ; [15 15],[20.91304348 18.08695652] ; [16.08695652 13.91304348],0
s1,1,0.599856,0.275214,[ 4 35] ; [ 2 28],[ 3.39130435 35.60869565] ; [ 2.60869565 27.39130435],0
n3,1,0.625444,0.23829,[11  9] ; [7 8],[10.28571429  9.71428571] ; [7.71428571 7.28571429],0
a4,1,0.692287,0.15662,[ 4 35] ; [ 4 26],[ 4.52173913 34.47826087] ; [ 3.47826087 26.52173913],0
n4,1,0.703836,0.144512,[20 19] ; [14 16],[19.2173913 19.7826087] ; [14.7826087 15.2173913],0
s4,1,0.778265,0.079288,[ 8 31] ; [ 7 23],[ 8.47826087 30.52173913] ; [ 6.52173913 23.47826087],0
n5,1,0.79894,0.064882,[22 17] ; [16 14],[21.47826087 17.52173913] ; [16.52173913 13.47826087],0
a3,1,0.833324,0.044285,[13 25] ; [11 19],[13.41176471 24.58823529] ; [10.58823529 19.41176471],0
p8,1,0.841165,0.040162,[13 26] ; [ 9 20],[12.61764706 26.38235294] ; [ 9.38235294 19.61764706],0
s8,1,0.88533,0.020798,[ 6 33] ; [ 5 25],[ 6.2173913 32.7826087] ; [ 4.7826087 25.2173913],0
v1,1,0.92464,0.008947,[11 27] ; [ 9 21],[11.17647059 26.82352941] ; [ 8.82352941 21.17647059],0
b2,1,0.95673,0.002944,[ 7 16] ; [ 5 11],[ 7.07692308 15.92307692] ; [ 4.92307692 11.07692308],0
b3,1,0.95673,0.002944,[ 7 16] ; [ 5 11],[ 7.07692308 15.92307692] ; [ 4.92307692 11.07692308],0
p9,1,1.0,0.0,[19 19] ; [15 15],[19. 19.] ; [15. 15.],0
n2,1,1.0,0.0,[12  8] ; [9 6],[12.  8.] ; [9. 6.],0
