Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-05,19.515959,[ 66 256] ; [37 47],[ 81.68965517 240.31034483] ; [21.31034483 62.68965517],1
d4,1,0.12802,2.316349,[235  89] ; [67 16],[240.41277641  83.58722359] ; [61.58722359 21.41277641],0
n1,1,0.134345,2.241561,[30 68] ; [10 11],[32.94117647 65.05882353] ; [ 7.05882353 13.94117647],0
b1,1,0.157624,1.996874,[123 201] ; [39 45],[128.64705882 195.35294118] ; [33.35294118 50.64705882],0
s1,1,0.158052,1.992761,[  9 309] ; [ 5 78],[ 11.10224439 306.89775561] ; [ 2.89775561 80.10224439],0
r3,1,0.162717,1.948792,[281  41] ; [77  6],[284.63209877  37.36790123] ; [73.36790123  9.63209877],0
r4,1,0.163694,1.939767,[247  77] ; [70 14],[251.73529412  72.26470588] ; [65.26470588 18.73529412],0
r2,1,0.195584,1.675046,[279  39] ; [77  6],[282.31421446  35.68578554] ; [73.68578554  9.31421446],0
v1,1,0.2122,1.556353,[133 186] ; [40 41],[137.9675 181.0325] ; [35.0325 45.9675],0
p8,1,0.245483,1.348826,[127 191] ; [39 44],[131.64089776 186.35910224] ; [34.35910224 48.64089776],0
u3,1,0.249944,1.323618,[61 72] ; [13  9],[63.49677419 69.50322581] ; [10.50322581 11.49677419],0
a7,1,0.275688,1.188222,[230  92] ; [65 19],[233.96551724  88.03448276] ; [61.03448276 22.96551724],0
n5,1,0.295237,1.095584,[212 108] ; [60 23],[215.98014888 104.01985112] ; [56.01985112 26.98014888],0
p11,1,0.32115,0.984259,[221 103] ; [62 22],[224.73529412  99.26470588] ; [58.26470588 25.73529412],0
v2,1,0.336964,0.921947,[145 163] ; [44 39],[148.8797954 159.1202046] ; [40.1202046 42.8797954],0
n3,1,0.44488,0.583663,[69 29] ; [13  8],[67.52941176 30.47058824] ; [14.47058824  6.52941176],0
v4,1,0.489605,0.477394,[283  40] ; [75  8],[284.81280788  38.18719212] ; [73.18719212  9.81280788],0
a1,1,0.527166,0.399851,[ 14 310] ; [ 5 79],[ 15.08823529 308.91176471] ; [ 3.91176471 80.08823529],0
b4,1,0.527283,0.399624,[186 138] ; [45 39],[183.44117647 140.55882353] ; [47.55882353 36.44117647],0
u2,1,0.555168,0.34814,[64 70] ; [12 10],[65.28205128 68.71794872] ; [10.71794872 11.28205128],0
a6,1,0.614054,0.254313,[221 103] ; [59 24],[222.8992629 101.1007371] ; [57.1007371 25.8992629],0
p9,1,0.638456,0.220768,[225  94] ; [60 22],[226.72069825  92.27930175] ; [58.27930175 23.72069825],0
n2,1,0.651251,0.204327,[65 33] ; [15  6],[65.88235294 32.11764706] ; [14.11764706  6.88235294],0
p12,1,0.694637,0.154112,[  9 313] ; [ 3 80],[  9.54074074 312.45925926] ; [ 2.45925926 80.54074074],0
b3,1,0.754608,0.097699,[ 51 113] ; [19 38],[ 51.94570136 112.05429864] ; [18.05429864 38.94570136],0
b2,1,0.754608,0.097699,[ 51 113] ; [19 38],[ 51.94570136 112.05429864] ; [18.05429864 38.94570136],0
u4,1,0.82642,0.048091,[  3 321] ; [ 1 83],[  3.17647059 320.82352941] ; [ 0.82352941 83.17647059],0
p1,1,0.980636,0.000589,[ 19 304] ; [ 5 79],[ 19.04668305 303.95331695] ; [ 4.95331695 79.04668305],0
