Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,159.900299,[ 72 258] ; [234  96],[153. 177.] ; [153. 177.],1
p12,1,0.004841,7.937826,[ 17 311] ; [ 37 293],[ 26.91793313 301.08206687] ; [ 27.08206687 302.91793313],0
a4,1,0.008213,6.986488,[146 185] ; [180 151],[163. 168.] ; [163. 168.],0
s4,1,0.008983,6.826277,[ 42 282] ; [ 68 262],[ 54.49541284 269.50458716] ; [ 55.50458716 274.49541284],0
v1,1,0.009354,6.753976,[162 161] ; [196 129],[178.44753086 144.55246914] ; [179.55246914 145.44753086],0
u4,1,0.010654,6.522207,[  4 327] ; [ 15 317],[  9.48567119 321.51432881] ; [  9.51432881 322.48567119],0
a8,1,0.011591,6.372392,[ 35 274] ; [ 55 240],[ 46.04304636 262.95695364] ; [ 43.95695364 251.04304636],0
p1,1,0.013624,6.086216,[ 17 312] ; [ 34 296],[ 25.46130501 303.53869499] ; [ 25.53869499 304.46130501],0
n1,1,0.014075,6.028727,[23 50] ; [32 29],[29.96268657 43.03731343] ; [25.03731343 35.96268657],0
s1,1,0.017766,5.619057,[  4 321] ; [ 14 314],[  8.95865237 316.04134763] ; [  9.04134763 318.95865237],0
v2,1,0.021017,5.325423,[174 143] ; [205 116],[188.31191223 128.68808777] ; [190.68808777 130.31191223],0
u2,1,0.021685,5.270846,[63 50] ; [36 12],[69.48447205 43.51552795] ; [29.51552795 18.48447205],0
d1,1,0.025223,5.008511,[220 111] ; [247  85],[233.14781297  97.85218703] ; [233.85218703  98.14781297],0
u3,1,0.025396,4.996647,[67 46] ; [38 11],[73.24074074 39.75925926] ; [31.75925926 17.24074074],0
r1,1,0.025655,4.979118,[276  53] ; [298  34],[285.69742814  43.30257186] ; [288.30257186  43.69742814],0
a1,1,0.030334,4.690261,[ 10 321] ; [ 22 310],[ 15.97586727 315.02413273] ; [ 16.02413273 315.97586727],0
p10,1,0.036099,4.392439,[261  67] ; [283  47],[271.17325228  56.82674772] ; [272.82674772  57.17325228],0
a5,1,0.037297,4.336781,[247  84] ; [270  62],[258.11010558  72.88989442] ; [258.88989442  73.11010558],0
a6,1,0.050556,3.822914,[244  87] ; [221 110],[232.5  98.5] ; [232.5  98.5],0
v4,1,0.055081,3.679637,[318  13] ; [327   5],[322.01357466   8.98642534] ; [322.98642534   9.01357466],0
r2,1,0.077737,3.111601,[319   9] ; [328   3],[322.02731411   5.97268589] ; [324.97268589   6.02731411],0
p8,1,0.097645,2.743588,[166 161] ; [186 139],[176.5398773 150.4601227] ; [175.4601227 149.5398773],0
b2,1,0.136078,2.22176,[ 66 108] ; [106 128],[ 73.35294118 100.64705882] ; [ 98.64705882 135.35294118],0
b3,1,0.136078,2.22176,[ 66 108] ; [106 128],[ 73.35294118 100.64705882] ; [ 98.64705882 135.35294118],0
b5,1,0.214406,1.541423,[209 122] ; [194 138],[201.19607843 129.80392157] ; [201.80392157 130.19607843],0
d3,1,0.216413,1.528,[251  80] ; [265  67],[257.61085973  73.38914027] ; [258.38914027  73.61085973],0
p2,1,0.221551,1.494298,[273  56] ; [286  45],[278.6530303  50.3469697] ; [280.3469697  50.6530303],0
a7,1,0.224049,1.47825,[255  75] ; [243  89],[248.24773414  81.75226586] ; [249.75226586  82.24773414],0
d5,1,0.274315,1.195044,[287  44] ; [297  35],[291.55957768  39.44042232] ; [292.44042232  39.55957768],0
b4,1,0.317786,0.998039,[205 126] ; [193 139],[198.69984917 132.30015083] ; [199.30015083 132.69984917],0
b1,1,0.393287,0.728757,[118 213] ; [129 203],[123.31372549 207.68627451] ; [123.68627451 208.31372549],0
r3,1,0.737156,0.112643,[326   5] ; [327   4],[326.5   4.5] ; [326.5   4.5],0
n3,1,0.875496,0.024549,[55 20] ; [44 17],[54.59558824 20.40441176] ; [44.40441176 16.59558824],0
n2,1,0.920707,0.009909,[56 19] ; [46 15],[56.25 18.75] ; [45.75 15.25],0
p11,1,0.936408,0.006366,[268  63] ; [268  64],[267.59577677  63.40422323] ; [268.40422323  63.59577677],0
