Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,6.7e-05,15.880988,[111  59] ; [70 91],[92.96072508 77.03927492] ; [88.03927492 72.96072508],1
a3,1,0.116142,2.468593,[118  57] ; [102  70],[110.95100865  64.04899135] ; [109.04899135  62.95100865],0
n2,1,0.123119,2.37719,[25  6] ; [35 19],[21.88235294  9.11764706] ; [38.11764706 15.88235294],0
u1,1,0.168889,1.892773,[ 27 149] ; [ 18 155],[ 22.69340974 153.30659026] ; [ 22.30659026 150.69340974],0
p5,1,0.175235,1.83758,[ 13 161] ; [  7 165],[ 10.05780347 163.94219653] ; [  9.94219653 162.05780347],0
s4,1,0.175456,1.835702,[ 18 154] ; [ 26 143],[ 22.19354839 149.80645161] ; [ 21.80645161 147.19354839],0
d5,1,0.201266,1.633163,[145  31] ; [133  40],[140.19484241  35.80515759] ; [137.80515759  35.19484241],0
s8,1,0.253068,1.306289,[ 40 135] ; [ 31 142],[ 35.70402299 139.29597701] ; [ 35.29597701 137.70402299],0
a7,1,0.306977,1.043637,[127  48] ; [133  39],[131.12391931  43.87608069] ; [128.87608069  43.12391931],0
a8,1,0.382268,0.763395,[ 21 140] ; [ 16 145],[ 18.5 142.5] ; [ 18.5 142.5],0
a6,1,0.393881,0.726929,[123  53] ; [128  45],[126.57879656  49.42120344] ; [124.42120344  48.57879656],0
p1,1,0.40911,0.681386,[ 13 163] ; [  9 163],[ 11.12643678 164.87356322] ; [ 10.87356322 161.12643678],0
s6,1,0.418906,0.653382,[92 80] ; [83 86],[88.26979472 83.73020528] ; [86.73020528 82.26979472],0
s3,1,0.433385,0.613734,[ 60 111] ; [ 67 104],[ 63.5 107.5] ; [ 63.5 107.5],0
d2,1,0.465699,0.532164,[78 97] ; [ 70 102],[ 74.63976945 100.36023055] ; [73.36023055 98.63976945],0
p12,1,0.520159,0.413577,[ 11 164] ; [  8 162],[  9.63768116 165.36231884] ; [  9.36231884 160.63768116],0
b1,1,0.57098,0.321046,[ 60 116] ; [ 64 109],[ 62.53295129 113.46704871] ; [ 61.46704871 111.53295129],0
u3,1,0.572055,0.319257,[34 24] ; [37 32],[32.42519685 25.57480315] ; [38.57480315 30.42519685],0
u4,1,0.572131,0.31913,[  2 174] ; [  1 172],[  1.51289398 174.48710602] ; [  1.48710602 171.51289398],0
d4,1,0.604107,0.268845,[146  30] ; [139  33],[144.13793103  31.86206897] ; [140.86206897  31.13793103],0
d3,1,0.650601,0.205144,[115  61] ; [117  56],[116.99713467  59.00286533] ; [115.00286533  57.99713467],0
n1,1,0.749144,0.102252,[11 20] ; [17 36],[10.33333333 20.66666667] ; [17.66666667 35.33333333],0
b4,1,0.753911,0.098273,[107  69] ; [108  65],[108.42406877  67.57593123] ; [106.57593123  66.42406877],0
a1,1,0.781459,0.076961,[  6 170] ; [  5 168],[  5.54727794 170.45272206] ; [  5.45272206 167.54727794],0
u2,1,0.783367,0.075589,[28 30] ; [35 34],[28.77165354 29.22834646] ; [34.22834646 34.77165354],0
s2,1,0.93048,0.007611,[ 48 124] ; [ 47 124],[ 47.63848397 124.36151603] ; [ 47.36151603 123.63848397],0
