Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,148.28646,[ 19 131] ; [153  41],[75. 75.] ; [97. 97.],1
d2,1,0.48908,0.47855,[71 80] ; [98 95],[74.18313953 76.81686047] ; [94.81686047 98.18313953],0
a4,1,0.512684,0.428585,[71 81] ; [97 96],[74.0173913 77.9826087] ; [93.9826087 99.0173913],0
b2,1,0.525207,0.403656,[38 58] ; [41 75],[35.77358491 60.22641509] ; [43.22641509 72.77358491],0
b3,1,0.525207,0.403656,[38 58] ; [41 75],[35.77358491 60.22641509] ; [43.22641509 72.77358491],0
v1,1,0.542832,0.370317,[68 82] ; [91 96],[70.77151335 79.22848665] ; [88.22848665 98.77151335],0
d4,1,0.569446,0.323611,[127  24] ; [157  35],[125.02623907  25.97376093] ; [158.97376093  33.02623907],0
v3,1,0.58247,0.302259,[54 92] ; [ 62 120],[51.63414634 94.36585366] ; [ 64.36585366 117.63414634],0
u4,1,0.597762,0.278385,[  2 150] ; [  4 190],[  2.63583815 149.36416185] ; [  3.36416185 190.63583815],0
a8,1,0.603255,0.270115,[ 16 122] ; [ 24 153],[ 17.52380952 120.47619048] ; [ 22.47619048 154.52380952],0
p5,1,0.615767,0.251862,[  9 142] ; [  9 181],[  7.97067449 143.02932551] ; [ 10.02932551 179.97067449],0
p1,1,0.668214,0.183698,[  7 144] ; [ 11 183],[  7.87826087 143.12173913] ; [ 10.12173913 183.87826087],0
a5,1,0.717656,0.130749,[107  45] ; [140  54],[108.50867052  43.49132948] ; [138.49132948  55.50867052],0
a3,1,0.746999,0.10407,[105  46] ; [138  56],[106.35652174  44.64347826] ; [136.64347826  57.35652174],0
a7,1,0.746999,0.10407,[105  46] ; [138  56],[106.35652174  44.64347826] ; [136.64347826  57.35652174],0
v2,1,0.759553,0.093677,[81 67] ; [96 85],[79.6231003 68.3768997] ; [97.3768997 83.6231003],0
n6,1,0.935456,0.006558,[119  32] ; [152  40],[119.303207  31.696793] ; [151.696793  40.303207],0
p3,1,0.938833,0.005889,[ 50 101] ; [ 65 129],[ 50.33333333 100.66666667] ; [ 64.66666667 129.33333333],0
a6,1,0.950975,0.00378,[106  46] ; [134  59],[105.73913043  46.26086957] ; [134.26086957  58.73913043],0
d5,1,0.991174,0.000122,[122  30] ; [155  38],[122.04057971  29.95942029] ; [154.95942029  38.04057971],0
