Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2.9e-05,17.45429,[58 27] ; [129  14],[69.71491228 15.28508772] ; [117.28508772  25.71491228],1
a6,1,0.158844,1.985197,[50 36] ; [97 47],[54.96521739 31.03478261] ; [92.03478261 51.96521739],0
d1,1,0.191749,1.704124,[45 41] ; [88 56],[49.73043478 36.26956522] ; [83.26956522 60.73043478],0
p3,1,0.210919,1.565105,[37 48] ; [75 69],[41.5720524 43.4279476] ; [70.4279476 73.5720524],0
b5,1,0.240579,1.377196,[47 39] ; [90 54],[51.22608696 34.77391304] ; [85.77391304 58.22608696],0
v2,1,0.240946,1.375052,[32 52] ; [65 76],[36.21333333 47.78666667] ; [60.78666667 80.21333333],0
a5,1,0.303029,1.060816,[63 23] ; [114  30],[66.1826087 19.8173913] ; [110.8173913  33.1826087],0
p2,1,0.352467,0.864554,[76 10] ; [120  23],[73.6069869 12.3930131] ; [122.3930131  20.6069869],0
b1,1,0.370333,0.802548,[38 48] ; [55 89],[34.77391304 51.22608696] ; [58.22608696 85.77391304],0
p1,1,0.372213,0.796262,[ 5 81] ; [ 13 130],[ 6.75982533 79.24017467] ; [ 11.24017467 131.75982533],0
n1,1,0.395378,0.722338,[12 14] ; [20 15],[13.63934426 12.36065574] ; [18.36065574 16.63934426],0
s5,1,0.399292,0.710456,[32 50] ; [61 75],[34.98165138 47.01834862] ; [58.01834862 77.98165138],0
a1,1,0.45311,0.562859,[ 4 82] ; [  4 140],[ 2.99130435 83.00869565] ; [  5.00869565 138.99130435],0
a8,1,0.454972,0.558235,[12 69] ; [ 25 108],[14.0046729 66.9953271] ; [ 22.9953271 110.0046729],0
u3,1,0.463509,0.537408,[15  8] ; [18  6],[16.14893617  6.85106383] ; [16.85106383  7.14893617],0
p11,1,0.46791,0.526907,[62 24] ; [110  34],[64.31304348 21.68695652] ; [107.68695652  36.31304348],0
r1,1,0.47071,0.520308,[67 19] ; [117  26],[69.10043668 16.89956332] ; [114.89956332  28.10043668],0
a4,1,0.47478,0.51083,[43 43] ; [65 79],[40.3826087 45.6173913] ; [67.6173913 76.3826087],0
d4,1,0.50175,0.451234,[68 18] ; [119  25],[69.92173913 16.07826087] ; [117.07826087  26.92173913],0
s1,1,0.503999,0.446506,[ 6 79] ; [  7 135],[ 4.86784141 80.13215859] ; [  8.13215859 133.86784141],0
d2,1,0.517859,0.418155,[44 42] ; [80 64],[46.36521739 39.63478261] ; [77.63478261 66.36521739],0
p4,1,0.530225,0.39396,[53 33] ; [94 49],[55.20524017 30.79475983] ; [91.79475983 51.20524017],0
n4,1,0.559429,0.340694,[70 16] ; [111  31],[68.27192982 17.72807018] ; [112.72807018  29.27192982],0
a7,1,0.588614,0.292515,[58 28] ; [102  42],[59.82608696 26.17391304] ; [100.17391304  43.82608696],0
n2,1,0.591871,0.287431,[21  5] ; [27  9],[20.12903226  5.87096774] ; [27.87096774  8.12903226],0
u4,1,0.605353,0.266998,[ 1 85] ; [  3 141],[ 1.49565217 84.50434783] ; [  2.50434783 141.49565217],0
b4,1,0.634202,0.226406,[45 41] ; [80 64],[46.73913043 39.26086957] ; [78.26086957 65.73913043],0
n3,1,0.655969,0.198457,[16  9] ; [25 11],[16.80327869  8.19672131] ; [24.19672131 11.80327869],0
s4,1,0.705483,0.142831,[25 61] ; [ 38 104],[23.76315789 62.23684211] ; [ 39.23684211 102.76315789],0
d3,1,0.819246,0.052219,[58 28] ; [95 49],[57.20869565 28.79130435] ; [95.79130435 48.20869565],0
u2,1,0.829333,0.046465,[14  8] ; [16  8],[14.34782609  7.65217391] ; [15.65217391  8.34782609],0
a2,1,0.864959,0.028922,[23 63] ; [ 40 104],[23.55652174 62.44347826] ; [ 39.44347826 104.55652174],0
d5,1,0.885495,0.020738,[68 18] ; [115  29],[68.42608696 17.57391304] ; [114.57391304  29.42608696],0
r3,1,0.9008,0.015538,[79  5] ; [136   8],[79.21052632  4.78947368] ; [135.78947368   8.21052632],0
