Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,40.483232,[112   4] ; [31 22],[98.15384615 17.84615385] ; [44.84615385  8.15384615],1
s2,1,0.31561,1.007051,[45 67] ; [17 36],[42.08484848 69.91515152] ; [19.91515152 33.08484848],0
p12,1,0.410859,0.676314,[  8 106] ; [ 2 51],[  6.82634731 107.17365269] ; [ 3.17365269 49.82634731],0
n5,1,0.423614,0.640267,[87 28] ; [37 16],[84.88095238 30.11904762] ; [39.11904762 13.88095238],0
b2,1,0.446731,0.578932,[18 55] ; [ 9 19],[19.51485149 53.48514851] ; [ 7.48514851 20.51485149],0
b3,1,0.446731,0.578932,[18 55] ; [ 9 19],[19.51485149 53.48514851] ; [ 7.48514851 20.51485149],0
p7,1,0.462944,0.538768,[65 47] ; [27 25],[62.82926829 49.17073171] ; [29.17073171 22.82926829],0
n3,1,0.496398,0.462628,[27  5] ; [13  4],[26.12244898  5.87755102] ; [13.87755102  3.12244898],0
s1,1,0.513062,0.427817,[  7 105] ; [ 2 51],[  6.10909091 105.89090909] ; [ 2.89090909 50.10909091],0
a4,1,0.588369,0.292898,[28 86] ; [11 42],[26.62275449 87.37724551] ; [12.37724551 40.62275449],0
a8,1,0.625948,0.237596,[11 94] ; [ 4 46],[10.16129032 94.83870968] ; [ 4.83870968 45.16129032],0
n1,1,0.6583,0.195595,[15 19] ; [ 6 10],[14.28 19.72] ; [6.72 9.28],0
a2,1,0.681436,0.168514,[ 11 105] ; [ 4 49],[ 10.29585799 105.70414201] ; [ 4.70414201 48.29585799],0
d1,1,0.691147,0.157846,[  6 110] ; [ 2 51],[  5.49112426 110.50887574] ; [ 2.50887574 50.49112426],0
p1,1,0.713305,0.134999,[18 97] ; [ 7 45],[17.21556886 97.78443114] ; [ 7.78443114 44.21556886],0
p9,1,0.716663,0.131713,[85 28] ; [37 14],[84.06097561 28.93902439] ; [37.93902439 13.06097561],0
s4,1,0.719996,0.128496,[22 92] ; [ 9 44],[21.16167665 92.83832335] ; [ 9.83832335 43.16167665],0
b4,1,0.842778,0.039339,[61 55] ; [27 26],[60.40236686 55.59763314] ; [27.59763314 25.40236686],0
d5,1,0.854715,0.033528,[54 62] ; [25 27],[54.54761905 61.45238095] ; [24.45238095 27.54761905],0
b5,1,0.862049,0.030195,[64 52] ; [30 23],[64.52071006 51.47928994] ; [29.47928994 23.52071006],0
b1,1,0.895717,0.01718,[45 71] ; [20 33],[44.61538462 71.38461538] ; [20.38461538 32.61538462],0
d2,1,0.94751,0.004334,[29 87] ; [13 40],[28.82840237 87.17159763] ; [13.17159763 39.82840237],0
