Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,25.763255,[180  72] ; [76 87],[155.45060241  96.54939759] ; [100.54939759  62.45060241],1
u1,1,0.426658,0.631904,[ 63 195] ; [ 35 131],[ 59.63207547 198.36792453] ; [ 38.36792453 127.63207547],0
r1,1,0.439436,0.597755,[217  41] ; [134  31],[214.08510638  43.91489362] ; [136.91489362  28.08510638],0
s3,1,0.470353,0.521147,[147 109] ; [100  64],[150.55238095 105.44761905] ; [96.44761905 67.55238095],0
p8,1,0.470497,0.520809,[171  84] ; [105  60],[167.57142857  87.42857143] ; [108.42857143  56.57142857],0
p5,1,0.485361,0.486793,[ 47 210] ; [ 26 140],[ 44.35224586 212.64775414] ; [ 28.64775414 137.35224586],0
n3,1,0.572316,0.318823,[25  6] ; [30 10],[24.01408451  6.98591549] ; [30.98591549  9.01408451],0
d2,1,0.659808,0.193757,[137 121] ; [84 81],[134.79432624 123.20567376] ; [86.20567376 78.79432624],0
b1,1,0.682474,0.167354,[114 144] ; [70 96],[111.96226415 146.03773585] ; [72.03773585 93.96226415],0
u2,1,0.842257,0.039604,[30 25] ; [26 20],[30.4950495 24.5049505] ; [25.5049505 20.4950495],0
b4,1,0.865269,0.028788,[156 102] ; [99 67],[155.16509434 102.83490566] ; [99.83490566 66.16509434],0
a1,1,0.940742,0.005526,[ 16 242] ; [ 10 156],[ 15.82075472 242.17924528] ; [ 10.17924528 155.82075472],0
