Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,25.823973,[19 74] ; [109 102],[39.15789474 53.84210526] ; [ 88.84210526 122.15789474],1
p12,1,0.129049,2.303913,[ 2 91] ; [ 13 194],[ 4.65 88.35] ; [ 10.35 196.65],0
p8,1,0.137283,2.208157,[25 68] ; [ 73 132],[30.58389262 62.41610738] ; [ 67.41610738 137.58389262],0
u2,1,0.138448,2.195122,[28 17] ; [21 24],[24.5 20.5] ; [24.5 20.5],0
d4,1,0.138559,2.193891,[70 22] ; [175  35],[74.63576159 17.36423841] ; [170.36423841  39.63576159],0
b2,1,0.148029,2.092449,[12 34] ; [46 75],[15.9760479 30.0239521] ; [42.0239521 78.9760479],0
b3,1,0.148029,2.092449,[12 34] ; [46 75],[15.9760479 30.0239521] ; [42.0239521 78.9760479],0
s5,1,0.152137,2.050693,[20 71] ; [ 61 142],[25.07142857 65.92857143] ; [ 55.92857143 147.07142857],0
v2,1,0.163411,1.942378,[41 44] ; [115  86],[46.36363636 38.63636364] ; [109.63636364  91.36363636],0
r3,1,0.200805,1.636512,[83  9] ; [198  12],[85.60264901  6.39735099] ; [195.39735099  14.60264901],0
a1,1,0.218031,1.517282,[ 2 92] ; [ 11 200],[ 4.00655738 89.99344262] ; [  8.99344262 202.00655738],0
r2,1,0.228018,1.453181,[88  6] ; [202   7],[89.9669967  4.0330033] ; [200.0330033   8.9669967],0
a7,1,0.275316,1.190069,[68 25] ; [141  70],[63.9375 29.0625] ; [145.0625  65.9375],0
u3,1,0.291491,1.112724,[29 17] ; [24 22],[26.5 19.5] ; [26.5 19.5],0
s1,1,0.311006,1.026398,[ 6 86] ; [  8 200],[ 4.29333333 87.70666667] ; [  9.70666667 198.29333333],0
s6,1,0.318991,0.993077,[50 43] ; [124  83],[53.94 39.06] ; [120.06  86.94],0
p11,1,0.330066,0.94864,[63 31] ; [153  58],[66.5704918 27.4295082] ; [149.4295082  61.5704918],0
s3,1,0.373781,0.791057,[52 40] ; [106 102],[48.45333333 43.54666667] ; [109.54666667  98.45333333],0
p1,1,0.400337,0.707313,[ 5 88] ; [  7 203],[ 3.68316832 89.31683168] ; [  8.31683168 201.68316832],0
s4,1,0.488824,0.479114,[15 79] ; [ 27 181],[13.07284768 80.92715232] ; [ 28.92715232 179.07284768],0
b5,1,0.502638,0.449363,[55 39] ; [132  79],[57.63278689 36.36721311] ; [129.36721311  81.63278689],0
b4,1,0.538275,0.378746,[57 37] ; [120  91],[54.55081967 39.44918033] ; [122.44918033  88.55081967],0
n1,1,0.566038,0.329357,[15 18] ; [24 37],[13.69148936 19.30851064] ; [25.30851064 35.69148936],0
a8,1,0.64725,0.209385,[13 77] ; [ 32 161],[14.31095406 75.68904594] ; [ 30.68904594 162.31095406],0
n2,1,0.766692,0.088034,[23 10] ; [45 17],[23.62105263  9.37894737] ; [44.37894737 17.62105263],0
b1,1,0.857535,0.032225,[38 56] ; [ 83 128],[37.29180328 56.70819672] ; [ 83.70819672 127.29180328],0
p7,1,0.914746,0.011461,[44 48] ; [ 97 103],[44.42465753 47.57534247] ; [ 96.57534247 103.42465753],0
u4,1,0.924508,0.008979,[ 1 93] ; [  2 209],[ 0.92459016 93.07540984] ; [  2.07540984 208.92459016],0
s2,1,0.93164,0.007358,[40 53] ; [ 91 118],[40.3410596 52.6589404] ; [ 90.6589404 118.3410596],0
p6,1,0.976446,0.000872,[15 76] ; [ 34 174],[14.91304348 76.08695652] ; [ 34.08695652 173.91304348],0
n3,1,0.983613,0.000422,[23 10] ; [41 18],[22.95652174 10.04347826] ; [41.04347826 17.95652174],0
