Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,20.834078,[69 27] ; [ 2 14],[60.85714286 35.14285714] ; [10.14285714  5.85714286],1
a1,1,0.776558,0.080547,[ 8 88] ; [ 1 15],[ 7.71428571 88.28571429] ; [ 1.28571429 14.71428571],0
s4,1,0.777914,0.079545,[21 75] ; [ 3 13],[20.57142857 75.42857143] ; [ 3.42857143 12.57142857],0
n5,1,0.806901,0.059744,[63 33] ; [11  5],[63.42857143 32.57142857] ; [10.57142857  5.42857143],0
n4,1,0.808068,0.059009,[63 33] ; [10  6],[62.57142857 33.42857143] ; [10.42857143  5.57142857],0
a5,1,0.816501,0.053846,[51 45] ; [9 7],[51.42857143 44.57142857] ; [8.57142857 7.42857143],0
n1,1,0.839318,0.041114,[12 19] ; [3 4],[12.23684211 18.76315789] ; [2.76315789 4.23684211],0
a3,1,0.83943,0.041056,[56 39] ; [9 7],[55.63063063 39.36936937] ; [9.36936937 6.63063063],0
b5,1,0.874478,0.024955,[58 38] ; [10  6],[58.28571429 37.71428571] ; [9.71428571 6.28571429],0
b4,1,0.876883,0.024001,[52 44] ; [9 7],[52.28571429 43.71428571] ; [8.71428571 7.28571429],0
a4,1,0.929826,0.007755,[25 71] ; [ 4 12],[24.85714286 71.14285714] ; [ 4.14285714 11.85714286],0
d2,1,0.93417,0.006823,[31 65] ; [ 5 11],[30.85714286 65.14285714] ; [ 5.14285714 10.85714286],0
p5,1,0.982488,0.000482,[13 83] ; [ 2 13],[12.97297297 83.02702703] ; [ 2.02702703 12.97297297],0
b3,1,0.984134,0.000395,[17 46] ; [3 8],[17.02702703 45.97297297] ; [2.97297297 8.02702703],0
b2,1,0.984134,0.000395,[17 46] ; [3 8],[17.02702703 45.97297297] ; [2.97297297 8.02702703],0
v1,1,0.992089,9.8e-05,[41 53] ; [7 9],[41.01818182 52.98181818] ; [6.98181818 9.01818182],0
