Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.00041,12.486342,[ 3 98] ; [ 60 301],[13.77272727 87.22727273] ; [ 49.22727273 311.77272727],1
n6,1,0.823219,0.049911,[93 13] ; [347  45],[93.65461847 12.34538153] ; [346.34538153  45.65461847],0
u3,1,0.880975,0.02242,[17 10] ; [62 39],[16.6640625 10.3359375] ; [62.3359375 38.6640625],0
b5,1,0.888558,0.019636,[65 42] ; [237 158],[64.37051793 42.62948207] ; [237.62948207 157.37051793],0
v4,1,0.890041,0.019114,[104   3] ; [380  12],[103.78356713   3.21643287] ; [380.21643287  11.78356713],0
a3,1,0.890756,0.018864,[80 27] ; [292 102],[79.4491018 27.5508982] ; [292.5508982 101.4491018],0
a5,1,0.899283,0.016019,[82 25] ; [305  90],[82.48804781 24.51195219] ; [304.51195219  90.48804781],0
n2,1,0.943285,0.005061,[22  6] ; [60 17],[21.86666667  6.13333333] ; [60.13333333 16.86666667],0
b4,1,0.95238,0.003566,[64 43] ; [235 160],[63.7310757 43.2689243] ; [235.2689243 159.7310757],0
p3,1,0.973772,0.001081,[59 48] ; [216 177],[58.85 48.15] ; [216.15 176.85],0
s8,1,0.992556,8.7e-05,[63 44] ; [231 161],[63.04208417 43.95791583] ; [230.95791583 161.04208417],0
d5,1,0.994415,4.9e-05,[89 18] ; [327  66],[89.024 17.976] ; [326.976  66.024],0
