Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.000729,11.413575,[ 4 10] ; [25  6],[9.02222222 4.97777778] ; [19.97777778 11.02222222],1
v1,1,0.356354,0.850702,[5 9] ; [ 7 24],[ 3.73333333 10.26666667] ; [ 8.26666667 22.73333333],0
s5,1,0.356354,0.850702,[5 9] ; [ 7 24],[ 3.73333333 10.26666667] ; [ 8.26666667 22.73333333],0
n5,1,0.362419,0.829493,[8 6] ; [22  9],[9.33333333 4.66666667] ; [20.66666667 10.33333333],0
a2,1,0.411673,0.673963,[ 1 13] ; [ 5 26],[ 1.86666667 12.13333333] ; [ 4.13333333 26.86666667],0
s2,1,0.477769,0.503951,[7 7] ; [12 19],[5.91111111 8.08888889] ; [13.08888889 17.91111111],0
a5,1,0.477769,0.503951,[7 7] ; [19 12],[8.08888889 5.91111111] ; [17.91111111 13.08888889],0
d4,1,0.491155,0.473996,[10  4] ; [25  6],[10.88888889  3.11111111] ; [24.11111111  6.88888889],0
a4,1,0.497224,0.460857,[5 9] ; [ 8 23],[4.04444444 9.95555556] ; [ 8.95555556 22.04444444],0
n4,1,0.497224,0.460857,[9 5] ; [23  8],[9.95555556 4.04444444] ; [22.04444444  8.95555556],0
n3,1,0.568618,0.325,[3 2] ; [6 2],[3.46153846 1.53846154] ; [5.53846154 2.46153846],0
s8,1,0.63672,0.223057,[6 8] ; [11 20],[5.28888889 8.71111111] ; [11.71111111 19.28888889],0
a3,1,0.653977,0.200923,[9 5] ; [22  9],[9.64444444 4.35555556] ; [21.35555556  9.64444444],0
p7,1,0.654293,0.200531,[9 4] ; [18 11],[8.35714286 4.64285714] ; [18.64285714 10.35714286],0
d5,1,0.680519,0.169542,[12  2] ; [25  6],[11.51111111  2.48888889] ; [25.48888889  5.51111111],0
p6,1,0.702871,0.145503,[ 3 11] ; [ 5 25],[ 2.54545455 11.45454545] ; [ 5.45454545 24.54545455],0
s6,1,0.730668,0.118499,[6 8] ; [15 16],[6.53333333 7.46666667] ; [14.46666667 16.53333333],0
d1,1,0.730668,0.118499,[8 6] ; [16 15],[7.46666667 6.53333333] ; [16.53333333 14.46666667],0
u1,1,0.782097,0.076501,[ 1 13] ; [ 3 28],[ 1.24444444 12.75555556] ; [ 2.75555556 28.24444444],0
p2,1,0.804671,0.061161,[10  4] ; [21 10],[9.64444444 4.35555556] ; [21.35555556  9.64444444],0
s7,1,0.816752,0.053696,[7 6] ; [15 15],[6.65116279 6.34883721] ; [15.34883721 14.65116279],0
b4,1,0.819886,0.051843,[9 5] ; [21 10],[9.33333333 4.66666667] ; [20.66666667 10.33333333],0
v2,1,0.836647,0.042512,[7 7] ; [14 16],[6.68181818 7.31818182] ; [14.31818182 15.68181818],0
b3,1,0.860116,0.031056,[3 9] ; [ 4 14],[2.8 9.2] ; [ 4.2 13.8],0
b2,1,0.860116,0.031056,[3 9] ; [ 4 14],[2.8 9.2] ; [ 4.2 13.8],0
u2,1,0.872081,0.025926,[3 2] ; [5 4],[2.85714286 2.14285714] ; [5.14285714 3.85714286],0
u3,1,0.872081,0.025926,[3 2] ; [5 4],[2.85714286 2.14285714] ; [5.14285714 3.85714286],0
r1,1,0.872092,0.025922,[11  3] ; [25  6],[11.2  2.8] ; [24.8  6.2],0
p3,1,0.922934,0.009358,[ 4 10] ; [ 9 21],[4.13636364 9.86363636] ; [ 8.86363636 21.13636364],0
a1,1,0.931419,0.007406,[ 1 13] ; [ 2 29],[ 0.93333333 13.06666667] ; [ 2.06666667 28.93333333],0
p1,1,0.931419,0.007406,[ 1 13] ; [ 2 29],[ 0.93333333 13.06666667] ; [ 2.06666667 28.93333333],0
s1,1,0.931419,0.007406,[ 1 13] ; [ 2 29],[ 0.93333333 13.06666667] ; [ 2.06666667 28.93333333],0
v3,1,0.988073,0.000223,[5 9] ; [11 20],[4.97777778 9.02222222] ; [11.02222222 19.97777778],0
