Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2e-06,22.320868,[14  2] ; [ 5 26],[6.46808511 9.53191489] ; [12.53191489 18.46808511],1
a3,1,0.357115,0.848013,[11  5] ; [17 14],[9.53191489 6.46808511] ; [18.46808511 12.53191489],0
v2,1,0.39332,0.728653,[7 9] ; [10 22],[ 5.66666667 10.33333333] ; [11.33333333 20.66666667],0
b5,1,0.403822,0.696915,[ 5 11] ; [14 18],[6.33333333 9.66666667] ; [12.66666667 19.33333333],0
n5,1,0.403822,0.696915,[11  5] ; [18 14],[9.66666667 6.33333333] ; [19.33333333 12.66666667],0
d3,1,0.413811,0.667826,[9 7] ; [14 18],[7.66666667 8.33333333] ; [15.33333333 16.66666667],0
s1,1,0.460181,0.545455,[ 2 14] ; [ 2 30],[ 1.33333333 14.66666667] ; [ 2.66666667 29.33333333],0
s8,1,0.460181,0.545455,[ 2 14] ; [ 2 30],[ 1.33333333 14.66666667] ; [ 2.66666667 29.33333333],0
s7,1,0.462522,0.539785,[ 4 11] ; [ 5 24],[ 3.06818182 11.93181818] ; [ 5.93181818 23.06818182],0
r4,1,0.4795,0.5,[ 3 13] ; [ 9 23],[ 4. 12.] ; [ 8. 24.],0
d4,1,0.508883,0.436364,[12  4] ; [21 11],[11.  5.] ; [22. 10.],0
d1,1,0.537094,0.380952,[8 8] ; [13 19],[7. 9.] ; [14. 18.],0
a7,1,0.540291,0.375,[9 7] ; [15 17],[8. 8.] ; [16. 16.],0
a5,1,0.540291,0.375,[9 7] ; [15 17],[8. 8.] ; [16. 16.],0
v1,1,0.588223,0.293128,[ 3 13] ; [ 8 23],[ 3.74468085 12.25531915] ; [ 7.25531915 23.74468085],0
d2,1,0.609366,0.2611,[7 9] ; [16 15],[7.82978723 8.17021277] ; [15.17021277 15.82978723],0
p12,1,0.609523,0.26087,[ 1 15] ; [ 1 31],[ 0.66666667 15.33333333] ; [ 1.33333333 30.66666667],0
n2,1,0.648077,0.208333,[2 2] ; [ 6 10],[1.6 2.4] ; [6.4 9.6],0
p8,1,0.681606,0.168323,[ 2 13] ; [ 3 29],[ 1.59574468 13.40425532] ; [ 3.40425532 28.59574468],0
a8,1,0.738298,0.111628,[ 2 14] ; [ 3 29],[ 1.66666667 14.33333333] ; [ 3.33333333 28.66666667],0
v3,1,0.801573,0.063158,[ 3 13] ; [ 7 25],[ 3.33333333 12.66666667] ; [ 6.66666667 25.33333333],0
s6,1,0.822334,0.05042,[ 5 11] ; [ 9 23],[ 4.66666667 11.33333333] ; [ 9.33333333 22.66666667],0
d5,1,0.831013,0.045541,[10  6] ; [21 11],[10.33333333  5.66666667] ; [20.66666667 11.33333333],0
b1,1,0.838118,0.041739,[8 8] ; [17 15],[8.33333333 7.66666667] ; [16.66666667 15.33333333],0
n4,1,1.0,0.0,[11  5] ; [22 10],[11.  5.] ; [22. 10.],0
u2,1,1.0,0.0,[1 4] ; [ 3 12],[1. 4.] ; [ 3. 12.],0
