Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.3e-05,18.973215,[14 44] ; [17  5],[22.475 35.525] ; [ 8.525 13.475],1
d4,1,0.231393,1.432277,[36 21] ; [17  5],[38.24050633 18.75949367] ; [14.75949367  7.24050633],0
b1,1,0.24454,1.354232,[34 24] ; [16  6],[36.25 21.75] ; [13.75  8.25],0
p3,1,0.247799,1.335672,[18 39] ; [10 12],[20.20253165 36.79746835] ; [ 7.79746835 14.20253165],0
a4,1,0.247799,1.335672,[18 39] ; [10 12],[20.20253165 36.79746835] ; [ 7.79746835 14.20253165],0
a1,1,0.316553,1.003135,[ 7 51] ; [ 1 21],[ 5.8 52.2] ; [ 2.2 19.8],0
a8,1,0.380217,0.77,[ 4 51] ; [ 3 19],[ 5. 50.] ; [ 2. 20.],0
n3,1,0.386671,0.749384,[12 13] ; [7 4],[13.19444444 11.80555556] ; [5.80555556 5.19444444],0
s1,1,0.412402,0.671865,[ 6 52] ; [ 1 21],[ 5.075 52.925] ; [ 1.925 20.075],0
p12,1,0.447654,0.576584,[ 1 57] ; [ 1 20],[ 1.46835443 56.53164557] ; [ 0.53164557 20.46835443],0
a6,1,0.450502,0.569389,[21 37] ; [ 6 16],[19.575 38.425] ; [ 7.425 14.575],0
n2,1,0.456845,0.553613,[14 12] ; [8 4],[15.05263158 10.94736842] ; [6.94736842 5.05263158],0
p8,1,0.472465,0.516205,[16 41] ; [ 8 14],[17.3164557 39.6835443] ; [ 6.6835443 15.3164557],0
v3,1,0.48039,0.497977,[16 38] ; [ 8 13],[17.28 36.72] ; [ 6.72 14.28],0
a2,1,0.51795,0.417973,[ 3 55] ; [ 2 20],[ 3.625 54.375] ; [ 1.375 20.625],0
a5,1,0.523019,0.407935,[27 31] ; [12 10],[28.275 29.725] ; [10.725 11.275],0
n4,1,0.527318,0.399557,[37 21] ; [15  6],[38.17721519 19.82278481] ; [13.82278481  7.17721519],0
p5,1,0.531097,0.392293,[ 3 54] ; [ 2 20],[ 3.60759494 53.39240506] ; [ 1.39240506 20.60759494],0
s4,1,0.574575,0.315087,[10 48] ; [ 5 17],[10.875 47.125] ; [ 4.125 17.875],0
b5,1,0.616524,0.250784,[28 30] ; [12 10],[29. 29.] ; [11. 11.],0
b2,1,0.631683,0.229785,[13 19] ; [ 5 10],[12.25531915 19.74468085] ; [5.74468085 9.25531915],0
b3,1,0.631683,0.229785,[13 19] ; [ 5 10],[12.25531915 19.74468085] ; [5.74468085 9.25531915],0
n5,1,0.708005,0.140277,[36 22] ; [14  7],[36.70886076 21.29113924] ; [13.29113924  7.70886076],0
p7,1,0.835093,0.043336,[24 32] ; [10 12],[24.41025641 31.58974359] ; [ 9.58974359 12.41025641],0
