Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1e-06,23.640023,[16  8] ; [14 71],[ 6.60550459 17.39449541] ; [23.39449541 61.60550459],1
p10,1,0.349554,0.875077,[19  5] ; [59 26],[17.17431193  6.82568807] ; [60.82568807 24.17431193],0
a8,1,0.385973,0.751591,[ 3 20] ; [ 6 76],[ 1.97142857 21.02857143] ; [ 7.02857143 74.97142857],0
v3,1,0.414219,0.666659,[10 13] ; [27 52],[ 8.34313725 14.65686275] ; [28.65686275 50.34313725],0
r3,1,0.491406,0.473447,[22  2] ; [81  4],[22.67889908  1.32110092] ; [80.32110092  4.67889908],0
b5,1,0.536517,0.382034,[13 11] ; [52 33],[14.31192661  9.68807339] ; [50.68807339 34.31192661],0
a6,1,0.538971,0.37745,[13 10] ; [54 31],[14.26851852  8.73148148] ; [52.73148148 32.26851852],0
n1,1,0.544197,0.367816,[2 1] ; [14 15],[1.5 1.5] ; [14.5 14.5],0
n4,1,0.547374,0.362043,[16  8] ; [62 23],[17.17431193  6.82568807] ; [60.82568807 24.17431193],0
d1,1,0.607796,0.263397,[13 11] ; [41 44],[11.88990826 12.11009174] ; [42.11009174 42.88990826],0
a4,1,0.608256,0.262723,[11 13] ; [34 51],[ 9.90825688 14.09174312] ; [35.09174312 49.90825688],0
d4,1,0.662086,0.190999,[16  7] ; [63 22],[16.82407407  6.17592593] ; [62.17592593 22.82407407],0
s1,1,0.676072,0.174581,[ 2 22] ; [ 5 79],[ 1.55555556 22.44444444] ; [ 5.44444444 78.55555556],0
b3,1,0.738362,0.111572,[ 7 11] ; [19 36],[ 6.4109589 11.5890411] ; [19.5890411 35.4109589],0
b2,1,0.738362,0.111572,[ 7 11] ; [19 36],[ 6.4109589 11.5890411] ; [19.5890411 35.4109589],0
a1,1,0.744847,0.105912,[ 1 23] ; [ 5 80],[ 1.32110092 22.67889908] ; [ 4.67889908 80.32110092],0
s4,1,0.759919,0.093384,[ 5 19] ; [15 68],[ 4.48598131 19.51401869] ; [15.51401869 67.48598131],0
d3,1,0.759971,0.093342,[13 10] ; [45 40],[12.35185185 10.64814815] ; [45.64814815 39.35185185],0
b1,1,0.791123,0.070147,[10 14] ; [38 47],[10.56880734 13.43119266] ; [37.43119266 47.56880734],0
d5,1,0.800753,0.063692,[15  8] ; [53 32],[14.48148148  8.51851852] ; [53.51851852 31.48148148],0
d2,1,0.801332,0.063314,[10 13] ; [39 45],[10.53271028 12.46728972] ; [38.46728972 45.53271028],0
n6,1,0.856732,0.032593,[19  4] ; [68 16],[18.70093458  4.29906542] ; [68.29906542 15.70093458],0
a5,1,0.906343,0.013842,[15  9] ; [52 33],[14.75229358  9.24770642] ; [52.24770642 32.75229358],0
n5,1,0.954666,0.003232,[17  7] ; [60 24],[17.11111111  6.88888889] ; [59.88888889 24.11111111],0
a7,1,0.965644,0.001855,[14 10] ; [50 35],[14.09174312  9.90825688] ; [49.90825688 35.09174312],0
a3,1,0.965644,0.001855,[14 10] ; [50 35],[14.09174312  9.90825688] ; [49.90825688 35.09174312],0
s3,1,0.985946,0.00031,[11 12] ; [40 44],[10.96261682 12.03738318] ; [40.03738318 43.96261682],0
